reference,reader,id,protocol,seed,role,S,Ephi,ET,EV,EI,bottom_current_NRMSE,power_trace_NRMSE,energy_error,local_joule_NRMSE,native_240_local_q_NRMSE,strict
old,coarse,original/29/E,original,29,E,0.001030078125,0.020042062839986767,0.010600719518901736,0.001295806378420051,0.008582725577116241,0.008582725577119891,0.008624890741396128,0.0027517159515824587,0.04735616535447262,,False
old,coarse,original/29/F,original,29,F,0.001225,0.023986713579712493,0.010930770446400033,0.0026037742743953525,0.016878445249982235,0.01687844524998299,0.01727433882661583,0.0016092828994405844,0.0926130912791254,,False
old,coarse,original/43/E,original,43,E,0.0011316406249999998,0.021619161166716246,0.010330845552147926,0.0023572941029588812,0.015717843041697634,0.01571784304170005,0.01592750502299147,0.006568905729493914,0.07846803668388758,,False
old,coarse,original/43/F,original,43,F,0.0012525000000000001,0.02448208540577694,0.010446690661100185,0.00464752889807411,0.030696582612246257,0.030696582612248655,0.03175752257654098,0.012191155965982461,0.12783682347357958,,False
old,coarse,original/B_E,original,,B_E,0.0014084375000000002,0.023769782205783657,0.013278255127362866,0.002558449869505918,0.01728228938076691,0.017282289380764062,0.017562292993545878,0.011849409958004114,0.0981319028410548,,False
old,coarse,shorter/29/E,shorter,29,E,0.0010861718750000001,0.01900241378176963,0.011021722601211524,0.001568101323932456,0.009942974635239722,0.009942974635242439,0.00999332058970384,0.00287606086266471,0.056357927738193946,,False
old,coarse,shorter/29/F,shorter,29,F,0.0012612500000000002,0.023818465166233878,0.011691428007149965,0.0037235134756986397,0.022699139664465462,0.02269913966446679,0.023353161120948644,0.007066266554761794,0.11271435174216146,,False
old,coarse,shorter/43/E,shorter,43,E,0.0010735156249999998,0.018619221717954475,0.010960980041449084,0.0010802508400533871,0.006821188750453961,0.006821188750454754,0.006727584643777657,0.0016271789511990613,0.04770874623981139,,False
old,coarse,shorter/43/F,shorter,43,F,0.001197734375,0.0233632244353989,0.0114088216040331,0.004585264153895475,0.029917345965851373,0.029917345965852445,0.03094686326770039,0.002573604184872598,0.14365656952342049,,False
old,coarse,shorter/B_E,shorter,,B_E,0.0015754687500000003,0.02552352964250399,0.012800189053165364,0.003005663306483679,0.020031855675185353,0.020031855675185704,0.020489387231699213,0.015059309720727837,0.1133849836004611,,False
old,coarse,shorter/29/E_C,shorter,29,E_C,0.000984765625,0.017548833641611146,0.010410376996620696,0.0015099139246013743,0.009667219145866825,0.009667219145867543,0.009741821156910668,0.004837687274938343,0.055306388428239754,,False
old,coarse,shorter/29/E_R,shorter,29,E_R,0.00100875,0.017719898278051788,0.010450506414582903,0.0014395095214991714,0.009327608069242727,0.009327608069244679,0.009392457201827683,0.004146796702492078,0.053998694916936575,,False
old,coarse,shorter/29/E_I,shorter,29,E_I,0.000952109375,0.01727237499932336,0.010451443156954536,0.0014141330118079146,0.009017786991447101,0.009017786991448819,0.009007671989507936,0.004183316184981865,0.053116797498190454,,False
old,coarse,shorter/43/E_C,shorter,43,E_C,0.00097375,0.016963542559870634,0.010396805900313838,0.0009789428509723488,0.0062091583149584345,0.006209158314954734,0.006143626978387168,0.0015108145037286739,0.0477253138163399,,False
old,coarse,shorter/43/E_R,shorter,43,E_R,0.0009739843750000001,0.016859811824836864,0.01045559980216171,0.0009552403397247548,0.005984256963712154,0.0059842569637098605,0.005871239534250159,0.0011284399649494816,0.048449454606728976,,False
old,coarse,shorter/43/E_I,shorter,43,E_I,0.001006484375,0.01730921381899472,0.010500863221573597,0.0009218151740106061,0.005800458804997572,0.005800458804996797,0.005699118361013493,0.0009677037630473153,0.0466513324647435,,False
old,coarse,shorter/29/D_E,shorter,29,D_E,0.0010574999999999998,0.018570546502962307,0.010904924970924842,0.0014612692374090363,0.009314881011217182,0.009314881011217219,0.009350194548018671,0.003045758192766017,0.053819461639502186,,False
old,coarse,shorter/43/D_E,shorter,43,D_E,0.0010828125,0.0185697479002711,0.010868800491784725,0.001010674376087227,0.006344564455702311,0.006344564455700387,0.006127244448712128,0.0007076818925486962,0.047444145863793204,,False
old,fine,original/29/E,original,29,E,0.001030078125,0.020042062839986767,0.010600719518901736,0.001380786940585424,0.009075323065351125,0.009075323065352796,0.00916386824303848,0.004062426958068074,0.06522075304494974,,False
old,fine,original/29/F,original,29,F,0.001225,0.023986713579712493,0.010930770446400033,0.002639409276793822,0.017075570072470302,0.017075570072470646,0.017498091086127942,0.002945495250170261,0.10150926672466454,,False
old,fine,original/43/E,original,43,E,0.0011316406249999998,0.021619161166716246,0.010330845552147926,0.0024518187970058486,0.016310545317658975,0.016310545317660338,0.01657408779940339,0.007876623153903587,0.09385792874669568,,False
old,fine,original/43/F,original,43,F,0.0012525000000000001,0.02448208540577694,0.010446690661100185,0.004728587543504541,0.03122235378817548,0.031222353788175655,0.032316980116363005,0.013512494192532771,0.13912667460334038,,False
old,fine,original/B_E,original,,B_E,0.0014084375000000002,0.023769782205783657,0.013278255127362866,0.0024037770202610122,0.01620006478777624,0.016200064787774512,0.01646429046914172,0.010278021503871767,0.09946828750972929,,False
old,fine,shorter/29/E,shorter,29,E,0.0010861718750000001,0.01900241378176963,0.011021722601211524,0.0016533823136455007,0.010448642699665498,0.010448642699662858,0.010551637555618387,0.004189372580586636,0.07057617668703768,,False
old,fine,shorter/29/F,shorter,29,F,0.0012612500000000002,0.023818465166233878,0.011691428007149965,0.003780216766383053,0.023106924135775406,0.023106924135777012,0.023788971381223406,0.008368691143883939,0.11869391286830613,,False
