State,Original mean,Earlier mean,Original maximum,Earlier maximum
temperature,0.006524612674427362,0.01874612426447338,0.007898711325761129,0.022908605938869918
phase,0.0004829088558621171,0.00397246303010247,0.020555009415370157,0.19178837429901752
