reference,reader,object,cycle_number,cycle,event_time,pre_roi_fraction,peak_roi_fraction,peak_full_domain_fraction,peak_outside_roi_fraction,recovery_fraction,peak_time_index,recall,precision,mass_ratio,reference_event_time,timing_absolute,support_window,support_measure,teacher_active_target_mass,predicted_active_target_mass,true_positive_target_mass,reference_event_present,false_positive_event,false_negative_target_mass,false_positive_target_mass,whole_trajectory_strict
old,coarse,shorter/29/E,1,1,0.23761000000000002,0.0,0.06740702479338843,0.020390625,0.0,1.0,152,0.9210229833258226,0.9417117843566407,0.9780306444344303,0.24059999999999998,0.002989999999999965,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006934374999999997,0.000678203125,0.0006386718749999998,True,False,5.476562499999991e-05,3.953125000000018e-05,False
old,coarse,shorter/29/E,2,2,1.2248,0.0,0.09607438016528926,0.0290625,0.0,1.0,629,0.7716703710035906,0.8548295454545455,0.9027184134040009,1.2268000000000001,0.0020000000000000018,"[1.01, 1.36]",global trapezoid time times cell volume,0.00091390625,0.0008250000000000002,0.0007052343750000002,True,False,0.00020867187499999976,0.00011976562499999997,False
old,coarse,shorter/29/D_E,1,1,0.2356777777777778,0.0,0.06740702479338843,0.020390625,0.0,1.0,151,0.9214736367733215,0.9332496576905526,0.9873817034700314,0.24059999999999998,0.004922222222222189,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006934374999999997,0.0006846874999999996,0.0006389843749999999,True,False,5.4453124999999814e-05,4.570312499999974e-05,False
old,coarse,shorter/29/D_E,2,2,1.2260166666666668,0.0,0.09581611570247933,0.028984375,0.0,1.0,625,0.7644041716532745,0.8610495907558982,0.8877585912121733,1.2268000000000001,0.0007833333333333581,"[1.01, 1.36]",global trapezoid time times cell volume,0.00091390625,0.0008113281250000002,0.0006985937500000003,True,False,0.00021531249999999968,0.00011273437499999988,False
old,coarse,shorter/29/F,1,1,0.2384,0.0,0.0699896694214876,0.021171875,0.0,1.0,158,0.8884632717440291,0.9276555699329493,0.9577512392969806,0.24059999999999998,0.0021999999999999797,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006934374999999997,0.0006641406249999997,0.0006160937499999999,True,False,7.734374999999983e-05,4.8046874999999804e-05,False
old,coarse,shorter/29/F,2,2,,0.0,0.0,0.0,0.0,0.0,404,0.0,0.0,0.0,1.2268000000000001,,"[1.01, 1.36]",global trapezoid time times cell volume,0.00091390625,0.0,0.0,True,False,0.00091390625,0.0,False
old,coarse,shorter/43/E,1,1,0.23734444444444447,0.0,0.07076446280991736,0.02140625,0.0,1.0,149,0.9389364578639027,0.9191573839197089,1.0215187021180712,0.24059999999999998,0.0032555555555555116,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006934374999999997,0.0007083593749999997,0.0006510937499999998,True,False,4.2343749999999955e-05,5.7265624999999916e-05,False
old,coarse,shorter/43/E,2,2,1.2215857142857143,0.0,0.09891528925619834,0.029921875,0.0,1.0,617,0.8017609847837238,0.8339112652262824,0.9614464010942044,1.2268000000000001,0.005214285714285838,"[1.01, 1.36]",global trapezoid time times cell volume,0.00091390625,0.0008786718750000002,0.0007327343750000001,True,False,0.0001811718749999999,0.00014593750000000013,False
old,coarse,shorter/43/D_E,1,1,0.23711000000000002,0.0,0.07050619834710743,0.021328125,0.0,1.0,146,0.9423163587201442,0.9224660858056688,1.0215187021180714,0.24059999999999998,0.0034899999999999654,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006934374999999997,0.0007083593749999998,0.0006534374999999997,True,False,3.9999999999999996e-05,5.4921875000000066e-05,False
old,coarse,shorter/43/D_E,2,2,1.2217,0.0,0.09659090909090909,0.02921875,0.0,1.0,623,0.7962899640964269,0.8478201510876489,0.9392203795520606,1.2268000000000001,0.0051000000000001044,"[1.01, 1.36]",global trapezoid time times cell volume,0.00091390625,0.0008583593750000004,0.0007277343750000002,True,False,0.00018617187499999981,0.0001306250000000002,False
