reference,reader,seed,role,S,Ephi,ET,EV,EI,energy_error,electric_fv_rms,current_balance_rms,power_defect_rms,phase_max,power_trace_rms_error,power_trace_NRMSE,input_power_rms_error,input_power_NRMSE,bottom_current_rms_error,bottom_current_NRMSE,local_joule_NRMSE,top_current_rms_error,bottom_native_NRMSE,strict_device_pass
old,coarse,29,E,0.0010861718750000001,0.01900241378176963,0.011021722601211524,0.001568101323932456,0.009942974635239722,0.00287606086266471,8.920350974491274e-13,1.286437868561682e-14,7.01026283439968e-15,0.9834933172111099,0.0036461976090229795,0.00999332058970384,0.0036461976090222574,0.00999332058970186,0.005236178873006069,0.009942974635242439,0.056357927738193946,0.005236178873004638,0.009942974635243225,False
old,coarse,29,F,0.0012612500000000002,0.023818465166233878,0.011691428007149965,0.0037235134756986397,0.022699139664465462,0.007066266554761794,8.912569006405961e-13,1.3762256838030909e-14,7.527886475821343e-15,0.9790781496920653,0.008520715359623508,0.023353161120948644,0.008520715359623291,0.02335316112094805,0.01195384277912291,0.02269913966446679,0.11271435174216146,0.01195384277912221,0.02269913966446838,False
old,coarse,29,F_cov,0.00141984375,0.023623083705491394,0.011541467776839046,0.0033772681248155053,0.022004814672383282,0.011940987613751852,8.973824235991385e-13,1.3172940145412068e-14,7.049418582516708e-15,0.9768537952648937,0.008060453510782287,0.02209169789161133,0.008060453510782604,0.022091697891612198,0.011588196683470223,0.022004814672382838,0.12386184803826253,0.011588196683470458,0.022004814672386148,False
old,coarse,43,E,0.0010735156249999998,0.018619221717954475,0.010960980041449084,0.0010802508400533871,0.006821188750453961,0.0016271789511990613,8.929306187486399e-13,1.3044026962583347e-14,7.206999443520135e-15,0.9859892254479622,0.0024546498656227715,0.006727584643777657,0.002454649865622263,0.006727584643776262,0.0035921809854890536,0.006821188750454754,0.04770874623981139,0.0035921809854886364,0.006821188750455014,False
old,coarse,43,F,0.001197734375,0.0233632244353989,0.0114088216040331,0.004585264153895475,0.029917345965851373,0.002573604184872598,8.924270071185551e-13,1.383357969597304e-14,7.557815164497669e-15,0.9855771620765069,0.011291379861235323,0.03094686326770039,0.011291379861234928,0.03094686326769931,0.01575510152943182,0.029917345965852445,0.14365656952342049,0.015755101529431253,0.02991734596585464,False
old,coarse,43,F_cov,0.0013807031249999998,0.023776212914431927,0.011528183386953762,0.0033284126777050017,0.021440433327991202,0.012815359885751477,8.978679258205163e-13,1.4156398289271943e-14,7.76391347568942e-15,0.9829737353387408,0.007829074262784183,0.021457544932559497,0.00782907426278383,0.021457544932558525,0.011290981636642888,0.021440433327992284,0.11711552894301572,0.011290981636642319,0.021440433327995397,False
old,fine,29,E,0.0010861718750000001,0.01900241378176963,0.011021722601211524,0.0016533823136455007,0.010448642699665498,0.004189372580586636,2.0121083797279514e-12,1.870408360077339e-14,9.975242793306198e-15,0.9834933172111099,0.003849907073551918,0.010551637555618387,0.003849907073552538,0.010551637555620086,0.005502474275821155,0.010448642699662858,0.07057617668703768,0.005502474275822546,0.01044864269966343,False
old,fine,29,F,0.0012612500000000002,0.023818465166233878,0.011691428007149965,0.003780216766383053,0.023106924135775406,0.008368691143883939,2.0089789416507846e-12,2.052995769960959e-14,1.1383003143829579e-14,0.9790781496920653,0.008679726602657051,0.023788971381223406,0.008679726602656188,0.023788971381221036,0.012168590629916605,0.023106924135777012,0.11869391286830613,0.012168590629915758,0.023106924135778487,False
old,fine,29,F_cov,0.00141984375,0.023623083705491394,0.011541467776839046,0.003292935457100512,0.02141681302194631,0.010611038976313922,2.023446467069631e-12,2.1720839441144777e-14,1.182808508174397e-14,0.9768537952648937,0.007842275765094171,0.021493726966282233,0.007842275765093163,0.02149372696627947,0.011278542688338973,0.021416813021949546,0.12449914634478824,0.011278542688337268,0.02141681302195285,False
old,fine,43,E,0.0010735156249999998,0.018619221717954475,0.010960980041449084,0.0011580398553303196,0.007261687336759391,0.002893814756030272,2.0141165529364224e-12,2.1290282137972233e-14,1.1903146054016124e-14,0.9859892254479622,0.0026391141549767746,0.007233155372117967,0.00263911415497573,0.007233155372115103,0.0038241567750119565,0.007261687336763054,0.06328570035750694,0.003824156775010028,0.0072616873367630655,False
old,fine,43,F,0.001197734375,0.0233632244353989,0.0114088216040331,0.004608750413529318,0.03005196815083642,0.003848431958668747,2.012579476148033e-12,2.0085347482663448e-14,1.1187742528537168e-14,0.9855771620765069,0.011347251793106593,0.031099994333820886,0.011347251793106874,0.031099994333821657,0.01582599639406774,0.030051968150835065,0.1507221633029725,0.015825996394068453,0.03005196815083719,False
old,fine,43,F_cov,0.0013807031249999998,0.023776212914431927,0.011528183386953762,0.0032432908946813882,0.02084836749767664,0.01153708022731897,2.0255378813830324e-12,2.0464812071001385e-14,1.1289285142584464e-14,0.9829737353387408,0.007610302363797874,0.02085794558084627,0.0076103023637971575,0.020857945580844306,0.01097918735919154,0.02084836749767952,0.11950976369463504,0.010979187359190025,0.020848367497682634,False
refined,coarse,29,E,0.001082265625,0.018985544417578576,0.011058679432145979,0.001588242723186819,0.010094377330916192,0.0031642290476377893,8.920350974491274e-13,1.286437868561682e-14,7.01026283439968e-15,0.9834933172111099,0.0037092084943934032,0.010169127395583616,0.0037092084943927003,0.010169127395581689,0.005314320900429602,0.010094377330918839,0.05650492306594186,0.005314320900428209,0.010094377330920837,False
refined,coarse,29,F,0.0012585937500000002,0.023830201907113074,0.011745700496220432,0.003741229158240637,0.02284658276942876,0.007355638760865776,8.912569006405961e-13,1.3762256838030909e-14,7.527886475821343e-15,0.9790781496920653,0.00857667657320078,0.023513727210381478,0.008576676573200562,0.023513727210380878,0.01202789120465001,0.022846582769430086,0.11304663409087722,0.012027891204649312,0.02284658276943117,False
