protocol,seed,role,cycle,reference_mass_primary,reference_mass_indicator_restriction,overlap_primary,overlap_indicator_restriction,predicted_mass,recall_primary,recall_indicator_restriction,precision_indicator_restriction,mass_ratio_indicator_restriction
original,29,E,1,0.0006823437500000001,0.0006856249999999999,0.00060140625,0.0006005902777777779,0.00066453125,0.8813831005266772,0.8759748809885549,0.9037803380620218,0.9692342752962626
original,29,E,2,0.0006148437500000002,0.0006156944444444448,0.0006068750000000003,0.0005991753472222225,0.000691328125,0.9870393900889456,0.9731699751861042,0.8667018244371621,1.1228428829235275
original,29,F,1,0.0006823437500000001,0.0006856249999999999,0.0005728124999999999,0.0005717274305555555,0.0006399218749999999,0.8394779024501943,0.8338777473918768,0.8934331719095485,0.9333409298085688
original,29,F,2,0.0006148437500000002,0.0006156944444444448,0.0005591406250000002,0.0005539409722222224,0.000624765625,0.9094027954256672,0.8997011053462665,0.8866380448223642,1.0147332506203468
original,43,E,1,0.0006823437500000001,0.0006856249999999999,0.000549609375,0.0005483072916666669,0.0006271093750000001,0.8054728646668191,0.7997189304162873,0.8743407665794612,0.9146536007292618
original,43,E,2,0.0006148437500000002,0.0006156944444444448,0.0006053125000000001,0.0005994184027777781,0.0006992187500000004,0.9844980940279541,0.9735647417099031,0.8572687771570453,1.1356586961425672
original,43,F,1,0.0006823437500000001,0.0006856249999999999,0.0005758593750000001,0.0005743836805555553,0.0007647656250000001,0.843943210441951,0.8377519497619769,0.7510584442855355,1.115428441203282
original,43,F,2,0.0006148437500000002,0.0006156944444444448,0.0005501562500000003,0.0005458506944444447,0.0006030468750000004,0.8947903430749685,0.8865610196255358,0.9051546688546299,0.9794580419580421
original,-,B_E,1,0.0006823437500000001,0.0006856249999999999,0.0005453124999999999,0.0005425520833333331,0.0005565625,0.7991756354476754,0.7913248252810694,0.97482687628673,0.8117593436645397
original,-,B_E,2,0.0006148437500000002,0.0006156944444444448,0.00048140625000000017,0.0004781944444444444,0.00048773437500000016,0.7829733163913597,0.7766749379652601,0.9804403153754423,0.7921695240243626
shorter,29,E,1,0.0006823437500000001,0.0006856249999999999,0.000595546875,0.000590954861111111,0.0006233593749999999,0.8727959697732997,0.8619214018028967,0.9480163206194037,0.9091841385597083
shorter,29,E,2,0.0009009375000000005,0.0009002777777777777,0.0008700781250000003,0.0008623350694444449,0.0009917187500000002,0.9657474852584111,0.9578544430731261,0.8695359137300215,1.1015697315643322
shorter,29,F,1,0.0006823437500000001,0.0006856249999999999,0.000571796875,0.0005697482638888887,0.0006726562499999998,0.8379894664529425,0.8309910868023902,0.8470125177442251,0.9810847766636278
shorter,29,F,2,0.0009009375000000005,0.0009002777777777777,0.0008667187500000006,0.0008597829861111112,0.0009928125000000004,0.962018730489074,0.9550196698549832,0.8660074144021261,1.102784634372108
shorter,43,E,1,0.0006823437500000001,0.0006856249999999999,0.00059859375,0.0005969618055555557,0.000641015625,0.8772612777650559,0.8706826699078297,0.9312749678380393,0.9349361896080219
shorter,43,E,2,0.0009009375000000005,0.0009002777777777777,0.0008688281250000004,0.0008617795138888895,0.0009850000000000002,0.9643600416233089,0.9572373495834626,0.8749030597856744,1.0941067571737122
shorter,43,F,1,0.0006823437500000001,0.0006856249999999999,0.00059578125,0.0005941666666666666,0.0007515625,0.8731394550034346,0.8666058948647827,0.7905751905751904,1.0961713764813128
shorter,43,F,2,0.0009009375000000005,0.0009002777777777777,0.0007347656250000005,0.0007300434027777781,0.0007804687500000006,0.8155567117585849,0.8109090558469613,0.9353909465020573,0.8669199321197169
shorter,-,B_E,1,0.0006823437500000001,0.0006856249999999999,0.0005453124999999999,0.0005425520833333331,0.0005565625,0.7991756354476754,0.7913248252810694,0.97482687628673,0.8117593436645397
shorter,-,B_E,2,0.0009009375000000005,0.0009002777777777777,0.0007046093750000005,0.0006997829861111115,0.0007107812500000004,0.7820846340617413,0.7772967448318425,0.9845265137637088,0.7895132675100283
shorter,29,E_C,1,0.0006823437500000001,0.0006856249999999999,0.0006044531249999998,0.0006013454861111111,0.0006406249999999998,0.8858484085184334,0.8770763698977009,0.9386856368563689,0.9343664539653599
shorter,29,E_C,2,0.0009009375000000005,0.0009002777777777777,0.0008716406250000006,0.0008637934027777781,0.0009689062500000004,0.9674817898022894,0.9594743134834932,0.8915139135264921,1.0762303301450173
