Reference,Object,S,Ephi,ET,EV,EI,Bottom I,Power,Energy,Local q,Strict
old,original/29/E,0.001030078125,0.020042062839986767,0.010600719518901736,0.001295806378420051,0.008582725577116241,0.008582725577119891,0.008624890741396128,0.0027517159515824587,0.04735616535447262,False
old,original/29/F,0.001225,0.023986713579712493,0.010930770446400033,0.0026037742743953525,0.016878445249982235,0.01687844524998299,0.01727433882661583,0.0016092828994405844,0.0926130912791254,False
old,original/43/E,0.0011316406249999998,0.021619161166716246,0.010330845552147926,0.0023572941029588812,0.015717843041697634,0.01571784304170005,0.01592750502299147,0.006568905729493914,0.07846803668388758,False
old,original/43/F,0.0012525000000000001,0.02448208540577694,0.010446690661100185,0.00464752889807411,0.030696582612246257,0.030696582612248655,0.03175752257654098,0.012191155965982461,0.12783682347357958,False
old,original/B_E,0.0014084375000000002,0.023769782205783657,0.013278255127362866,0.002558449869505918,0.01728228938076691,0.017282289380764062,0.017562292993545878,0.011849409958004114,0.0981319028410548,False
old,shorter/29/E,0.0010861718750000001,0.01900241378176963,0.011021722601211524,0.001568101323932456,0.009942974635239722,0.009942974635242439,0.00999332058970384,0.00287606086266471,0.056357927738193946,False
old,shorter/29/F,0.0012612500000000002,0.023818465166233878,0.011691428007149965,0.0037235134756986397,0.022699139664465462,0.02269913966446679,0.023353161120948644,0.007066266554761794,0.11271435174216146,False
old,shorter/43/E,0.0010735156249999998,0.018619221717954475,0.010960980041449084,0.0010802508400533871,0.006821188750453961,0.006821188750454754,0.006727584643777657,0.0016271789511990613,0.04770874623981139,False
old,shorter/43/F,0.001197734375,0.0233632244353989,0.0114088216040331,0.004585264153895475,0.029917345965851373,0.029917345965852445,0.03094686326770039,0.002573604184872598,0.14365656952342049,False
old,shorter/B_E,0.0015754687500000003,0.02552352964250399,0.012800189053165364,0.003005663306483679,0.020031855675185353,0.020031855675185704,0.020489387231699213,0.015059309720727837,0.1133849836004611,False
old,shorter/29/E_C,0.000984765625,0.017548833641611146,0.010410376996620696,0.0015099139246013743,0.009667219145866825,0.009667219145867543,0.009741821156910668,0.004837687274938343,0.055306388428239754,False
old,shorter/29/E_R,0.00100875,0.017719898278051788,0.010450506414582903,0.0014395095214991714,0.009327608069242727,0.009327608069244679,0.009392457201827683,0.004146796702492078,0.053998694916936575,False
old,shorter/29/E_I,0.000952109375,0.01727237499932336,0.010451443156954536,0.0014141330118079146,0.009017786991447101,0.009017786991448819,0.009007671989507936,0.004183316184981865,0.053116797498190454,False
old,shorter/43/E_C,0.00097375,0.016963542559870634,0.010396805900313838,0.0009789428509723488,0.0062091583149584345,0.006209158314954734,0.006143626978387168,0.0015108145037286739,0.0477253138163399,False
old,shorter/43/E_R,0.0009739843750000001,0.016859811824836864,0.01045559980216171,0.0009552403397247548,0.005984256963712154,0.0059842569637098605,0.005871239534250159,0.0011284399649494816,0.048449454606728976,False
old,shorter/43/E_I,0.001006484375,0.01730921381899472,0.010500863221573597,0.0009218151740106061,0.005800458804997572,0.005800458804996797,0.005699118361013493,0.0009677037630473153,0.0466513324647435,False
refined,original/29/E,0.001026328125,0.020042740206674476,0.010657336493552662,0.0013198739890158714,0.008779977108918058,0.008779977108921682,0.008845132418566175,0.0031181809841656855,0.047710979452963986,False
refined,original/29/F,0.001220625,0.023948308537485443,0.010986504586469876,0.0025971506208735166,0.016845376811265418,0.01684537681126619,0.01725040462306236,0.001975330419135011,0.09218301284505061,False
refined,original/43/E,0.001128359375,0.021642673019008584,0.010380526649104068,0.002383562069163395,0.01592263658522475,0.015922636585227124,0.016155682579659596,0.006936765789933076,0.07909094342969357,False
refined,original/43/F,0.0012490625000000002,0.024490240646485043,0.010511225718101758,0.004664011170049807,0.03083367519089245,0.030833675190894857,0.03190837367974663,0.012561070730575535,0.1280579437250869,False
refined,original/B_E,0.0014003125,0.023631555075184097,0.01342231856258858,0.0024878868372018702,0.016784115904325957,0.016784115904323122,0.017056146529135074,0.011488281044020427,0.09640622759371782,False
refined,shorter/29/E,0.001082265625,0.018985544417578576,0.011058679432145979,0.001588242723186819,0.010094377330916192,0.010094377330918839,0.010169127395583616,0.0031642290476377893,0.05650492306594186,False
refined,shorter/29/F,0.0012585937500000002,0.023830201907113074,0.011745700496220432,0.003741229158240637,0.02284658276942876,0.022846582769430086,0.023513727210381478,0.007355638760865776,0.11304663409087722,False
refined,shorter/43/E,0.0010675781250000002,0.018581117433486314,0.010990276367360127,0.0010965397647056808,0.0069550749659885586,0.0069550749659893695,0.006891598773290862,0.0019149882802299975,0.04783553686306185,False
refined,shorter/43/F,0.0011950781250000004,0.02333617624104989,0.011446278806350622,0.004595274780679757,0.02999654983492931,0.029996549834930386,0.03103574748176868,0.002861685461407761,0.14397305760965676,False
