protocol,seed,control,old_A,old_B,refined_A,refined_B,spatial_A,spatial_B,S_absolute_error_reduction,S_relative_error_reduction,Ephi_absolute_error_reduction,Ephi_relative_error_reduction,ET_absolute_error_reduction,ET_relative_error_reduction,EV_absolute_error_reduction,EV_relative_error_reduction,EI_absolute_error_reduction,EI_relative_error_reduction,bottom_current_NRMSE_absolute_error_reduction,bottom_current_NRMSE_relative_error_reduction,power_trace_NRMSE_absolute_error_reduction,power_trace_NRMSE_relative_error_reduction,energy_error_absolute_error_reduction,energy_error_relative_error_reduction,local_joule_NRMSE_absolute_error_reduction,local_joule_NRMSE_relative_error_reduction
original,29,F,True,True,True,True,True,True,0.00018085937499999981,0.14057566188972537,0.003687733906827813,0.1490005329781946,0.00031133334779321654,0.02747470899789073,0.0012688398040705887,0.49395123851997935,0.008076215753581863,0.48823497187764653,0.008076215753579117,0.48823497187745524,0.008424450626736026,0.4981687174138668,-0.0011415569424034619,-1.3571090463376314,0.0392720462811867,0.4036231513057559
original,29,B_E,True,True,True,True,False,True,0.0002544531249999999,0.18707639287765643,0.0022475176701595607,0.09642031188746114,0.0025477441232270616,0.18777533221483655,0.0012780366415480293,0.49575656622899855,0.008799125612430401,0.5096638309688704,0.008799125612423745,0.509663830968575,0.009048587409232473,0.5160308107775776,0.010624478350798435,0.8427307749866131,0.048197802985854125,0.4537350563899276
original,43,F,False,True,False,True,False,True,0.00011179687499999992,0.08593562334854665,0.0027072767621978515,0.10758184920798075,5.307518073343308e-05,0.004916574409934649,0.002259456969765863,0.4923221736312766,0.014804298874357207,0.48934815671872256,0.014804298874357183,0.4893481567186819,0.015660022003504845,0.5004684620934389,0.005617938641883733,0.4921572455531049,0.0467203585404698,0.3636567595875465
original,43,B_E,False,False,False,False,False,True,0.00017101562499999994,0.1257323377369327,0.0008520542894955713,0.036553812870525504,0.0028259654241116136,0.20828096177416133,0.00024802201803500717,0.0962089348716072,0.0018157660596842835,0.10517298273530729,0.0018157660596787497,0.1051729827350053,0.0019042701187796246,0.1085983931956862,0.006810215901653883,0.5401844999002356,0.024471130269469718,0.230371697149804
shorter,29,F,True,True,True,True,True,True,0.00016398437500000028,0.12513413616310975,0.004513313606615263,0.18459626861516298,0.0006578782618552395,0.05481899728453732,0.0021314188210296587,0.5773151190055601,0.01265199967431816,0.5646956920699441,0.012651999674316905,0.5646956920698534,0.013259577365787159,0.5755032859394245,0.004186873520165531,0.6682512108781113,0.05294646805400735,0.4497874313637513
shorter,29,B_E,True,True,True,True,True,True,0.0003903906250000001,0.25401586010573407,0.005280510361738353,0.2094040955864016,0.0017222426587126857,0.13181825521194612,0.0015054925655844616,0.4910243571373806,0.010532917462120346,0.5192234480317397,0.010532917462118034,0.5192234480316176,0.010957781733266947,0.5283870473874612,0.013764017839336912,0.8687999517055024,0.05688706299800966,0.4676096708310514
shorter,43,F,True,True,True,True,False,True,0.00010765625000000011,0.08525644991647596,0.0043361681068392124,0.17992932342392642,0.0004277636453724025,0.03641296773610114,0.003473878888290114,0.7599642846882231,0.023024488583654384,0.7741896397065239,0.023024488583655026,0.7741896397065162,0.02416049671206011,0.785602163479496,0.0009456726091413094,0.5323747380431525,0.08773750251575799,0.6009274602420368
shorter,43,B_E,True,True,True,True,True,True,0.0003817968750000002,0.2484241561610412,0.005453726526450955,0.2162731616099075,0.0017454821523439131,0.13359697639678036,0.0019687950081048785,0.6421328974246244,0.013570278862774525,0.6689511246263594,0.01357027886277436,0.6689511246263409,0.014144557476481592,0.6820541915806269,0.015011906604031972,0.9475680636882123,0.06338903719575159,0.5210556716285344
