case,device,interval,step,ordinal,time_s,height_A
pair_excitation,B,tail,fine,1,1.0582000000000001e-05,0.003728879285937427
pair_excitation,B,tail,fine,2,1.4007000000000002e-05,0.0036861750254857575
pair_excitation,B,tail,fine,3,1.7420000000000003e-05,0.0036463270811960425
pair_inhibition,A,full,coarse,1,2.3720000000000003e-06,0.0047597788200946
pair_inhibition,A,full,coarse,2,5.218000000000001e-06,0.0038946405219342003
pair_inhibition,A,full,coarse,3,8.139000000000001e-06,0.0038441420389195725
pair_inhibition,A,full,coarse,4,1.1062e-05,0.0038069667674453093
pair_inhibition,A,full,coarse,5,1.3975000000000001e-05,0.003792739371096313
pair_inhibition,A,full,coarse,6,1.6883e-05,0.003788207075968304
pair_inhibition,A,full,coarse,7,1.9788e-05,0.0037836877223448536
pair_inhibition,A,full,fine,1,2.3715e-06,0.004757289288468056
pair_inhibition,A,full,fine,2,5.2185e-06,0.003892260677439431
pair_inhibition,A,full,fine,3,8.141e-06,0.0038425346093882624
pair_inhibition,A,full,fine,4,1.1065e-05,0.003807083342220845
pair_inhibition,A,full,fine,5,1.3978e-05,0.003793285175051834
pair_inhibition,A,full,fine,6,1.6886e-05,0.0037866536223334925
pair_inhibition,A,full,fine,7,1.97905e-05,0.0037811050555400763
pair_inhibition,A,transient,coarse,1,2.3720000000000003e-06,0.0047597788200946
pair_inhibition,A,transient,coarse,2,5.218000000000001e-06,0.0038946405219342003
pair_inhibition,A,transient,coarse,3,8.139000000000001e-06,0.0038441420389195725
pair_inhibition,A,transient,fine,1,2.3715e-06,0.004757289288468056
pair_inhibition,A,transient,fine,2,5.2185e-06,0.003892260677439431
pair_inhibition,A,transient,fine,3,8.141e-06,0.0038425346093882624
pair_inhibition,A,tail,coarse,1,1.1062e-05,0.0038069667674453093
pair_inhibition,A,tail,coarse,2,1.3975000000000001e-05,0.003792739371096313
pair_inhibition,A,tail,coarse,3,1.6883e-05,0.003788207075968304
pair_inhibition,A,tail,coarse,4,1.9788e-05,0.0037836877223448536
pair_inhibition,A,tail,fine,1,1.1065e-05,0.003807083342220845
pair_inhibition,A,tail,fine,2,1.3978e-05,0.003793285175051834
pair_inhibition,A,tail,fine,3,1.6886e-05,0.0037866536223334925
pair_inhibition,A,tail,fine,4,1.97905e-05,0.0037811050555400763
pair_inhibition,B,full,coarse,1,2.0610000000000003e-06,0.005877346615951585
pair_inhibition,B,full,coarse,2,4.519e-06,0.0037696641884200875
pair_inhibition,B,full,fine,1,2.0605e-06,0.005876378579595258
pair_inhibition,B,full,fine,2,4.5165e-06,0.003759170303099599
pair_inhibition,B,transient,coarse,1,2.0610000000000003e-06,0.005877346615951585
pair_inhibition,B,transient,coarse,2,4.519e-06,0.0037696641884200875
pair_inhibition,B,transient,fine,1,2.0605e-06,0.005876378579595258
pair_inhibition,B,transient,fine,2,4.5165e-06,0.003759170303099599
