role,cycle,window,reference_energy,power_NRMSE,signed_energy_error,absolute_signed_energy_error,integrated_absolute_power_error,relative_signed_energy_error,relative_absolute_energy_error,relative_integrated_absolute_power_error
B_E,1,"[0.0, 0.35]",0.2143779874549932,0.017161501901023602,-0.0025073278801135968,0.0025073278801135968,0.0025077820992769066,-0.011695827122362498,0.011695827122362498,0.011697945899428661
B_E,2,"[1.01, 1.36]",0.21914964157802452,0.023225300508531974,-0.004021300468336207,0.004021300468336207,0.004021300468336207,-0.01834956443177431,0.01834956443177431,0.01834956443177431
29/E/projected,1,"[0.0, 0.35]",0.2143779874549932,0.013041358136987561,0.001334201551479042,0.001334201551479042,0.002070015751303522,0.006223593976779664,0.006223593976779664,0.009655915590391966
29/E/projected,2,"[1.01, 1.36]",0.21914964157802452,0.005731395988110764,-8.732944177549786e-05,8.732944177549786e-05,0.0009083218099155877,-0.0003984922865794681,0.0003984922865794681,0.0041447560825336556
29/F_raw/network,1,"[0.0, 0.35]",0.2143779874549932,0.16122239192045656,0.03302313668673329,0.03302313668673329,0.03302313668673329,0.1540416396234068,0.1540416396234068,0.1540416396234068
29/F_raw/network,2,"[1.01, 1.36]",0.21914964157802452,0.06534441737660833,0.014123587071129677,0.014123587071129677,0.014123587071129677,0.06444722870377688,0.06444722870377688,0.06444722870377688
29/F_raw/projected,1,"[0.0, 0.35]",0.2143779874549932,0.030031249358267207,0.004187958061194442,0.004187958061194442,0.0048958530819308635,0.019535392187006454,0.019535392187006454,0.02283748037777762
29/F_raw/projected,2,"[1.01, 1.36]",0.21914964157802452,0.014320522653211588,-0.0011245025183916452,0.0011245025183916452,0.002314614410555664,-0.00513120856732629,0.00513120856732629,0.01056179875033738
43/E/projected,1,"[0.0, 0.35]",0.2143779874549932,0.008868608475969,0.0007098883702025456,0.0007098883702025456,0.001428241314619598,0.00331138648435899,0.00331138648435899,0.006662257312773052
43/E/projected,2,"[1.01, 1.36]",0.21914964157802452,0.003658846043555066,-4.44735930692092e-06,4.44735930692092e-06,0.000621460215345801,-2.029371015574996e-05,2.029371015574996e-05,0.002835780204205995
43/F_raw/network,1,"[0.0, 0.35]",0.2143779874549932,0.5103627141392341,0.09985102925478713,0.09985102925478713,0.09985102925478713,0.4657709051203309,0.4657709051203309,0.4657709051203309
43/F_raw/network,2,"[1.01, 1.36]",0.21914964157802452,0.21882308179183413,0.04396384173009985,0.04396384173009985,0.04396384173009985,0.2006110592448643,0.2006110592448643,0.2006110592448643
43/F_raw/projected,1,"[0.0, 0.35]",0.2143779874549932,0.03556402801532364,0.005116739511690159,0.005116739511690159,0.005626086515844897,0.02386784003541583,0.02386784003541583,0.02624376962688879
43/F_raw/projected,2,"[1.01, 1.36]",0.21914964157802452,0.025779495942806114,-0.0040009857793666,0.0040009857793666,0.0040009857793666,-0.018256866634856515,0.018256866634856515,0.018256866634856515
