arm,S,Ephi,ET,EV,EI,energy_error,electric_fv_rms,current_balance_rms,power_defect_rms,phase_max,power_trace_rms_error,power_trace_NRMSE,input_power_rms_error,input_power_NRMSE,bottom_current_rms_error,bottom_current_NRMSE,local_joule_NRMSE,top_current_rms_error,bottom_native_NRMSE
D,0.0036713281249999992,0.0564349718598869,0.013536471577675242,0.003885552058557112,0.024730587551360605,0.011354630886411808,8.894602122946425e-13,1.3244997771983244e-14,7.171306183418577e-15,0.9836070871801331,0.009081001555622924,0.02488876620300785,0.009081001555623313,0.024888766203008915,0.013023645820685294,0.024730587551359418,0.2848154258994585,0.013023645820685919,0.02473058755135714
P,0.003675859375,0.05656376160913256,0.013443217950396878,0.0038469670666040844,0.024511670326603,0.011795682785844043,8.88582638899411e-13,1.302938679778771e-14,7.20413624611031e-15,0.9835442225456195,0.009017500180336523,0.02471472473044648,0.009017500180336641,0.024714724730446804,0.01290835942106515,0.024511670326602075,0.2731436958365963,0.012908359421065637,0.024511670326599667
L,0.0036051562499999994,0.05548285135453666,0.013448497994088579,0.0038027124440454573,0.024265784189334835,0.01093722900016309,8.888639451647801e-13,1.2981893622667904e-14,7.09194330114388e-15,0.9835798229995196,0.008897814880559195,0.02438669709760786,0.008897814880559811,0.024386697097609548,0.012778870626779166,0.02426578418933295,0.2710842030478017,0.012778870626780158,0.024265784189330637
R,0.00367640625,0.05648322258147331,0.013422324039927503,0.003779316091328951,0.02411186904062663,0.011121968997958722,8.885529414983338e-13,1.385562109800866e-14,7.487641875993865e-15,0.9836666681864459,0.008855017710858414,0.024269400702016598,0.008855017710859298,0.024269400702019023,0.012697815683015345,0.024111869040624137,0.2692862412278227,0.012697815683016658,0.024111869040621806
I,0.00368,0.05656938213804874,0.013473439196704554,0.0038814815090867138,0.024703850943429438,0.011999129287906272,8.894615250333616e-13,1.3497323097007355e-14,7.412136602791325e-15,0.9832401671445875,0.009088855474942576,0.024910291842060634,0.009088855474942264,0.024910291842059777,0.013009565762482687,0.024703850943430878,0.2762098134024033,0.013009565762481927,0.024703850943428442
RI,0.0036057031250000004,0.05555116580498679,0.013462515805736623,0.0038159204266292692,0.024368115673230897,0.010980781578620653,8.896174525581114e-13,1.3294414976807304e-14,7.326070806232346e-15,0.98373048882807,0.008934837723845256,0.02448816750096296,0.008934837723845195,0.024488167500962794,0.012832760531328438,0.024368115673230755,0.2691968935485951,0.012832760531328513,0.024368115673228448
RIM,0.0036062499999999996,0.055429604884547234,0.013424225027222155,0.0038302093976804903,0.024410510902798683,0.010971574365738123,8.885875292884373e-13,1.3191705880038017e-14,7.280093130234155e-15,0.9834305363602046,0.008946175597383794,0.02451924179183402,0.008946175597383971,0.024519241791834505,0.012855086747930816,0.024410510902798405,0.2747423588763191,0.012855086747930962,0.02441051090279607
G,0.0036215625,0.055781536121192105,0.01343324647906458,0.0038510965926936216,0.024563622303278475,0.011459209544444689,8.886810265536804e-13,1.2730222370071072e-14,6.950375955096674e-15,0.983190917733941,0.009021401037854997,0.024725416010496798,0.009021401037855618,0.0247254160104985,0.012935718421027599,0.02456362230327625,0.27350882961678913,0.01293571842102877,0.0245636223032739
