arm,quadrature_pass,observation,obs_V,obs_T,obs_phase,boundary,initial,thermal,phase,electric,objective
D,True,0.0,0.0,0.0,0.0,0.08272982243119928,4.2143649318369435e-33,0.0062225317015689625,0.0029933810505250835,0.0,0.41672108307336114
P,True,0.0,0.0,0.0,0.0,0.08211652109930476,4.2143649318369435e-33,0.006086648642759192,0.0029893323727590185,0.0,0.4136079325016966
L,True,0.0,0.0,0.0,0.0,0.0823210470669975,4.2143649318369435e-33,0.006044194038262195,0.0030005743795930824,0.0,0.41462015814093933
R,True,0.0,0.0,0.0,0.0,0.08205229349063187,4.2143649318369435e-33,0.006038158374952638,0.0029762194544943857,0.0,0.4132662600629751
I,True,0.0,0.0,0.0,0.0,0.08212784943954,4.2143649318369435e-33,0.006109753495262768,0.003038933715654861,0.0,0.41368880960133914
RI,True,0.0,0.0,0.0,0.0,0.08331609137838669,4.2143649318369435e-33,0.0060334364704453134,0.002991051780451039,0.0,0.4195886196422323
RIM,True,0.0,0.0,0.0,0.0,0.08144298384930963,4.2143649318369435e-33,0.006117358717330091,0.003006843695078067,0.0,0.41025632005068424
G,True,0.0,0.0,0.0,0.0,0.08250754699199511,4.2143649318369435e-33,0.006075218983285629,0.0030271616497066114,0.0,0.41557186183763956
