arm,total,observation,boundary,initial,thermal,phase,phase_fraction_of_total
D,1.06267948810718,1.000000000000001,0.06267948810717834,7.485255106754425e-34,0.0,0.0,0.0
P,1.0654892502260669,1.000000000000001,0.06267948810717834,7.485255106754425e-34,0.002755454031811638,5.430808707504052e-05,5.097009384516819e-05
L,1.0654593479098249,1.000000000000001,0.06267948810717834,7.485255106754425e-34,0.002755454031811638,2.4405770832943686e-05,2.290633695299773e-05
R,1.0654568626083525,1.000000000000001,0.06267948810717834,7.485255106754425e-34,0.002755454031811638,2.1920469360369232e-05,2.0573774621626233e-05
I,1.0654907775484672,1.000000000000001,0.06267948810717834,7.485255106754425e-34,0.002755454031811638,5.583540947542335e-05,5.240346575677752e-05
RI,1.0654568288845123,1.000000000000001,0.06267948810717834,7.485255106754425e-34,0.002755454031811638,2.1886745520391823e-05,2.0542123272424194e-05
RIM,1.0654568600496686,1.000000000000001,0.06267948810717834,7.485255106754425e-34,0.002755454031811638,2.19179106764774e-05,2.057137318113063e-05
G,1.0654625471221775,1.000000000000001,0.06267948810717834,7.485255106754425e-34,0.002755454031811638,2.7604983185232757e-05,2.590891933254156e-05
