arm,order,raw_zeroth_square_over_point,relative_zeroth_square_over_point,relative_first_square_over_point,relative_I_over_P,relative_M_over_P
D,32,0.9725790734717645,0.9809525144435548,0.01795280740756902,0.9904762572217775,0.999452660925562
P,32,0.9719280223665259,0.9809222940261453,0.017975714038335495,0.9904611470130726,0.9994490040322404
L,32,0.9721946180238911,0.9808656017334564,0.018024569043238316,0.9904328008667281,0.9994450853883473
R,32,0.9721279144789521,0.9807939104696508,0.01809265483637588,0.9903969552348254,0.9994432826530133
I,32,0.9719371477692477,0.9808748203144204,0.018019362016916805,0.9904374101572102,0.9994470911656687
RI,32,0.9722903604357753,0.9807746420326923,0.018110619036142528,0.9903873210163462,0.9994426305344174
RIM,32,0.972250511414281,0.9809836677991278,0.017914788295881546,0.9904918338995639,0.9994492280475047
G,32,0.9721920770734174,0.9807591222860247,0.018130008959500097,0.9903795611430123,0.9994445656227624
