role,S,Ephi,ET,EV,EI,bottom_current_NRMSE,power_trace_NRMSE,energy_error,local_joule_NRMSE,strict_device_pass
E0,0.0011285156250000002,0.0234146837479853,0.012423696354333451,0.0038311927056869817,0.025549043917209507,0.025549043917207456,0.026414635900221414,0.012356181401987512,0.11102462240472252,False
D_E,0.0007870312499999999,0.015582121110219246,0.010714735194585883,0.0011088373946056575,0.007242569183879158,0.007242569183880067,0.0072132284051122045,0.0028819850535429545,0.04247718361845784,False
P_E,0.0008190625,0.01599967728295512,0.010662242314353153,0.0010848243068587945,0.006938186792645273,0.006938186792647961,0.006817306280447462,0.0021883069392803095,0.043285870690665564,False
B_E,0.0014084375000000002,0.023769782205783657,0.013278255127362866,0.002558449869505918,0.01728228938076691,0.017282289380764062,0.017562292993545878,0.011849409958004114,0.0981319028410548,False
