role,cycle,recall,precision,mass_ratio,timing_absolute,event_time
E0,1,0.8654799459215865,0.7934311092749429,1.0908066696710237,0.03166666666666665,0.20893333333333333
E0,2,0.9711155378486055,0.924718435091879,1.0501743027888446,0.0046800000000000175,1.49372
D_E,1,0.896462370437134,0.9453486990614233,0.9482875168995044,0.003449999999999953,0.23715000000000003
D_E,2,0.9932768924302787,0.8755487269534676,1.1344621513944226,0.009039999999999937,1.48936
P_E,1,0.882492113564669,0.9478460793804455,0.9310500225326723,0.0012999999999999678,0.2393
P_E,2,0.9885458167330675,0.8766699790217507,1.1276145418326695,0.007528571428571329,1.4908714285714286
B_E,1,0.7929247408742678,0.9879281302638967,0.8026137899954936,0.015271428571428602,0.2558714285714286
B_E,2,0.7721613545816732,0.9934326445619093,0.7772659362549801,0.014971428571428635,1.5133714285714286
