time,identity,phase_roi_fraction,top_current,max_temperature,joule_power
0.0,Reference,0.0,0.0,0.0,0.0
0.0,STRONG_RAW,0.0,0.0,0.0,0.0
0.0,MF_ONLY,0.0,0.0,0.0,0.0
0.0,SAMPLER_ONLY,0.0,0.0,0.0,0.0
0.0,MF_PLUS_SAMPLER,0.0,0.0,0.0,0.0
0.025,Reference,0.0,0.5091703166430068,0.056661010728677325,0.18330131399148644
0.025,STRONG_RAW,0.0,0.3675527426303195,0.0026434876254447645,0.08724950834928512
0.025,MF_ONLY,0.0,0.015852479919758872,0.05591352670638725,0.0018008051638713173
0.025,SAMPLER_ONLY,0.0,0.38219537361985667,0.003963683112577145,0.06334972005078424
0.025,MF_PLUS_SAMPLER,0.0,0.0014438030100874023,0.05031175719590946,1.4742813135073867e-05
0.05,Reference,0.0,1.0290914792410684,0.3234817311529345,0.7409458650535593
0.05,STRONG_RAW,0.0,0.7426848290195642,0.005151989632384557,0.3529759971887728
0.05,MF_ONLY,0.0,0.032279283214719616,0.10736436356487322,0.007332075493935722
0.05,SAMPLER_ONLY,0.0,0.7707749341766638,0.00769300984098883,0.255563538886571
0.05,MF_PLUS_SAMPLER,0.0,0.0031073743216073605,0.09635540436467634,6.0057993492403726e-05
0.075,Reference,0.0,1.044957088666767,0.5484782120551553,0.7523691038400617
0.075,STRONG_RAW,0.0,0.750652710828552,0.007534260531778597,0.357114018061056
0.075,MF_ONLY,0.0,0.03401967407622109,0.1549652522345619,0.007465551583244319
0.075,SAMPLER_ONLY,0.0,0.7772855590442284,0.011203541693109397,0.25779287823930175
0.075,MF_PLUS_SAMPLER,0.0,0.003402522027289723,0.1390718194592115,6.152151242208513e-05
0.1,Reference,0.0,1.05834304933398,0.6841297335953401,0.7620069955204282
0.1,STRONG_RAW,0.0,0.7589353166261255,0.009798506332833556,0.3613681473095349
0.1,MF_ONLY,0.0,0.03700614851870793,0.1994344432378644,0.0075930531328589805
0.1,SAMPLER_ONLY,0.0,0.7838518687666334,0.014509811869021123,0.26005966539775976
0.1,MF_PLUS_SAMPLER,0.0,0.003785199373837494,0.17929645770710564,6.309474741219392e-05
0.125,Reference,0.0,1.0701328514958393,0.7849078921534891,0.7704956530769818
0.125,STRONG_RAW,0.0,0.7674973884491363,0.011952419493404814,0.36571436349115716
0.125,MF_ONLY,0.0,0.04106143158704602,0.24105695539653793,0.007705726835689124
0.125,SAMPLER_ONLY,0.0,0.7904333265683348,0.017625397024298464,0.2623484065233994
0.125,MF_PLUS_SAMPLER,0.0,0.004247273464316333,0.21735671259830236,6.448514260589841e-05
0.15,Reference,0.0,1.081231709377743,0.8640257419889259,0.7784868307519766
0.15,STRONG_RAW,0.0,0.7763226755850008,0.014003509218880163,0.3701384164472113
0.15,MF_ONLY,0.0,0.04578244453475788,0.279882450071491,0.007796339942654734
0.15,SAMPLER_ONLY,0.0,0.7970056808727305,0.020562980082261414,0.2646497858133047
0.15,MF_PLUS_SAMPLER,0.0,0.004759212421752331,0.2535571864583174,6.543403184199227e-05
0.17500000000000002,Reference,0.0,1.0968007100960135,0.923188858559284,0.7896965112691117
0.17500000000000002,STRONG_RAW,0.0,0.785404181415637,0.015958345665213168,0.3746308158486138
0.17500000000000002,MF_ONLY,0.0,0.05061882002420466,0.3160491019988895,0.007860383054824775
0.17500000000000002,SAMPLER_ONLY,0.0,0.8035536598034257,0.02333440951391507,0.26695779215502646
0.17500000000000002,MF_PLUS_SAMPLER,0.0,0.005275736771620717,0.28764464999662503,6.578121271232842e-05
0.2,Reference,0.0005165289256198347,1.1381600350572105,0.9339981679435214,0.8194752252411802
0.2,STRONG_RAW,0.0,0.7947390777785283,0.017823260162233557,0.379184272725003
0.2,MF_ONLY,0.0,0.05498133413066413,0.34975710531954673,0.007897424268505376
0.2,SAMPLER_ONLY,0.0,0.8100670470637104,0.025950754643436394,0.2692681982591955
0.2,MF_PLUS_SAMPLER,0.0,0.0057430306332836994,0.31933443242648313,6.54909745387815e-05
0.225,Reference,0.012396694214876033,1.1970125943798655,0.8878708071427239,0.8618490679535029
0.225,STRONG_RAW,0.0,0.8043258934226503,0.019604196564747416,0.3837923391152345
0.225,MF_ONLY,0.0,0.058362310388201,0.3810797767804258,0.007911065937219165
0.225,SAMPLER_ONLY,0.0,0.8165385232888362,0.028422357247481673,0.27157773607099917
0.225,MF_PLUS_SAMPLER,0.0,0.006103969432579669,0.34849761870674567,6.464876166751273e-05
0.25,Reference,0.02427685950413223,1.2468275873078083,0.8544964000041974,0.8977158628616226
0.25,STRONG_RAW,0.0,0.8141628323816007,0.021306728901695778,0.3884486468450591
0.25,MF_ONLY,0.0,0.06044824871296593,0.409860983303588,0.007907794613515113
0.25,SAMPLER_ONLY,0.0,0.822962450573324,0.030758890093914398,0.2738836390981967
0.25,MF_PLUS_SAMPLER,0.0,0.006303954118252245,0.3751869428260931,6.346265686483033e-05
0.275,Reference,0.040805785123966945,1.2091375199123235,0.8304550175997061,0.8161678259408387
0.275,STRONG_RAW,0.0,0.7727312457059003,0.02293608474679568,0.34553887434168473
0.275,MF_ONLY,0.0,0.057380803045028836,0.4359337122554806,0.006939382640628071
0.275,SAMPLER_ONLY,0.0,0.7775007866755385,0.032970376225595704,0.24273930120794707
0.275,MF_PLUS_SAMPLER,0.0,0.005910249685247434,0.3996362983249691,5.474269105380755e-05
0.3,Reference,0.05526859504132232,0.8239479984204287,0.7331339727936689,0.37077659928918677
0.3,STRONG_RAW,0.0,0.5216074318928147,0.024497167076392014,0.1554212276386053
0.3,MF_ONLY,0.0,0.03807385696200067,0.46022115657107115,0.003078753080517456
0.3,SAMPLER_ONLY,0.0,0.5222810012143995,0.03506436451283452,0.10877911477132471
0.3,MF_PLUS_SAMPLER,0.0,0.003815352247328674,0.42226491035805985,2.4078175529140677e-05
0.325,Reference,0.06456611570247933,0.4149565839530084,0.6130520984594414,0.09336523138942712
0.325,STRONG_RAW,0.0,0.2641031543081259,0.025994574713079605,0.03931992419427091
0.325,MF_ONLY,0.0,0.01879056891719009,0.4830594293241828,0.0007687277453677744
0.325,SAMPLER_ONLY,0.0,0.2630953043973068,0.0370487244288467,0.027417447510811117
0.325,MF_PLUS_SAMPLER,0.0,0.001800710753452092,0.44375834037522505,6.077588430478199e-06
0.35000000000000003,Reference,0.06869834710743801,0.0,0.5093045695709714,0.0
0.35000000000000003,STRONG_RAW,0.0,0.0,0.02743262144717292,0.0
0.35000000000000003,MF_ONLY,0.0,0.0,0.5049452352155078,0.0
0.35000000000000003,SAMPLER_ONLY,0.0,0.0,0.038930809434239884,0.0
