arm,eligible,hard_guards_passed,primary,phase_roi_continuous_rms,temperature_roi_nrmse_by_0_45,terminal_current_trace_nrmse,pulse_energy_relative_error
STRONG_RAW,False,False,0.00515,0.1104706585233264,0.3986753808978952,0.2866413666027951,0.5059373121851295
MF_ONLY,False,False,0.00515,0.11054829303941328,1.0637500637088853,0.9560858481606118,0.9901040840877988
SAMPLER_ONLY,False,False,0.00515,0.11040791957912645,0.38809471646912375,0.23401149470877686,0.6381782376376006
MF_PLUS_SAMPLER,False,False,0.00515,0.11052844849491639,0.9822552432828278,0.9950633131144745,0.9999197301782698
