Seed,Method,Original latency,Earlier latency,Shortening,Absolute shift error
29,E,0.24196666666666666,0.2140249999999999,0.027941666666666753,0.003658333333333097
29,F,0.25263749999999985,0.21763749999999993,0.03499999999999992,0.0034000000000000696
43,E,0.24309999999999987,0.21235999999999988,0.03073999999999999,0.0008599999999998609
43,F,0.25480000000000014,0.23922,0.01558000000000015,0.0160199999999997
baseline,B_E,0.2633714285714286,0.23809999999999998,0.02527142857142861,0.006328571428571239
