field,original_prepulse_time,new_prepulse_time,original_ROI_mean,new_ROI_mean,original_ROI_max,new_ROI_max,signed_mean_change
temperature,1.25,1.01,0.006524612674427362,0.01874612426447338,0.007898711325761129,0.022908605938869918,0.012221511590046018
phase,1.25,1.01,0.0004829088558621171,0.00397246303010247,0.020555009415370157,0.19178837429901752,0.003489554174240353
