reference,reader,protocol,seed,comparison,metric,candidate_error,control_error,signed_candidate_minus_control,difference_percentage_points,relative_error_reduction,candidate_NRMSE_percent,control_NRMSE_percent,relative_improvement_percent,candidate_minus_control_percentage_points,original_A_passed,original_B_passed,source_file,source_line,metrics_decisions_source
old,fine,original,43,E_vs_B_E,bottom_current_NRMSE,0.016310545317660338,0.016200064787774512,0.0001104805298858258,0.01104805298858258,-0.0068197585215338564,1.6310545317660339,1.6200064787774513,-0.6819758521533856,0.01104805298858258,False,False,paper/paper_revision_20260918/tables/reader-all-effects.csv,178,outputs/submission-archive-20260918/primary-rescore/results.json
old,fine,original,43,E_vs_B_E,power_trace_NRMSE,0.01657408779940339,0.01646429046914172,0.00010979733026166699,0.0109797330261667,-0.006668816397976894,1.6574087799403387,1.6464290469141722,-0.6668816397976893,0.0109797330261667,False,False,paper/paper_revision_20260918/tables/reader-all-effects.csv,179,outputs/submission-archive-20260918/primary-rescore/results.json
refined,fine,original,43,E_vs_B_E,bottom_current_NRMSE,0.01653270585741838,0.015704597543910265,0.0008281083135081163,0.08281083135081163,-0.05273031105653707,1.6532705857418382,1.5704597543910266,-5.273031105653707,0.08281083135081163,False,False,paper/paper_revision_20260918/tables/reader-all-effects.csv,466,outputs/submission-archive-20260918/primary-rescore/results.json
refined,fine,original,43,E_vs_B_E,power_trace_NRMSE,0.01681855988843464,0.015960880520290426,0.0008576793681442131,0.08576793681442131,-0.05373634412298744,1.6818559888434639,1.5960880520290426,-5.373634412298744,0.08576793681442131,False,False,paper/paper_revision_20260918/tables/reader-all-effects.csv,467,outputs/submission-archive-20260918/primary-rescore/results.json
spatial,fine,original,43,E_vs_B_E,bottom_current_NRMSE,0.015978477195546646,0.016112069060344483,-0.00013359186479783638,-0.013359186479783638,0.008291415850906248,1.5978477195546645,1.6112069060344483,0.8291415850906249,-0.013359186479783638,False,False,paper/paper_revision_20260918/tables/reader-all-effects.csv,754,outputs/submission-archive-20260918/primary-rescore/results.json
spatial,fine,original,43,E_vs_B_E,power_trace_NRMSE,0.016215560344076858,0.01636592244715388,-0.00015036210307702372,-0.015036210307702372,0.009187511645771758,1.6215560344076858,1.6365922447153882,0.9187511645771759,-0.015036210307702372,False,False,paper/paper_revision_20260918/tables/reader-all-effects.csv,755,outputs/submission-archive-20260918/primary-rescore/results.json
