Method,S,Phase RMS,Current (%),Power (%),Energy (%)
E0,0.0011285156250000002,0.0234146837479853,2.5549043917207457,2.6414635900221413,1.2356181401987512
D_E,0.0007870312499999999,0.015582121110219246,0.7242569183880068,0.7213228405112204,0.2881985053542954
P_E,0.0008190625,0.01599967728295512,0.6938186792647961,0.6817306280447462,0.21883069392803095
B_E,0.0014084375000000002,0.023769782205783657,1.7282289380764062,1.7562292993545878,1.1849409958004113
F_raw/network,0.000858203125,0.016691389577353725,279.29999984856124,20.118132410176123,19.2658976575891
F_raw/projected,0.000858203125,0.016691389577353725,1.0711119738664492,1.065120657995646,0.24937122270838977
F_full/network,0.0009050781250000001,0.017224287750074077,38.75356870399478,6.610591612070797,6.514554733974835
F_full/projected,0.0009050781250000001,0.017224287750074077,1.186644635037266,1.19018446205881,0.03617150999832295
F_bal/projected,0.000862890625,0.017166454293564788,1.60777034542008,1.6505301125966556,0.6774783531515705
