Reference,Seed,Role,Potential RMS,Bottom current %,Energy %,Local q %
old,29,E,0.001568101323932456,0.9942974635242439,0.287606086266471,5.635792773819395
old,29,E_C,0.0015099139246013743,0.9667219145867543,0.4837687274938343,5.530638842823976
old,29,E_R,0.0014395095214991714,0.9327608069244678,0.41467967024920777,5.399869491693657
old,29,E_I,0.0014141330118079146,0.9017786991448818,0.4183316184981865,5.311679749819046
old,29,F,0.0037235134756986397,2.269913966446679,0.7066266554761793,11.271435174216146
old,43,E,0.0010802508400533871,0.6821188750454754,0.16271789511990614,4.770874623981139
old,43,E_C,0.0009789428509723488,0.6209158314954735,0.15108145037286738,4.77253138163399
old,43,E_R,0.0009552403397247548,0.5984256963709861,0.11284399649494817,4.844945460672897
old,43,E_I,0.0009218151740106061,0.5800458804996798,0.09677037630473154,4.665133246474349
old,43,F,0.004585264153895475,2.9917345965852444,0.25736041848725977,14.365656952342048
old,shared,B_E,0.003005663306483679,2.0031855675185706,1.5059309720727836,11.33849836004611
refined,29,E,0.001588242723186819,1.009437733091884,0.31642290476377893,5.650492306594186
refined,29,E_C,0.001536596694286078,0.9866780999711275,0.51264191171218,5.568871238263938
refined,29,E_R,0.0014647872142442755,0.9515253798575796,0.4435330022953811,5.435330162903804
refined,29,E_I,0.0014383972759337922,0.9199367632607995,0.44718599990164304,5.337187533213441
refined,29,F,0.003741229158240637,2.284658276943009,0.7355638760865776,11.304663409087722
refined,43,E,0.0010965397647056808,0.695507496598937,0.19149882802299975,4.783553686306185
refined,43,E_C,0.0009967171102116255,0.6347885403184031,0.1798590396393012,4.792135452167004
refined,43,E_R,0.0009689921301932509,0.6093890034868439,0.14161059854360702,4.856252684389967
refined,43,E_I,0.0009372062635632852,0.5920638870709044,0.12553235973087373,4.679995742175712
refined,43,F,0.004595274780679757,2.9996549834930386,0.2861685461407761,14.397305760965676
refined,shared,B_E,0.0029573788575261973,1.9691426256249387,1.477629511692948,11.229127154546015
