seed,role,observation,obs_V,obs_T,obs_phase,boundary,initial,thermal,phase,electric,objective
29,E,4.005479555057301e-05,4.035545144847073e-06,4.2085277325105264e-05,7.404356418176665e-05,0.0390204205625301,4.2143649318369435e-33,0.0044777156054374,0.0007474554692164983,0.0,0.48876682396575877
29,D_E,3.8779545199764135e-05,3.3190077791989573e-06,4.075208489513944e-05,7.226754292495397e-05,0.036745605339312044,4.2143649318369435e-33,0.004418778252195503,0.0007133035832390545,0.0,0.47200469592270017
43,E,3.625887910636112e-05,1.940920920360737e-06,4.305244956663335e-05,6.378326683208932e-05,0.02854751810581777,4.14470600734377e-33,0.022056216593414817,0.0012774879577416506,0.0,0.4439699045537192
43,D_E,3.570634348571321e-05,1.9677507559417132e-06,4.260301196012743e-05,6.25482677410704e-05,0.026282447115147607,4.14470600734377e-33,0.02200254541118589,0.0012540636422180946,0.0,0.4354700188660029
