seed,role,metric,original,new,absolute_change,ratio_new_to_original
29,E/projected,S,0.001030078125,0.0010861718750000001,5.6093750000000154e-05,1.0544558210087223
29,E/projected,Ephi,0.020042062839986767,0.01900241378176963,-0.001039649058217136,0.9481266441225357
29,E/projected,ET,0.010600719518901736,0.011021722601211524,0.00042100308230978885,1.0397145761246787
29,E/projected,EV,0.001295806378420051,0.001568101323932456,0.0002722949455124051,1.2101355187373044
29,E/projected,EI,0.008582725577116241,0.009942974635239722,0.0013602490581234809,1.158486840328468
29,E/projected,bottom_current_NRMSE,0.008582725577119891,0.009942974635242439,0.0013602490581225476,1.158486840328292
29,E/projected,power_trace_NRMSE,0.008624890741396128,0.00999332058970384,0.0013684298483077114,1.1586605429956092
29,E/projected,energy_error,0.0027517159515824587,0.00287606086266471,0.00012434491108225107,1.045188134702182
29,F_raw/projected,S,0.001225,0.0012612500000000002,3.625000000000026e-05,1.0295918367346941
29,F_raw/projected,Ephi,0.023986713579712493,0.023818465166233878,-0.00016824841347861524,0.9929857663527146
29,F_raw/projected,ET,0.010930770446400033,0.011691428007149965,0.0007606575607499323,1.0695886501761136
29,F_raw/projected,EV,0.0026037742743953525,0.0037235134756986397,0.0011197392013032872,1.43004465184038
29,F_raw/projected,EI,0.016878445249982235,0.022699139664465462,0.005820694414483227,1.3448596318129096
29,F_raw/projected,bottom_current_NRMSE,0.01687844524998299,0.02269913966446679,0.005820694414483799,1.344859631812928
29,F_raw/projected,power_trace_NRMSE,0.01727433882661583,0.023353161120948644,0.006078822294332813,1.351898984693222
29,F_raw/projected,energy_error,0.0016092828994405844,0.007066266554761794,0.005456983655321209,4.390941180831633
29,B_E,S,0.0014084375000000002,0.0015754687500000003,0.00016703125000000008,1.118593299312181
29,B_E,Ephi,0.023769782205783657,0.02552352964250399,0.0017537474367203335,1.0737805429405076
29,B_E,ET,0.013278255127362866,0.012800189053165364,-0.0004780660741975015,0.9639963180695077
29,B_E,EV,0.002558449869505918,0.003005663306483679,0.00044721343697776096,1.1747985928151587
29,B_E,EI,0.01728228938076691,0.020031855675185353,0.002749566294418443,1.1590973414366257
29,B_E,bottom_current_NRMSE,0.017282289380764062,0.020031855675185704,0.0027495662944216417,1.159097341436837
29,B_E,power_trace_NRMSE,0.017562292993545878,0.020489387231699213,0.0029270942381533355,1.166669252086219
29,B_E,energy_error,0.011849409958004114,0.015059309720727837,0.003209899762723723,1.270891105472765
43,E/projected,S,0.0011316406249999998,0.0010735156249999998,-5.812500000000002e-05,0.948636520538488
43,E/projected,Ephi,0.021619161166716246,0.018619221717954475,-0.002999939448761771,0.8612370098160735
43,E/projected,ET,0.010330845552147926,0.010960980041449084,0.0006301344893011578,1.0609954418658543
43,E/projected,EV,0.0023572941029588812,0.0010802508400533871,-0.001277043262905494,0.4582588310459241
43,E/projected,EI,0.015717843041697634,0.006821188750453961,-0.008896654291243672,0.4339774059556473
43,E/projected,bottom_current_NRMSE,0.01571784304170005,0.006821188750454754,-0.008896654291245296,0.4339774059556311
43,E/projected,power_trace_NRMSE,0.01592750502299147,0.006727584643777657,-0.009199920379213813,0.4223878525899906
43,E/projected,energy_error,0.006568905729493914,0.0016271789511990613,-0.004941726778294853,0.24770928647874257
43,F_raw/projected,S,0.0012525000000000001,0.001197734375,-5.476562500000013e-05,0.9562749500998003
43,F_raw/projected,Ephi,0.02448208540577694,0.0233632244353989,-0.0011188609703780411,0.9542987882023307
43,F_raw/projected,ET,0.010446690661100185,0.0114088216040331,0.000962130942932916,1.092099112929184
43,F_raw/projected,EV,0.00464752889807411,0.004585264153895475,-6.226474417863476e-05,0.9866026127982902
43,F_raw/projected,EI,0.030696582612246257,0.029917345965851373,-0.0007792366463948847,0.9746148730548262
43,F_raw/projected,bottom_current_NRMSE,0.030696582612248655,0.029917345965852445,-0.00077923664639621,0.974614873054785
43,F_raw/projected,power_trace_NRMSE,0.03175752257654098,0.03094686326770039,-0.0008106593088405868,0.9744734713834569
43,F_raw/projected,energy_error,0.012191155965982461,0.002573604184872598,-0.009617551781109863,0.21110419652195764
43,B_E,S,0.0014084375000000002,0.0015754687500000003,0.00016703125000000008,1.118593299312181
43,B_E,Ephi,0.023769782205783657,0.02552352964250399,0.0017537474367203335,1.0737805429405076
43,B_E,ET,0.013278255127362866,0.012800189053165364,-0.0004780660741975015,0.9639963180695077
43,B_E,EV,0.002558449869505918,0.003005663306483679,0.00044721343697776096,1.1747985928151587
43,B_E,EI,0.01728228938076691,0.020031855675185353,0.002749566294418443,1.1590973414366257
43,B_E,bottom_current_NRMSE,0.017282289380764062,0.020031855675185704,0.0027495662944216417,1.159097341436837
43,B_E,power_trace_NRMSE,0.017562292993545878,0.020489387231699213,0.0029270942381533355,1.166669252086219
43,B_E,energy_error,0.011849409958004114,0.015059309720727837,0.003209899762723723,1.270891105472765
