time_s,voltage,current_top,current_bottom,active_mass_hat,joule_power,heat_sink_power,temperature_min,temperature_max,roi_depletion,annulus_depletion,relative_mass_drift,temperature_min_offset_k,temperature_max_offset_k
0.0,0.0,0.0,0.0,1.7777777777777786,0.0,6.0263962650710956e-18,299.9999999999985,300.00000000000034,0.0,0.0,0.0,-1.4779288903810084e-12,3.410605131648481e-13
0.005,0.0,0.0,0.0,1.7777777777777786,0.0,6.0263962650710956e-18,299.9999999999985,300.00000000000034,0.0,0.0,0.0,-1.4779288903810084e-12,3.410605131648481e-13
0.01,0.0,0.0,0.0,1.7777777777777786,0.0,6.0263962650710956e-18,299.9999999999985,300.00000000000034,0.0,0.0,0.0,-1.4779288903810084e-12,3.410605131648481e-13
0.015,0.0,0.0,0.0,1.7777777777777786,0.0,6.0263962650710956e-18,299.9999999999985,300.00000000000034,0.0,0.0,0.0,-1.4779288903810084e-12,3.410605131648481e-13
0.02,0.0,0.0,0.0,1.7777777777777786,0.0,6.0263962650710956e-18,299.9999999999985,300.00000000000034,0.0,0.0,0.0,-1.4779288903810084e-12,3.410605131648481e-13
0.025,0.0,0.0,0.0,1.7777777777777786,0.0,6.0263962650710956e-18,299.9999999999985,300.00000000000034,0.0,0.0,0.0,-1.4779288903810084e-12,3.410605131648481e-13
0.03,0.0,0.0,0.0,1.7777777777777786,0.0,6.0263962650710956e-18,299.9999999999985,300.00000000000034,0.0,0.0,0.0,-1.4779288903810084e-12,3.410605131648481e-13
0.035,0.0,0.0,0.0,1.7777777777777786,0.0,6.0263962650710956e-18,299.9999999999985,300.00000000000034,0.0,0.0,0.0,-1.4779288903810084e-12,3.410605131648481e-13
0.04,0.0,0.0,0.0,1.7777777777777786,0.0,6.0263962650710956e-18,299.9999999999985,300.00000000000034,0.0,0.0,0.0,-1.4779288903810084e-12,3.410605131648481e-13
0.045,0.0,0.0,0.0,1.7777777777777786,0.0,6.0263962650710956e-18,299.9999999999985,300.00000000000034,0.0,0.0,0.0,-1.4779288903810084e-12,3.410605131648481e-13
0.05,0.0,0.0,0.0,1.7777777777777786,0.0,6.0263962650710956e-18,299.9999999999985,300.00000000000034,0.0,0.0,0.0,-1.4779288903810084e-12,3.410605131648481e-13
0.05500000000000001,0.0,0.0,0.0,1.7777777777777786,0.0,6.0263962650710956e-18,299.9999999999985,300.00000000000034,0.0,0.0,0.0,-1.4779288903810084e-12,3.410605131648481e-13
