quantity,value,unit
cpu_solver_intents_consumed,2,of 40
completed_q0_guard_intents,1,intent
failed_driven_intents,1,intent
recorded_cpu_process_core_hours,0.002326388888888889,CPU_PROCESS_CORE_HOURS
q0_timesteps,400,steps
q0_linear_solves,1202,solves
automatic_differentiation_work,0,work units
peak_vram_bytes,0,bytes
production_reruns_after_failure,0,runs
