time,mass,sampled,full,heater_adjacent_mean,other_boundary_mean,interior_mean,heater_adjacent_full_volume_contribution,other_boundary_full_volume_contribution,interior_full_volume_contribution
0.010215015633166138,0.0175,8.954695341812787,2.113861290440545,164.7752563845534,6.8169793625939015,0.19391328144425038,1.4932757609850151,0.440973352517793,0.1796121769377369
0.08074786095087089,0.0175,6.94663325168902,27.452244247324707,1220.7674333142813,170.10287074509878,5.814315715617232,11.063204864410675,11.003529451323578,5.3855099315904615
0.1115341188306147,0.0175,1.8618224105531125,23.960988650195056,786.1793778101196,169.3198149262947,6.351808378673319,7.124750611404209,10.952875528044688,5.883362510746162
0.1626578770684817,0.0175,91.12079022083151,22.606492612256357,706.136397590419,158.5546453079836,6.424429571641555,6.399361103163172,10.256503618360188,5.950627890732991
0.19524625074967625,0.0175,9.287835626781055,28.55845890749619,1369.2976388900283,158.69617546285886,6.352000221108365,12.409259852440883,10.265658850253683,5.883540204801623
0.23483468295698726,0.0175,3.408628709610568,48.15548673562828,2444.806364815163,236.188623906269,11.574604529613042,22.156057681137412,15.278451608936775,10.72097744555408
0.28874249561588555,0.0175,19.605211273369317,51.95684756835784,1259.001251806178,321.2979925798884,21.336771745050278,11.409698844493489,20.783963895011528,19.763184828852822
0.3315303608031147,0.0175,3.6987449406815998,5.117650496092228,74.40131372058434,31.42025018245889,2.6028514513593786,0.6742619055927956,2.0324974336778094,2.4108911568216245
0.37428833099639963,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5444100243543254,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5832664703726964,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7978610062840701,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8983164404301638,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9343078849383412,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0556806600129813,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2243679774396625,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2529616830276766,0.0175,0.06392226459355735,0.13317847445480294,5.594450990505275,0.5624377742476022,0.049766336120601495,0.050699712101454054,0.03638269352164177,0.04609606883170714
1.295273664212207,0.0175,70.58048587994347,28.487832359967776,1111.3362149394193,128.95370937255404,10.876820336887665,10.071484447888487,8.34169307503709,10.074654837042198
1.358693578064957,0.0175,22.14090541797671,29.83977930272001,951.5044707392793,165.5563185812375,11.34396294566423,8.62300926607472,10.709424358223801,10.507345678421494
1.3909157530963028,0.0175,12.47561162520435,25.86610222187038,681.4592456171238,163.44598249398666,9.843417884896558,6.175724413405184,10.572911992579762,9.117465815885437
1.4301578357113252,0.0175,37.18770639899944,21.759261929831837,446.2115744156789,157.3433563733072,8.137458754430696,4.04379239314209,10.17814836539831,7.537321171291433
1.4968523536829095,0.0175,7.742575957622128,66.57855640801276,4427.071362462805,247.58775342365908,11.273834694845485,40.12033422231917,16.015832799592946,10.442389386100631
1.5462443048405037,0.0175,32.214756784155036,55.76084883580042,1505.5781452783604,343.2655748530901,21.496955488157642,13.644301941585141,22.204991873309265,19.911555020906018
1.581426565887188,0.0175,2.459421847555982,5.500167992970848,91.67926239831381,36.38855608886482,2.499800221849055,0.8308433154847189,2.3538847219984427,2.315439955487687
1.6047156256917585,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.791683952848225,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8745871702536712,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.045082321378088,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0941874483797323,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.191695620729683,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3042948668897743,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4626651740955947,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
