seed,role,cycle,recall,precision,mass_ratio,timing_absolute,event_time,recovery_fraction
29,E/projected,1,0.8837314105452905,0.9221725840583117,0.9583145561063541,0.006066666666666637,0.23453333333333334,1.0
29,E/projected,2,0.9833167330677289,0.8925302294044526,1.1017181274900396,0.006433333333333291,1.4919666666666667,1.0
29,F_raw/network,1,0.8387787291572778,0.9089244292516176,0.9228255971158177,0.009399999999999964,0.23120000000000002,1.0
29,F_raw/network,2,0.9056274900398404,0.9095910966612478,0.9956424302788844,0.004237499999999894,1.5026374999999998,1.0
29,F_raw/projected,1,0.8387787291572778,0.9089244292516176,0.9228255971158177,0.009399999999999964,0.23120000000000002,1.0
29,F_raw/projected,2,0.9056274900398404,0.9095910966612478,0.9956424302788844,0.004237499999999894,1.5026374999999998,1.0
29,B_E,1,0.7929247408742678,0.9879281302638967,0.8026137899954936,0.015271428571428602,0.2558714285714286,1.0
29,B_E,2,0.7721613545816732,0.9934326445619093,0.7772659362549801,0.014971428571428635,1.5133714285714286,1.0
43,E/projected,1,0.8027264533573683,0.8876292512769403,0.9043488057683643,0.011379999999999973,0.22922,1.0
43,E/projected,2,0.9840637450199203,0.8831284916201113,1.1142928286852594,0.005300000000000082,1.4930999999999999,1.0
43,F_raw/network,1,0.8405813429472734,0.7621820410665029,1.1028616493916181,0.03907499999999997,0.201525,1.0
43,F_raw/network,2,0.8901892430278885,0.9262857883145487,0.9610308764940239,0.006400000000000183,1.5048000000000001,1.0
43,F_raw/projected,1,0.8405813429472734,0.7621820410665029,1.1028616493916181,0.03907499999999997,0.201525,1.0
43,F_raw/projected,2,0.8901892430278885,0.9262857883145487,0.9610308764940239,0.006400000000000183,1.5048000000000001,1.0
43,B_E,1,0.7929247408742678,0.9879281302638967,0.8026137899954936,0.015271428571428602,0.2558714285714286,1.0
43,B_E,2,0.7721613545816732,0.9934326445619093,0.7772659362549801,0.014971428571428635,1.5133714285714286,1.0
