role,signed_relative_energy_error,absolute_relative_energy_error,normalized_integrated_absolute_power_error,signed_error_cancellation
P_E,0.0021883069392803095,0.0021883069392803095,0.004503096869678514,0.5140440006931191
F_raw/projected,0.0024937122270838976,0.0024937122270838976,0.0065119980645177425,0.6170588193704303
F_full/projected,0.0003617150999832295,0.0003617150999832295,0.007759999288768096,0.953387225111376
F_bal/projected,0.006774783531515705,0.006774783531515705,0.009507966335377215,0.28746239810419716
D_E,0.0028819850535429545,0.0028819850535429545,0.0046674944019323055,0.38254129402922576
B_E,-0.011849409958004114,0.011849409958004114,0.011852998825753813,0.00030278141443007556
