candidate,base,A,B,S_relative_percent,Ephi_relative_percent,ET_relative_percent,EV_relative_percent,EI_relative_percent,bottom_current_NRMSE_relative_percent,power_trace_NRMSE_relative_percent,energy_error_relative_percent,local_joule_NRMSE_relative_percent,current_percentage_point_change,power_percentage_point_change
P_E,F_raw/network,False,True,-4.560764679107876,-4.14412647426966,-2.9429315984556004,-75.52482221616216,-85.91152594128538,-99.75158658086609,-96.61136225696619,-98.86415521447644,-99.15252228839778,-278.60618116929646,-19.436401782131377
F_raw/network,P_E,False,False,4.778710415871812,4.3232890399327095,3.0321661749354467,308.5772159989575,609.8000790095757,40155.47426087188,2851.0383694915413,8704.019816308433,11699.72035027828,278.60618116929646,19.436401782131377
P_E,F_raw/projected,False,True,-4.560764679107876,-4.14412647426966,-2.9429315984556004,-38.18282089736121,-35.22444933930456,-35.22444933928968,-35.99498583309489,-12.247014089541663,-30.810755562491398,-0.3772932946016531,-0.38339002995089977
F_raw/projected,P_E,False,False,4.778710415871812,4.3232890399327095,3.0321661749354467,61.7673298129052,54.379235652994765,54.37923565295928,56.23775934059039,13.956236317745718,44.53113459031848,0.3772932946016531,0.38339002995089977
F_raw/projected,F_raw/network,False,True,0.0,0.0,0.0,-60.40715843212413,-78.25032143298591,-99.6165012622817,-94.70566831811442,-98.70563403200599,-98.77513084802125,-278.2288878746948,-19.053011752180478
P_E,F_bal/network,False,True,-5.079221367134457,-6.796843370544248,-1.136162493620585,-70.90289093376094,-87.80309683142663,-99.79107397725285,-95.96471404452474,-98.60111288932298,-98.83339485308802,-331.39438658202096,-16.212502781107936
F_bal/network,P_E,False,False,5.351011064479216,7.2925034047572,1.1492194944863199,243.67675418321372,719.8802484360184,47763.83174537511,2378.139123308365,7048.539666764256,8471.880577134534,331.39438658202096,16.212502781107936
P_E,F_bal/projected,False,True,-5.079221367134457,-6.796843370544248,-1.136162493620585,-55.05609223204622,-56.84590891721666,-56.84590891720208,-58.69626231949017,-67.69923453494128,-41.271745695668415,-0.913951666155284,-0.9687994845519095
F_bal/projected,P_E,False,False,5.351011064479216,7.2925034047572,1.1492194944863199,122.49956660711794,131.72774003782868,131.72774003775044,142.1088395764905,209.59018636315236,70.27579175399457,0.913951666155284,0.9687994845519095
F_bal/projected,F_bal/network,False,True,0.0,0.0,0.0,-35.25905843241767,-71.7363919328626,-99.51586044913728,-90.23021599960576,-95.66918278704486,-98.01355384945278,-330.4804349158657,-15.243703296556028
P_E,F_full/network,False,True,-9.503668536901166,-7.1097887174678025,-2.0758360158718236,-77.56950330842407,-85.6804888878587,-98.2096650644892,-89.68729777831199,-96.64089561199354,-92.08145600672461,-38.05975002472998,-5.928860984026051
F_full/network,P_E,False,False,10.501716901945834,7.6539697986506505,2.1198404269331173,345.8216033956857,598.3478640916138,5485.547040194989,869.6779549175401,2876.9839948126028,1162.8584255504836,38.05975002472998,5.928860984026051
P_E,F_full/projected,False,True,-9.503668536901166,-7.1097887174678025,-2.0758360158718236,-39.523934130442626,-41.53104823646392,-41.5310482364413,-42.7205908178744,504.980809311463,-35.08758896001641,-0.4928259557724698,-0.5084538340140639
F_full/projected,P_E,False,False,10.501716901945834,7.6539697986506505,2.1198404269331173,65.35467140950104,71.03094374673667,71.03094374667054,74.58280633105,-83.47055006359435,54.053744727497175,0.4928259557724698,0.5084538340140639
F_full/projected,F_full/network,False,True,0.0,0.0,0.0,-62.910125900125635,-75.50920500498593,-96.93797326356955,-81.99579505281254,-99.44475852187287,-87.80118645046497,-37.56692406895751,-5.420407150011987
F_full/projected,F_raw/projected,False,False,5.4619936276741,3.192653135622514,-0.8854766252835433,2.217593379791105,10.786235612132922,10.786235612115536,11.741749925169076,-85.49491412622969,6.588622004643541,0.11553266117081668,0.12506380406316406
F_raw/projected,F_full/projected,False,False,-5.179110919292196,-3.093876393919748,0.8933873615432519,-2.169483066923328,-9.736079173134794,-9.736079173120638,-10.507934530318575,589.4133607359813,-6.181355833980573,-0.11553266117081668,-0.12506380406316406
