role,head,block,norm,cosine_with_C,cosine_with_F
E0,all,observation,4.028667126399396,0.9650865997322042,0.2623753382300568
E0,all,boundary,1.266077260077933,0.5525701390752246,-0.007054491083237934
E0,all,thermal,0.0015614570028217186,-0.04558065479288154,0.48221363420359414
E0,all,phase,0.0015694174026872503,0.2669495367096517,0.49019972237645176
E0,all,C,4.587609146150948,0.9999999999999998,0.22846134789900369
E0,all,F,0.0015222838310733745,0.22846134789900369,1.0
E0,all,C_plus_F,4.587957168532135,0.9999999478274862,0.22877581774163075
E0,T_including_adapter,observation,1.1211255979873374,0.9969774156816917,0.35282445843764526
E0,T_including_adapter,boundary,0.09857153884042606,0.4681548978323925,-0.09976075546357599
E0,T_including_adapter,thermal,0.001532031661716322,-0.40787173007203953,0.46789275001205044
E0,T_including_adapter,phase,0.0015554043784366538,0.7175871719466169,0.4921599112902885
E0,T_including_adapter,C,1.163883650031027,1.0000000000000002,0.33141367761137674
E0,T_including_adapter,F,0.0014823341882178914,0.33141367761137674,1.0
E0,T_including_adapter,C_plus_F,1.1643757557793455,0.9999992786490545,0.3325466826622343
E0,phase,observation,3.8695266130198274,0.9630010053752068,0.7628771521098494
E0,phase,boundary,1.2622342414215664,0.563410646276502,0.0022416826361469884
E0,phase,thermal,0.0003017067436430767,0.2993427080788688,0.8001245577591892
E0,phase,phase,0.00020925631029358022,0.6708623203809124,0.5020418077581776
E0,phase,C,4.437514228375869,1.0,0.6658689570482889
E0,phase,F,0.0003464583911349769,0.6658689570482889,1.0
E0,phase,C_plus_F,4.437744931791223,0.9999999983036899,0.665912411584665
D_E,all,observation,1.2578985050820497,0.9330354427883389,0.07719244528556587
D_E,all,boundary,0.45739235751530366,0.1447929940461041,-0.06702833384436599
D_E,all,thermal,0.0015028706667890193,0.2782789021997303,0.8364913744503659
D_E,all,phase,0.0008439692225931883,-0.403997196700683,0.21867532413880778
D_E,all,C,1.239891097570467,1.0,0.05358697551836222
D_E,all,F,0.001441693592997228,0.05358697551836222,1.0
D_E,all,C_plus_F,1.2399691892810796,0.9999993260224954,0.054746285690614106
D_E,T_including_adapter,observation,0.9673361703664953,0.9964695475485567,0.06940408075393845
D_E,T_including_adapter,boundary,0.08439556843752852,-0.2720386623713309,-0.26411347748494013
D_E,T_including_adapter,thermal,0.0014756925029907662,0.3420560497767254,0.8323425766021828
D_E,T_including_adapter,phase,0.0008389854951086353,-0.5212536561643892,0.2226817343285691
D_E,T_including_adapter,C,0.9409621784646414,1.0,0.047660864215758866
D_E,T_including_adapter,F,0.0014151084453391627,0.047660864215758866,1.0
D_E,T_including_adapter,C_plus_F,0.9410306853496342,0.9999988718821345,0.049161180167168084
D_E,phase,observation,0.8040953815240698,0.8443762166249078,0.20299118302419308
D_E,phase,boundary,0.44953882673414736,0.28575214477293137,-0.10216560555644028
D_E,phase,thermal,0.0002845204346118547,0.18968109001499828,0.9470248664623426
D_E,phase,phase,9.158268221595708e-05,-0.15212828745833704,0.06703925561890378
D_E,phase,C,0.8074156999548455,1.0,0.14527444327871605
D_E,phase,F,0.00027558756143744,0.14527444327871605,1.0
D_E,phase,C_plus_F,0.8074557818213799,0.9999999429851478,0.14560853549362662
