state,time,weight,phase_common_MS,thermal_conditional_semidiscrete_MS,thermal_common_fd_MS
B0,1.36,0.00047348484848492255,0.2477107174137617,0.04684194604153329,0.04684193777282636
B0,1.3606250000000002,0.0009469696969696769,0.25177415877734277,0.04666789224365071,0.04666789639008011
B0,1.36125,0.0009469696969696769,0.2557472503687528,0.046500707639254554,0.0465007118494671
B0,1.3618750000000002,0.0009469696969696769,0.2596231888367213,0.046339321249931245,0.04633932552041056
B0,1.3625,0.0009469696969696769,0.26339970547195224,0.04618282064806231,0.04618282497551664
B0,1.3631250000000001,0.0009469696969696769,0.26707481335252997,0.04603043753303014,0.04603044191438104
B0,1.36375,0.0009469696969696769,0.27064679937652814,0.04588153392789693,0.04588153836026189
B0,1.3643750000000001,0.0009469696969696769,0.27411421567595595,0.04573558900897158,0.04573559348964899
B0,1.365,0.0009469696969696769,0.2774758704885726,0.045592186577243815,0.0455921911037002
B0,1.365625,0.0009469696969698451,0.2807308185629792,0.04545100317740791,0.04545100774726751
B0,1.3662500000000002,0.0009469696969696769,0.2838783511712331,0.04531179686713141,0.045311801478160205
B0,1.366875,0.0009469696969696769,0.28691798580386174,0.045174396636343706,0.04517440128643985
B0,1.3675000000000002,0.0009469696969696769,0.28984945561406544,0.04503869247362956,0.04503869716081356
B0,1.368125,0.0009469696969696769,0.29267269867879864,0.0449046260743151,0.044904630796719
B0,1.3687500000000001,0.0009469696969696769,0.2953878471401198,0.04477218218252095,0.04477218693837618
B0,1.369375,0.0009469696969696769,0.29799521628801606,0.044641380557334596,0.0446413853449668
B0,1.37,0.0009469696969698451,0.30049529363749994,0.04451226855131203,0.04451227336913306
B0,1.3706250000000002,0.0009469696969696769,0.30288872805393646,0.04438491428776136,0.04438491913425584
B0,1.37125,0.0009469696969696769,0.3051763189774658,0.04425940042167206,0.044259405295397555
B0,1.3718750000000002,0.0009469696969696769,0.30735900578406083,0.04413581846774103,0.044135823367318014
B0,1.3725,0.0009469696969696769,0.30943785732888773,0.044014263677699235,0.04401426860180326
B0,1.3731250000000002,0.0009469696969696769,0.3114140617066747,0.04389483044804603,0.04389483539540598
B0,1.37375,0.0009469696969696769,0.31328891625849886,0.04377760823836556,0.0437776132077566
B0,1.3743750000000001,0.0009469696969696769,0.31506381785582505,0.043662677979604436,0.04366268296984252
B0,1.375,0.0009469696969696769,0.3167402534855935,0.043550108951036046,0.043550113960975065
B0,1.375625,0.0009469696969698451,0.31831979115600884,0.04343995610411573,0.04343996113264482
B0,1.3762500000000002,0.0009469696969696769,0.31980407114023923,0.04333225781103413,0.043332262857071605
B0,1.376875,0.0009469696969696769,0.3211947975740172,0.0432270340154957,0.04322703907798767
B0,1.3775000000000002,0.0009469696969696769,0.3224937304155898,0.043124284763079314,0.04312428984099813
B0,1.378125,0.0009469696969696769,0.3237026777765183,0.043023989088473664,0.04302399418081425
B0,1.3787500000000001,0.0009469696969696769,0.3248234886293576,0.04292610423690694,0.04292610934268345
B0,1.379375,0.0009469696969696769,0.3258580458948489,0.0428305651972104,0.042830570315458505
B0,1.3800000000000001,0.0009469696969696769,0.3268082599074418,0.04273728452415543,0.042737289653928756
B0,1.380625,0.0009469696969696769,0.32767606225942575,0.0426461524279807,0.042646157568347845
B0,1.38125,0.0009469696969698451,0.3284634000202577,0.04255703710936946,0.04255704225941685
B0,1.3818750000000002,0.0009469696969696769,0.3291722303227935,0.042469785318546914,0.04246979047737523
B0,1.3825,0.0009469696969696769,0.3298045153141683,0.04238422311763178,0.04238422828435673
B0,1.3831250000000002,0.0009469696969696769,0.3303622174602309,0.04230015682589186,0.042300161999644065
B0,1.38375,0.0009469696969696769,0.330847295194975,0.042217374128116006,0.042217379308041314
B0,1.3843750000000001,0.0009469696969696769,0.33126169890532475,0.04213564532691672,0.04213565051217477
B0,1.385,0.0009469696969696769,0.33160736724045975,0.042054724720415514,0.04205472991017946
B0,1.385625,0.0009469696969698451,0.33188622373408394,0.041974352087431596,0.041974357280891925
