scope,state,time,weight,phase_MSE,predicted_active_fraction,reference_restricted_native_indicator_fraction,reference_threshold_after_restriction_fraction
full,B0,1.36,0.0018939393939393539,0.0012097080762198116,0.020937499999999994,0.022499999999999992,0.02187499999999999
full,B0,1.3625,0.0037878787878787078,0.0011949172673063366,0.021249999999999995,0.022343749999999996,0.02187499999999999
full,B0,1.365,0.003787878787878876,0.001181485260631371,0.021249999999999995,0.022343749999999996,0.02187499999999999
full,B0,1.3675000000000002,0.003787878787878876,0.001169695354862557,0.021249999999999995,0.022343749999999996,0.02187499999999999
full,B0,1.37,0.0037878787878787078,0.0011598030650049065,0.021562499999999995,0.022343749999999996,0.02187499999999999
full,B0,1.3725,0.0037878787878787078,0.0011520353673070535,0.021562499999999995,0.022343749999999996,0.02187499999999999
full,B0,1.375,0.003787878787878876,0.001146590637504239,0.021562499999999995,0.022031249999999995,0.02187499999999999
full,B0,1.3775000000000002,0.003787878787878876,0.001143639148874717,0.021562499999999995,0.021718749999999995,0.02187499999999999
full,B0,1.3800000000000001,0.0037878787878787078,0.0011433240084710301,0.022187499999999992,0.021718749999999995,0.02187499999999999
full,B0,1.3825,0.0037878787878787078,0.0011457624242330986,0.022812499999999993,0.021718749999999995,0.02187499999999999
full,B0,1.385,0.003787878787878876,0.001151047210291977,0.022812499999999993,0.021718749999999995,0.02124999999999999
full,B0,1.3875000000000002,0.003787878787878876,0.0011592484517114773,0.022812499999999993,0.02156249999999999,0.02124999999999999
full,B0,1.3900000000000001,0.0037878787878787078,0.0011704152628411804,0.023124999999999993,0.02124999999999999,0.02124999999999999
full,B0,1.3925,0.0037878787878787078,0.0011845775852363887,0.023749999999999993,0.02109374999999999,0.02124999999999999
full,B0,1.395,0.003787878787878876,0.0012017479816850444,0.023749999999999993,0.02109374999999999,0.02124999999999999
full,B0,1.3975000000000002,0.003787878787878876,0.0012219233922611261,0.024062499999999994,0.02109374999999999,0.02124999999999999
full,B0,1.4000000000000001,0.0037878787878787078,0.0012450868265118497,0.024062499999999994,0.02109374999999999,0.02124999999999999
full,B0,1.4025,0.0037878787878787078,0.0012712089729262244,0.024374999999999994,0.02109374999999999,0.02124999999999999
full,B0,1.405,0.003787878787878876,0.001300249712786036,0.024687499999999994,0.02109374999999999,0.02124999999999999
full,B0,1.4075000000000002,0.003787878787878876,0.001332159530445117,0.024687499999999994,0.02093749999999999,0.02124999999999999
full,B0,1.4100000000000001,0.0037878787878787078,0.001366880816108033,0.024687499999999994,0.02093749999999999,0.02062499999999999
full,B0,1.4125,0.0037878787878787078,0.0014043490603816498,0.024687499999999994,0.020781249999999994,0.019999999999999997
full,B0,1.415,0.003787878787878876,0.0014444939423509384,0.024687499999999994,0.02062499999999999,0.019999999999999997
full,B0,1.4175000000000002,0.003787878787878876,0.0014872403147823377,0.024687499999999994,0.020468749999999994,0.019999999999999997
full,B0,1.4200000000000002,0.0037878787878787078,0.0015325090913779578,0.024999999999999994,0.02031249999999999,0.019999999999999997
