step,time,residual_inf,residual_rate_inf,iterations,linear_solves,residual_evaluations,jacobian_evaluations,decrease_rejections,phase_min,phase_max
51,1.3759375,5.993826494973733e-12,1.9180244783915945e-08,2,2,5,3,0,7.99379030165346e-08,0.9700700690105352
52,1.3762500000000002,5.766279685996082e-12,1.8452094995187462e-08,2,2,5,3,0,7.974582356032991e-08,0.9700384209805175
53,1.3765625000000001,5.546907503900956e-12,1.775010401248306e-08,2,2,5,3,0,7.955418318930754e-08,0.9700059597955903
54,1.376875,5.335459315027394e-12,1.707346980808766e-08,2,2,5,3,0,7.936298096312323e-08,0.9699726940287167
55,1.3771875,5.1316646922485235e-12,1.6421327015195275e-08,2,2,5,3,0,7.917221594407598e-08,0.9699386321483409
56,1.3775000000000002,4.935284873917173e-12,1.5792911596534953e-08,2,2,5,3,0,7.898188719707489e-08,0.9699037825192062
57,1.3778125,4.746065180943025e-12,1.518740857901768e-08,2,2,5,3,0,7.879199378960643e-08,0.9698681534031787
58,1.378125,4.563768396667004e-12,1.4604058869334413e-08,2,2,5,3,0,7.860253479170172e-08,0.9698317529600791
59,1.3784375000000002,4.3881726865483556e-12,1.4042152596954738e-08,2,2,5,3,0,7.841350927590442e-08,0.9697945892485184
60,1.3787500000000001,4.2190430633187205e-12,1.3500937802619906e-08,2,2,5,3,0,7.82249163172384e-08,0.9697566702267412
61,1.3790625,4.0561611008979245e-12,1.2979715522873359e-08,2,2,5,3,0,7.803675499317622e-08,0.9697180037534727
62,1.379375,3.8993136044812755e-12,1.2477803534340082e-08,2,2,5,3,0,7.784902438360819e-08,0.9696785975887714
63,1.3796875000000002,3.7482961951829964e-12,1.1994547824585589e-08,2,2,5,3,0,7.766172357081125e-08,0.9696384593948848
64,1.3800000000000001,3.60290366063689e-12,1.1529291714038048e-08,2,2,5,3,0,7.747485163941865e-08,0.9695975967371114
65,1.3803125,3.4629378425671438e-12,1.108140109621486e-08,2,2,5,3,0,7.728840767638891e-08,0.9695560170846645
66,1.380625,3.3282153346237547e-12,1.0650289070796015e-08,2,2,5,3,0,7.710239077097711e-08,0.9695137278115398
67,1.3809375000000002,3.1985487324612087e-12,1.0235355943875868e-08,2,2,5,3,0,7.691680001470498e-08,0.9694707361973861
68,1.38125,3.0737576858243763e-12,9.836024594638004e-09,2,2,5,3,0,7.673163450133132e-08,0.9694270494283793
69,1.3815625,2.9536699691981583e-12,9.451743901434106e-09,2,2,5,3,0,7.65468933268241e-08,0.9693826745980979
70,1.3818750000000002,2.8381150375808226e-12,9.081968120258632e-09,2,2,5,3,0,7.63625755893315e-08,0.9693376187083997
71,1.3821875000000001,2.7269353767254978e-12,8.726193205521593e-09,2,2,5,3,0,7.61786803891547e-08,0.9692918886703034
72,1.3825,2.6199758644063556e-12,8.383922766100338e-09,2,2,5,3,0,7.59952068287194e-08,0.9692454913048673
73,1.3828125,2.517076343633729e-12,8.054644299627933e-09,2,2,5,3,0,7.581215401254905e-08,0.9691984333440724
74,1.3831250000000002,2.4180929407793296e-12,7.737897410493855e-09,2,2,5,3,0,7.562952104723849e-08,0.9691507214317051
75,1.3834375,2.3228825276038617e-12,7.4332240883323575e-09,2,2,5,3,0,7.544730704142686e-08,0.9691023621242392
76,1.38375,2.2313071597096674e-12,7.140182911070936e-09,2,2,5,3,0,7.52655111057724e-08,0.9690533618917209
77,1.3840625000000002,2.143237911905911e-12,6.8583613180989156e-09,2,2,5,3,0,7.508413235292634e-08,0.9690037271186513
78,1.3843750000000001,2.0585382695865496e-12,6.587322462676959e-09,2,2,5,3,0,7.490316989750769e-08,0.9689534641048694
79,1.3846875,1.977094296655782e-12,6.326701749298502e-09,2,2,5,3,0,7.472262285607883e-08,0.9689025790664347
80,1.385,1.8987774677223235e-12,6.076087896711435e-09,2,2,5,3,0,7.454249034712098e-08,0.9688510781365085
81,1.3853125000000002,1.8234747750384833e-12,5.835119280123147e-09,2,2,5,3,0,7.436277149101022e-08,0.9687989673662346
82,1.385625,1.7510789164705033e-12,5.603452532705611e-09,2,2,5,3,0,7.418346540999387e-08,0.9687462527256185
83,1.3859375,1.6814758746074195e-12,5.380722798743742e-09,2,2,5,3,0,7.400457122816802e-08,0.9686929401044039
84,1.3862500000000002,1.6145628332019622e-12,5.166601066246279e-09,2,2,5,3,0,7.382608807145389e-08,0.9686390353129489
85,1.3865625000000001,1.5502326866320172e-12,4.960744597222455e-09,2,2,5,3,0,7.364801506757643e-08,0.9685845440831001
86,1.386875,1.488402337577327e-12,4.762887480247446e-09,2,2,5,3,0,7.347035134604161e-08,0.9685294720690628
87,1.3871875,1.4289758680269445e-12,4.572722777686222e-09,2,2,5,3,0,7.329309603811591e-08,0.9684738248482702
88,1.3875000000000002,1.3718430688300365e-12,4.389897820256117e-09,2,2,5,3,0,7.311624827680468e-08,0.9684176079222492
89,1.3878125000000001,1.3169502448740107e-12,4.214240783596834e-09,2,2,5,3,0,7.293980719683156e-08,0.9683608267174831
90,1.388125,1.2641847272243552e-12,4.0453911271179366e-09,2,2,5,3,0,7.276377193461893e-08,0.9683034865862723
91,1.3884375,1.2134711096199735e-12,3.883107550783915e-09,2,2,5,3,0,7.258814162826694e-08,0.9682455928075893
92,1.3887500000000002,1.1647443263779894e-12,3.727181844409566e-09,2,2,5,3,0,7.241291541753573e-08,0.9681871505879336
93,1.3890625,1.117921849384286e-12,3.5773499180297152e-09,2,2,5,3,0,7.223809244382514e-08,0.9681281650621791
94,1.389375,1.0729318637974633e-12,3.4333819641518826e-09,2,2,5,3,0,7.206367185015702e-08,0.9680686412944205
95,1.3896875000000002,1.029693454254136e-12,3.295019053613235e-09,2,2,5,3,0,7.188965278115727e-08,0.968008584278814
96,1.3900000000000001,9.881546468126605e-13,3.1620948698005136e-09,2,2,5,3,0,7.17160343830375e-08,0.9679479989404146
97,1.3903125,9.482470012108987e-13,3.034390403874876e-09,2,2,5,3,0,7.154281580357822e-08,0.9678868901360088
98,1.390625,9.099059193281613e-13,2.911698941850116e-09,2,2,5,3,0,7.136999619211247e-08,0.9678252626549414
99,1.3909375000000002,8.730777128281193e-13,2.793848681049982e-09,2,2,5,3,0,7.119757469950862e-08,0.9677631212199405
100,1.39125,8.376889947762228e-13,2.680604783283913e-09,2,2,5,3,0,7.10255504781548e-08,0.9677004704879345
101,1.3915625,8.037049487302078e-13,2.571855835936665e-09,2,2,5,3,0,7.085392268194355e-08,0.9676373150508657
102,1.3918750000000002,7.710517134170737e-13,2.467365482934636e-09,2,2,5,3,0,7.068269046625635e-08,0.9675736594364991
103,1.3921875000000001,7.396898509827964e-13,2.3670075231449483e-09,2,2,5,3,0,7.051185298794885e-08,0.9675095081092248
104,1.3925,7.202645598003432e-13,2.3048465913610983e-09,2,2,5,3,0,7.034140940533706e-08,0.9674448654708552
105,1.3928125,7.188664810989231e-13,2.300372739516554e-09,2,2,5,3,0,7.017135887818304e-08,0.967379735861417
106,1.3931250000000002,7.172191985281573e-13,2.2951014352901034e-09,2,2,5,3,0,7.000170056768129e-08,0.9673141235599383
107,1.3934375,7.156324144386161e-13,2.2900237262035716e-09,2,2,5,3,0,6.983243363644622e-08,0.9672480327852271
108,1.39375,7.13855027607152e-13,2.2843360883428865e-09,2,2,5,3,0,6.966355724849861e-08,0.9671814676966481
109,1.3940625000000002,7.119401639402168e-13,2.2782085246086936e-09,2,2,5,3,0,6.949507056925419e-08,0.96711443239489
110,1.3943750000000001,7.099995504716849e-13,2.271998561509392e-09,2,2,5,3,0,6.932697276551116e-08,0.9670469309227276
111,1.3946875,7.080457639467574e-13,2.265746444629624e-09,2,2,5,3,0,6.915926300543911e-08,0.9669789672657795
112,1.395,7.060262747701773e-13,2.2592840792645674e-09,2,2,5,3,0,6.899194045856762e-08,0.9669105453532564
113,1.3953125000000002,7.039427092452033e-13,2.2526166695846506e-09,2,2,5,3,0,6.882500429577558e-08,0.966841669058706
114,1.3956250000000001,7.020339713205426e-13,2.2465087082257362e-09,2,2,5,3,0,6.865845368928115e-08,0.9667723422007497
115,1.3959375,6.996885167608047e-13,2.239003253634575e-09,2,2,5,3,0,6.849228781263127e-08,0.9667025685438134
116,1.39625,6.975406038368936e-13,2.2321299322780597e-09,2,2,5,3,0,6.832650584069255e-08,0.9666323517988514
117,1.3965625000000002,6.953745305265935e-13,2.225198497685099e-09,2,2,5,3,0,6.816110694964217e-08,0.9665616956240636
118,1.396875,6.929776305737712e-13,2.2175284178360677e-09,2,2,5,3,0,6.799609031695841e-08,0.9664906036256069
119,1.3971875,6.90598891007338e-13,2.2099164512234815e-09,2,2,5,3,0,6.78314551214131e-08,0.9664190793582984
120,1.3975000000000002,6.883246143202237e-13,2.202638765824716e-09,2,2,5,3,0,6.766720054306258e-08,0.9663471263263133
121,1.3978125000000001,6.859417005754265e-13,2.1950134418413647e-09,2,2,5,3,0,6.750332576324072e-08,0.9662747479838739
122,1.398125,6.83282369486754e-13,2.186503582357613e-09,2,2,5,3,0,6.733982996455131e-08,0.9662019477359339
123,1.3984375,6.809273197377896e-13,2.178967423160927e-09,2,2,5,3,0,6.717671233086095e-08,0.966128728938854
124,1.3987500000000002,6.783951655639497e-13,2.170864529804639e-09,2,2,5,3,0,6.701397204729243e-08,0.9660550949010716
125,1.3990625,6.757998024034539e-13,2.1625593676910526e-09,2,2,5,3,0,6.685160830021848e-08,0.9659810488837623
126,1.399375,6.730836049108346e-13,2.153867535714671e-09,2,2,5,3,0,6.668962027725553e-08,0.9659065941014962
127,1.3996875000000002,6.702982353196107e-13,2.1449543530227544e-09,2,2,5,3,0,6.65280071672582e-08,0.965831733722884
128,1.4000000000000001,6.677829946996616e-13,2.136905583038917e-09,2,2,5,3,0,6.636676816031416e-08,0.9657564708712202
129,1.4003125,6.651578701895311e-13,2.1285051846064995e-09,2,2,5,3,0,6.62059024477389e-08,0.9656808086251149
130,1.400625,6.623363424558548e-13,2.1194762958587354e-09,2,2,5,3,0,6.604540922207125e-08,0.9656047500191205
131,1.4009375000000002,6.595794873817673e-13,2.1106543596216554e-09,2,2,5,3,0,6.588528767706859e-08,0.965528298044352
132,1.40125,6.567889678302241e-13,2.101724697056717e-09,2,2,5,3,0,6.572553700770344e-08,0.9654514556490981
133,1.4015625,6.540509778739378e-13,2.092963129196601e-09,2,2,5,3,0,6.556615641015906e-08,0.9653742257394261
134,1.4018750000000002,6.511083447575949e-13,2.083546703224304e-09,2,2,5,3,0,6.540714508182606e-08,0.9652966111797802
135,1.4021875000000001,6.483006406016179e-13,2.074562049925177e-09,2,2,5,3,0,6.524850222129989e-08,0.965218614793571
136,1.4025,6.452073575934081e-13,2.064663544298906e-09,2,2,5,3,0,6.50902270283772e-08,0.9651402393637594
137,1.4028125,6.424344563271678e-13,2.055790260246937e-09,2,2,5,3,0,6.493231870405342e-08,0.9650614876334318
138,1.4031250000000002,6.394420583311078e-13,2.046214586659545e-09,2,2,5,3,0,6.477477645052105e-08,0.9649823623063692
139,1.4034375000000001,6.365129235318123e-13,2.0368413553017994e-09,2,2,5,3,0,6.461759947116644e-08,0.9649028660476084
140,1.40375,6.335458416564799e-13,2.0273466933007356e-09,2,2,5,3,0,6.446078697056921e-08,0.9648230014839966
141,1.4040625,6.306634359708185e-13,2.0181229951066193e-09,2,2,5,3,0,6.430433815449978e-08,0.9647427712047383
142,1.4043750000000002,6.275339948201564e-13,2.0081087834245004e-09,2,2,5,3,0,6.414825222991898e-08,0.964662177761935
143,1.4046875,6.246276282664831e-13,1.998808410452746e-09,2,2,5,3,0,6.399252840497588e-08,0.9645812236711178
144,1.405,6.212934897456557e-13,1.988139167186098e-09,2,2,5,3,0,6.383716588900818e-08,0.9644999114117733
145,1.4053125000000002,6.184515790111367e-13,1.9790450528356374e-09,2,2,5,3,0,6.368216389254106e-08,0.9644182434278616
146,1.4056250000000001,6.154415627297738e-13,1.969413000735276e-09,2,2,5,3,0,6.352752162728683e-08,0.9643362221283284
147,1.4059375,6.121512801868234e-13,1.958884096597835e-09,2,2,5,3,0,6.337323830614484e-08,0.9642538498876082
148,1.40625,6.093173383382722e-13,1.949815482682471e-09,2,2,5,3,0,6.321931314320183e-08,0.9641711290461218
149,1.4065625000000002,6.061001852318559e-13,1.939520592741939e-09,2,2,5,3,0,6.306574535373229e-08,0.9640880619107672
150,1.406875,6.029514994926322e-13,1.929444798376423e-09,2,2,5,3,0,6.291253415419854e-08,0.9640046507554018
151,1.4071875,5.999888628462069e-13,1.919964361107862e-09,2,2,5,3,0,6.275967876225162e-08,0.963920897821319
152,1.4075000000000002,5.969938085548243e-13,1.910380187375438e-09,2,2,5,3,0,6.260717839673281e-08,0.9638368053177178
153,1.4078125000000001,5.947666946622132e-13,1.9032534229190823e-09,2,2,5,3,0,6.245503227767389e-08,0.9637523754221646
154,1.408125,5.933472571779952e-13,1.8987112229695846e-09,2,2,5,3,0,6.230323962629905e-08,0.9636676102810494
155,1.4084375,5.920932147351898e-13,1.8946982871526075e-09,2,2,5,3,0,6.215179966502595e-08,0.9635825120100343
156,1.4087500000000002,5.904945044217513e-13,1.8895824141496043e-09,2,2,5,3,0,6.200071161746767e-08,0.9634970826944947
157,1.4090625,5.89212760613439e-13,1.8854808339630047e-09,2,2,5,3,0,6.184997470843436e-08,0.963411324389956
158,1.409375,5.874829160472383e-13,1.8799453313511627e-09,2,2,5,3,0,6.169958816393512e-08,0.9633252391225214
159,1.4096875000000002,5.859006856068216e-13,1.874882193941829e-09,2,2,5,3,0,6.154955121118001e-08,0.963238828889294
160,1.4100000000000001,5.843491380878862e-13,1.869917241881236e-09,2,2,5,3,0,6.139986307858258e-08,0.9631520956587917
161,1.4103125,5.826330086791676e-13,1.864425627773336e-09,2,2,5,3,0,6.12505229957622e-08,0.9630650413713564
162,1.410625,5.810396109563742e-13,1.8593267550603976e-09,2,2,5,3,0,6.11015301935465e-08,0.9629776679395569
163,1.4109375000000002,5.792751261307627e-13,1.8536804036184407e-09,2,2,5,3,0,6.095288390397393e-08,0.9628899772485836
164,1.4112500000000001,5.777750240049118e-13,1.8488800768157176e-09,2,2,5,3,0,6.080458336029647e-08,0.9628019711566388
165,1.4115625,5.760532567448962e-13,1.8433704215836677e-09,2,2,5,3,0,6.065662779698273e-08,0.9627136514953194
166,1.4118750000000002,5.743137627793604e-13,1.8378040408939533e-09,2,2,5,3,0,6.05090164497207e-08,0.962625020069994
167,1.4121875000000002,5.724434598217143e-13,1.8318190714294857e-09,2,2,5,3,0,6.036174855542104e-08,0.9625360786601737
168,1.4125,5.707116636916032e-13,1.8262773238131302e-09,2,2,5,3,0,6.021482335222004e-08,0.9624468290198761
169,1.4128125,5.689550393317422e-13,1.820656125861575e-09,2,2,5,3,0,6.006824007948276e-08,0.9623572728779838
170,1.4131250000000002,5.671441506531483e-13,1.8148612820900745e-09,2,2,5,3,0,5.992199797780671e-08,0.9622674119385967
171,1.4134375000000001,5.653248594077176e-13,1.8090395501046963e-09,2,2,5,3,0,5.977609628902529e-08,0.9621772478813778
172,1.41375,5.632674231551005e-13,1.8024557540963215e-09,2,2,5,3,0,5.963053425621085e-08,0.9620867823618942
173,1.4140625,5.615085219706772e-13,1.7968272703061672e-09,2,2,5,3,0,5.948531112367841e-08,0.9619960170119505
174,1.4143750000000002,5.596445615957402e-13,1.7908625971063685e-09,2,2,5,3,0,5.934042613698947e-08,0.9619049534399182
175,1.4146875,5.577845585587327e-13,1.7849105873879445e-09,2,2,5,3,0,5.919587854295552e-08,0.961813593231058
176,1.415,5.55615666322784e-13,1.7779701322329089e-09,2,2,5,3,0,5.905166758964175e-08,0.961721937947837
177,1.4153125000000002,5.538368158183871e-13,1.7722778106188386e-09,2,2,5,3,0,5.890779252637089e-08,0.9616299891302393
178,1.4156250000000001,5.518669831013068e-13,1.7659743459241817e-09,2,2,5,3,0,5.8764252603726985e-08,0.961537748296073
179,1.4159375,5.500436803078379e-13,1.7601397769850813e-09,2,2,5,3,0,5.8621047073558887e-08,0.961445216941269
180,1.41625,5.479754562436046e-13,1.7535214599795346e-09,2,2,5,3,0,5.847817518898473e-08,0.9613523965401772
181,1.4165625000000002,5.459489739630119e-13,1.747036716681638e-09,2,2,5,3,0,5.833563620439549e-08,0.9612592885458543
182,1.416875,5.439331168637096e-13,1.7405859739638707e-09,2,2,5,3,0,5.81934293754586e-08,0.9611658943903487
183,1.4171875,5.418527497351444e-13,1.7339287991524621e-09,2,2,5,3,0,5.805155395912223e-08,0.9610722154849788
184,1.4175000000000002,5.401352108636015e-13,1.7284326747635248e-09,2,2,5,3,0,5.791000921361909e-08,0.9609782532206061
185,1.4178125000000001,5.378541037028006e-13,1.721133131848962e-09,2,2,5,3,0,5.7768794398470576e-08,0.9608840089679043
186,1.418125,5.359310000993545e-13,1.7149792003179343e-09,2,2,5,3,0,5.7627908774490374e-08,0.9607894840776212
187,1.4184375,5.339237624073234e-13,1.708556039703435e-09,2,2,5,3,0,5.748735160378847e-08,0.960694679880838
188,1.4187500000000002,5.317638148392978e-13,1.701644207485753e-09,2,2,5,3,0,5.7347122149774883e-08,0.960599597689221
189,1.4190625000000001,5.297587997617204e-13,1.6952281592375051e-09,2,2,5,3,0,5.720721967716413e-08,0.9605042387952708
190,1.419375,5.275304932467195e-13,1.6880975783895025e-09,2,2,5,3,0,5.70676434519783e-08,0.9604086044725655
191,1.4196875000000002,5.256646897280892e-13,1.6821270071298855e-09,2,2,5,3,0,5.692839274155149e-08,0.9603126959759988
192,1.4200000000000002,5.23520408881456e-13,1.6752653084206592e-09,2,2,5,3,0,5.678946681453375e-08,0.9602165145420137
193,1.4203125,5.213047875318733e-13,1.6681753201019944e-09,2,2,5,3,0,5.665086494089409e-08,0.960120061388832
194,1.420625,5.193134876117778e-13,1.6618031603576888e-09,2,2,5,3,0,5.651258639192494e-08,0.9600233377166784
195,1.4209375000000002,5.173138393349541e-13,1.6554042858718532e-09,2,2,5,3,0,5.6374630440245806e-08,0.9599263447080009
196,1.4212500000000001,5.150944774878763e-13,1.6483023279612041e-09,2,2,5,3,0,5.623699635980674e-08,0.9598290835276853
197,1.4215625,5.130614357841401e-13,1.6417965945092483e-09,2,2,5,3,0,5.609968342589192e-08,0.9597315553232678
198,1.421875,5.108683116296364e-13,1.6347785972148365e-09,2,2,5,3,0,5.596269091512358e-08,0.9596337612251401
199,1.4221875000000002,5.08881619568774e-13,1.6284211826200767e-09,2,2,5,3,0,5.582601810546514e-08,0.9595357023467527
200,1.4225,5.066749970972229e-13,1.6213599907111131e-09,2,2,5,3,0,5.56896642762251e-08,0.9594373797848125
201,1.4228125,5.04692696055159e-13,1.6150166273765088e-09,2,2,5,3,0,5.555362870806e-08,0.9593387946194777
202,1.4231250000000002,5.023925069361224e-13,1.6076560221955916e-09,2,2,5,3,0,5.541791068297836e-08,0.9592399479145467
203,1.4234375000000001,5.003156634646178e-13,1.6010101230867768e-09,2,2,5,3,0,5.528250948434372e-08,0.9591408407176446
204,1.42375,4.98209112853587e-13,1.5942691611314785e-09,2,2,5,3,0,5.514742439687758e-08,0.9590414740604045
205,1.4240625,4.96069277235861e-13,1.5874216871547553e-09,2,2,5,3,0,5.501265470666299e-08,0.958941848958646
206,1.4243750000000002,4.94120044360058e-13,1.5811841419521855e-09,2,2,5,3,0,5.487819970114748e-08,0.9588419664125492
207,1.4246875,4.919349975117393e-13,1.5741919920375658e-09,2,2,5,3,0,5.474405866914632e-08,0.9587418274068249
208,1.425,4.897223035080223e-13,1.5671113712256712e-09,2,2,5,3,0,5.46102309008452e-08,0.958641432910881
209,1.4253125,4.876329917115341e-13,1.560425573476909e-09,2,2,5,3,0,5.4476715687803046e-08,0.9585407838789862
210,1.4256250000000001,4.854529864033175e-13,1.5534495564906159e-09,2,2,5,3,0,5.4343512322955395e-08,0.9584398812504279
211,1.4259375,4.833266491026389e-13,1.5466452771284445e-09,2,2,5,3,0,5.4210620100616515e-08,0.9583387259496691
212,1.42625,4.812900295317335e-13,1.5401280945015472e-09,2,2,5,3,0,5.407803831648227e-08,0.9582373188865004
213,1.4265625000000002,4.791842378622235e-13,1.5333895611591153e-09,2,2,5,3,0,5.3945766267632815e-08,0.9581356609561891
214,1.4268750000000001,4.770359996776607e-13,1.5265151989685144e-09,2,2,5,3,0,5.38138032525348e-08,0.9580337530396238
215,1.4271875,4.749245159467452e-13,1.5197584510295847e-09,2,2,5,3,0,5.36821485710442e-08,0.9579315960034572
216,1.4275000000000002,4.725432827153153e-13,1.512138504689009e-09,2,2,5,3,0,5.355080152440823e-08,0.9578291907002455
217,1.4278125000000002,4.706866949151511e-13,1.5061974237284836e-09,2,2,5,3,0,5.341976141526767e-08,0.9577265379685826
218,1.428125,4.684294402021449e-13,1.4989742086468638e-09,2,2,5,3,0,5.328902754765927e-08,0.9576236386332346
219,1.4284375,4.662278592706959e-13,1.4919291496662268e-09,2,2,5,3,0,5.315859922701745e-08,0.9575204935052679
220,1.4287500000000002,4.643855829392085e-13,1.4860338654054672e-09,2,2,5,3,0,5.302847576017643e-08,0.9574171033821763
221,1.4290625000000001,4.623162746728027e-13,1.4794120789529686e-09,2,2,5,3,0,5.289865645537209e-08,0.9573134690480043
222,1.429375,4.601775774673578e-13,1.4725682478955449e-09,2,2,5,3,0,5.2769140622243756e-08,0.957209591273468
223,1.4296875,4.579688950116789e-13,1.4655004640373726e-09,2,2,5,3,0,5.263992757183602e-08,0.957105470816073
