resolution,cycle,event_time,roi_peak,recovery
coarse,1,0.22710000000000002,0.0743801652892562,1.0
coarse,2,1.4871,0.0743801652892562,1.0
medium,1,0.2378,0.07024793388429754,1.0
medium,2,1.4942000000000002,0.06611570247933886,1.0
fine,1,0.23898333333333333,0.06795224977043154,1.0
fine,2,1.495975,0.06427915518824603,1.0
extra-fine,1,0.24059999999999998,0.06869834710743765,1.0
extra-fine,2,1.4984,0.061983471074379945,1.0
