component,medium_fine,fine_extra_fine,monotonic_ratio,pass
phase,0.009164723390798192,0.0045916542647892284,0.5010139497935598,True
temperature,0.0025375404500889136,0.001256919148376367,0.4953296994072845,True
current,0.002326069016938981,0.0012107207785293857,0.5205007975742046,True
event time,0.0012067679515502204,0.0016486829760616161,1.3661971830986308,False
phase region,0.00030374999999999993,0.000145,0.477366255144033,True
recovery,0.0,0.0,0.0,True
