arm,S,Ephi,ET,EV,EI,energy_error,electric_fv_rms,current_balance_rms,power_defect_rms,phase_max,power_trace_rms_error,power_trace_NRMSE,input_power_rms_error,input_power_NRMSE,bottom_current_rms_error,bottom_current_NRMSE,local_joule_NRMSE,top_current_rms_error,bottom_native_NRMSE
B0,0.004039843750000001,0.0659007411448824,0.011156946981216099,0.001359273582296164,0.008167948804133605,0.002748240117777411,8.921347655473373e-13,1.2603881368016516e-14,6.683077205310552e-15,0.9957547210799541,0.002979809993096412,0.008166917910243179,0.002979809993097398,0.008166917910245881,0.0043014130612772355,0.008167948804129884,0.1476013154711223,0.004301413061279195,0.008167948804126956
D_E,0.004107890625,0.06679965118622742,0.011190639850807484,0.0014472155926503023,0.008815845808802476,0.0034715880256982836,8.918782687141874e-13,1.3004302413008583e-14,7.551001199350185e-15,0.9958282066103568,0.00322368269323911,0.0088353123136545,0.003223682693239653,0.008835312313655988,0.004642609205509301,0.008815845808800835,0.15323418307499864,0.004642609205510165,0.008815845808797768
G,0.003977734375000001,0.06500990101135505,0.011156946981216099,0.0013716439734969697,0.008297587297616819,0.0026119157077356446,8.924047598892681e-13,1.3004632831627009e-14,7.163587383814569e-15,0.9957163901605557,0.003019617102638057,0.008276019294768993,0.0030196171026374645,0.00827601929476737,0.004369683409501691,0.008297587297618788,0.14469356439684172,0.004369683409500655,0.008297587297615901
N,0.00280984375,0.07099633841620016,0.011156946981216099,0.001359273582296164,0.008167948804133605,0.002748240117777411,8.921347655473373e-13,1.2603881368016516e-14,6.683077205310552e-15,0.9856369618099587,0.002979809993096412,0.008166917910243179,0.002979809993097398,0.008166917910245881,0.0043014130612772355,0.008167948804129884,0.1476013154711223,0.004301413061279195,0.008167948804126956
S,0.0034246875,0.06268436674817873,0.011156946981216099,0.001359273582296164,0.008167948804133605,0.002748240117777411,8.921347655473373e-13,1.2603881368016516e-14,6.683077205310552e-15,0.9999999999999925,0.002979809993096412,0.008166917910243179,0.002979809993097398,0.008166917910245881,0.0043014130612772355,0.008167948804129884,0.1476013154711223,0.004301413061279195,0.008167948804126956
