arm,observation,obs_V,obs_T,obs_phase,boundary,phase_boundary,thermal_boundary,initial,thermal,phase,objective
B0,0.0,0.0,0.0,0.0,0.046031550961034,0.0436843565450414,0.0023471944159925793,4.2143649318369435e-33,0.003917731379833812,0.001709017793608383,0.023203333786298404
G,0.0,0.0,0.0,0.0,0.04449425493107285,0.04214706051508028,0.0023471944159925793,4.2143649318369435e-33,0.003916087279513778,0.001697469383046988,0.022434246020955118
N,0.0,0.0,0.0,0.0,0.02815330769381085,0.025806113277818267,0.0023471944159925793,4.2143649318369435e-33,0.003909352748912903,0.0014233700866455022,0.014254411274757371
S,0.0,0.0,0.0,0.0,0.031111040680139125,0.028763846264146548,0.0023471944159925793,4.2143649318369435e-33,0.0039192694897833644,0.0020136994754318452,0.015753285972243403
