arm,W_FN,W_FP,D_FN,D_FP,D_phase_square,fixed_phase_square,phase_min,phase_max,fraction_exact_zero,fraction_exact_one
B0,0.0006585937500000001,0.0083302734375,0.00013691406249999988,0.008030859375,0.009769718745727095,0.0007842521008403079,5.029359468167449e-09,0.9957547210799541,0.0,0.0
D_E,0.0006990234375000001,0.008422070312499998,0.00016074218749999986,0.008140234375,0.010028978275665582,0.0007892537414179515,4.884819479428238e-09,0.9958282066103568,0.0,0.0
G,0.0006589843750000001,0.0081765625,0.0001376953124999999,0.00789375,0.009497825941296324,0.0007681577802239967,5.460870539885276e-09,0.9957163901605557,0.0,0.0
N,0.0055794921875,0.0003343750000000001,0.0050578125,3.4960937499999944e-05,0.011513649708384158,0.0007842521008403079,0.0,0.9856369618099587,0.0033200393356643356,0.0
S,0.0006779296875000001,0.006773046875000001,0.00015624999999999984,0.0064736328125,0.008735774123665552,0.0007842521008403079,5.029359468167449e-09,0.9999999999999925,0.0,0.0
