pool,state,time,weight,original_time_mass,phase_raw,thermal_raw,phase_BC,H,gate,psi_min,psi_max,delta_psi_min,delta_psi_max,phi_t_abs_max,phase_grad_abs_max,phase_laplacian_abs_max,rphi_abs_max,rT_abs_max,bc_normal_abs_max,bc_left,bc_right,bc_bottom,bc_top,phase_hot_cell,phase_hot_x,phase_hot_z,thermal_hot_cell,thermal_hot_x,thermal_hot_z,bc_hot_x,bc_hot_z
fixed-training,B0,1.3615985216231452,0.031249999999999993,0.008249999999999997,0.18714745969495278,0.036033985277487135,0.000895907686323977,0.007725545920833571,9.027017800414728e-07,-16.175078399754298,0.8672604880939425,0.0,0.0,2.526807671742017,11.911264678521247,463.9681497798187,3.9504214174673704,0.7854296920445012,0.397679960543432,1.1194157588466797e-13,5.5756729134080135e-14,0.011646799922038832,5.170526931965817e-15,296,0.4125000000000001,0.08750000000000001,142,0.5625,0.037500000000000006,0.28233413800319096,0.0
fixed-training,N-Adam,1.3615985216231452,0.031249999999999993,0.008249999999999997,0.1871725931561724,0.0360339844313984,0.0008959063667088048,0.007725874417947123,9.027017800414728e-07,-16.175077887412293,0.8672610721578538,-6.130163399120647e-07,6.671824479553834e-07,2.527034793708415,11.911263122855226,463.9681512405637,3.9506484263837764,0.7854296932764131,0.39767960437113925,1.1194162208276014e-13,5.5756789287579645e-14,0.011646782767041593,5.1705257136741536e-15,296,0.4125000000000001,0.08750000000000001,142,0.5625,0.037500000000000006,0.28233413800319096,0.0
fixed-training,N-final,1.3615985216231452,0.031249999999999993,0.008249999999999997,0.17588853843066282,0.036040219161453904,0.0008960839932773774,0.007576438377992682,9.027017800414728e-07,-16.175346669128146,0.8669922225315675,-0.0006457330263440753,-0.00016366790856636726,2.422449996098416,11.91208203206298,463.9691701747058,3.8461235521860377,0.7854291875644506,0.39774305584844216,1.1180158965175037e-13,5.5725875700857915e-14,0.011649091912433188,5.189679950719434e-15,296,0.4125000000000001,0.08750000000000001,142,0.5625,0.037500000000000006,0.28233413800319096,0.0
fixed-training,S-final,1.3615985216231452,0.031249999999999993,0.008249999999999997,0.1871366402915863,0.036033961502907066,0.0008958571696673737,0.007725148583535249,9.027017800414728e-07,-16.175078399754298,0.8672600590241047,-5.930234170392623e-07,9.023848335232287e-09,2.5266428270442765,11.911264478881138,463.9687678853449,3.950259532072301,0.785429691688508,0.39767139836905685,1.119415758846338e-13,5.575672913407717e-14,0.011646143205502989,5.170526931966128e-15,296,0.4125000000000001,0.08750000000000001,142,0.5625,0.037500000000000006,0.28233413800319096,0.0
fixed-training,B0,1.3878127321846787,0.031249999999999993,0.008249999999999997,0.3056069435067012,0.04384908464797725,0.4663632610863403,2.3368045872752905,0.004209054578521219,-16.352692365113256,2.344625067857336,0.0,0.0,2.0699479827630283,14.716756107791928,392.355945685376,3.7972362338185195,0.756399429300838,8.593962204966777,7.56350541700033e-14,1.1841881924258571e-14,6.062722394122325,1.1388159815854496e-14,454,0.36250000000000004,0.1375,31,-0.2124999999999999,0.0125,-0.4445286340896557,0.0
fixed-training,N-Adam,1.3878127321846787,0.031249999999999993,0.008249999999999997,0.3141530301958356,0.04385010274459661,0.4663724122799061,2.3369643122759873,0.004209054578521219,-16.3506237968133,2.347341595496463,-0.0034017206718957027,0.002848057489892142,2.1291134450136577,14.730492458608632,393.170424598486,3.85803091409346,0.7564670686984825,8.591237179604157,7.581532971966155e-14,1.1872032424148463e-14,6.06284135963868,1.1258206105716107e-14,454,0.36250000000000004,0.1375,31,-0.2124999999999999,0.0125,-0.4445286340896557,0.0
fixed-training,N-final,1.3878127321846787,0.031249999999999993,0.008249999999999997,8.854352338014502,0.09820983952467806,0.02012466743871428,0.22072740669052887,0.004209054578521219,-18.506757537850273,1.038552743642319,-3.008912658481629,-0.7587061404869786,45.792692616546844,37.392239610971934,10825.576688119705,22.568898188115945,2.159259081724443,1.4637875654479868,9.142557711899682e-16,1.0427034099195665e-15,0.26162067670327593,7.74383590259177e-15,454,0.36250000000000004,0.1375,345,-0.36249999999999993,0.1125,-0.25839894959405685,0.0
fixed-training,S-final,1.3878127321846787,0.031249999999999993,0.008249999999999997,0.28888677208899693,0.043876659866267556,0.035692173550077685,0.18322678845878898,0.004209054578521219,-16.352692365151757,2.3546488453616443,-0.04182337842556105,0.010023777504308384,2.038138348791656,14.710375034224112,391.1425581473777,3.7063760831292187,0.7552642021909115,2.1161541910890977,7.563505351829446e-14,1.1841881906111582e-14,0.46399825615091106,1.1388159840459997e-14,454,0.36250000000000004,0.1375,31,-0.2124999999999999,0.0125,-0.25839894959405685,0.0
fixed-training,B0,1.4134618790839548,0.031249999999999993,0.008249999999999997,0.40921907705273136,0.0384811242925808,0.19628545293051555,0.9876852091027096,0.026401179088160042,-16.523608354567905,4.171799962873109,0.0,0.0,4.057164616949948,20.91464241938444,620.3726703682121,5.645270012462391,0.9260242223221922,5.827294702027123,3.3874739599859403e-14,3.699630280744056e-15,2.551710888096658,6.561439514042645e-15,189,-0.26249999999999996,0.0625,106,-0.3374999999999999,0.037500000000000006,-0.26770873772275405,0.0
fixed-training,N-Adam,1.4134618790839548,0.031249999999999993,0.008249999999999997,0.4513944172341463,0.038645388176730994,0.19694171386269277,0.9915322737969343,0.026401179088160042,-16.509858009316016,4.1879404972520105,-0.02077664753615238,0.01997434339074111,4.2573892594662235,20.952004964816958,624.0922040597898,5.878329958260967,0.9264470714648296,5.823111928795356,3.4201345464711673e-14,3.724505613276542e-15,2.5602422802149625,5.937042148466065e-15,189,-0.26249999999999996,0.0625,106,-0.3374999999999999,0.037500000000000006,-0.26770873772275405,0.0
