metric,D_unnormalized_contribution,fixed_unnormalized_contribution,total_unnormalized_contribution,mutable_fraction,base,optimistic_lower_bound,required_reduction,absolute_tolerance,necessary_condition_passed
Ephi,0.009769718745727095,0.0007842521008403079,0.010553970846567402,0.925691276559156,0.10222267892063042,0.027865520424976104,0.010222267892063042,1e-06,True
S,0.008167773437500001,0.0008210937500000003,0.0089888671875,0.9086543684679401,0.008899868502475247,0.0008129641089108914,0.0008899868502475248,1e-08,True
