state,side,order,rms,max_absolute,max_cell,x,z,scaled_rms,scaled_max_absolute
coarse,left,0,0.0,0.0,0,-0.9875,0.0125,0.0,0.0
coarse,left,1,0.4977026268295451,5.260424671185357,262,-0.4375,0.08750000000000001,0.3284837337074997,3.471880282982335
coarse,left,2,10.05618413954702,143.3055005545742,29,-0.26249999999999996,0.0125,4.380473811186681,62.4238760415725
coarse,right,0,0.020566840805140277,0.2785185964267599,27,-0.3125,0.0125,0.020566840805140277,0.2785185964267599
coarse,right,1,0.26351984107564913,3.274125285070057,27,-0.3125,0.0125,0.1739230951099284,2.1609226881462376
coarse,right,2,2.3457692073854766,25.75012585610305,24,-0.38749999999999996,0.0125,1.0218170667371134,11.216754822918485
fine,left,0,0.0,0.0,0,-0.9875,0.0125,0.0,0.0
fine,left,1,0.4977026268295451,5.260424671185357,262,-0.4375,0.08750000000000001,0.3284837337074997,3.471880282982335
fine,left,2,10.05618413954702,143.3055005545742,29,-0.26249999999999996,0.0125,4.380473811186681,62.4238760415725
fine,right,0,0.020562588479018772,0.2784991680621889,27,-0.3125,0.0125,0.020562588479018772,0.2784991680621889
fine,right,1,0.26349295113769655,3.2741024109965715,27,-0.3125,0.0125,0.1739053477508797,2.160907591257737
fine,right,2,2.3458265539316745,25.74556897707873,24,-0.38749999999999996,0.0125,1.021842046892637,11.214769846415491
