intent,configuration,time,roi_phase_fraction,roi_temperature_max
3,Coarse,0,0,0
3,Coarse,0.01,0,0.00525870458776
3,Coarse,0.02,0,0.028672345416
3,Coarse,0.03,0,0.080347678487
3,Coarse,0.04,0,0.168175406566
3,Coarse,0.05,0,0.298702373129
3,Coarse,0.06,0,0.412573130725
3,Coarse,0.07,0,0.504052222213
3,Coarse,0.08,0,0.582004360854
3,Coarse,0.09,0,0.650768121249
3,Coarse,0.1,0,0.71273127444
3,Coarse,0.11,0,0.769319088924
3,Coarse,0.12,0,0.821398551425
3,Coarse,0.13,0,0.869419618251
3,Coarse,0.14,0,0.913384165854
3,Coarse,0.15,0,0.952615531073
3,Coarse,0.16,0,0.985247858481
3,Coarse,0.17,0,1.00771999401
3,Coarse,0.18,0,1.01654020753
3,Coarse,0.19,0.00826446280992,1.0139855553
3,Coarse,0.2,0.00826446280992,1.0076354158
3,Coarse,0.21,0.0165289256198,1.00199433765
3,Coarse,0.22,0.0330578512397,0.997372529732
3,Coarse,0.23,0.0330578512397,0.993630749412
3,Coarse,0.24,0.0413223140496,0.991117093439
3,Coarse,0.25,0.0578512396694,0.990091298325
3,Coarse,0.26,0.0578512396694,0.990458961007
3,Coarse,0.27,0.0826446280992,0.991729832085
3,Coarse,0.28,0.0909090909091,0.993355831579
3,Coarse,0.29,0.115702479339,0.995114072458
3,Coarse,0.3,0.123966942149,0.997049712367
3,Coarse,0.31,0.148760330579,0.976600683148
3,Coarse,0.32,0.148760330579,0.939578111649
3,Coarse,0.33,0.190082644628,0.895731564105
3,Coarse,0.34,0.206611570248,0.851453070717
3,Coarse,0.35,0.206611570248,0.811442818344
3,Coarse,0.36,0.231404958678,0.777382850797
3,Coarse,0.37,0.256198347107,0.747344220287
3,Coarse,0.38,0.272727272727,0.72013715421
3,Coarse,0.39,0.280991735537,0.69597811915
3,Coarse,0.4,0.297520661157,0.674403089705
3,Coarse,0.41,0.322314049587,0.65407250439
3,Coarse,0.42,0.330578512397,0.634848247831
3,Coarse,0.43,0.338842975207,0.616622856947
3,Coarse,0.44,0.338842975207,0.599309275768
3,Coarse,0.45,0.347107438017,0.582834516786
3,Coarse,0.46,0.347107438017,0.567135690496
3,Coarse,0.47,0.347107438017,0.552157462417
3,Coarse,0.48,0.347107438017,0.538516839495
3,Coarse,0.49,0.347107438017,0.525914381014
3,Coarse,0.5,0.347107438017,0.513776730429
3,Coarse,0.51,0.355371900826,0.502080927839
3,Coarse,0.52,0.355371900826,0.490804760256
3,Coarse,0.53,0.355371900826,0.47992681787
3,Coarse,0.54,0.363636363636,0.469426537568
3,Coarse,0.55,0.363636363636,0.459765852143
3,Coarse,0.56,0.363636363636,0.450553788595
3,Coarse,0.57,0.363636363636,0.441606388796
3,Coarse,0.58,0.363636363636,0.432911720771
3,Coarse,0.59,0.363636363636,0.424782102895
3,Coarse,0.6,0.355371900826,0.417204152038
3,Coarse,0.61,0.347107438017,0.410139331467
3,Coarse,0.62,0.347107438017,0.403385896807
3,Coarse,0.63,0.347107438017,0.396783090475
3,Coarse,0.64,0.347107438017,0.390276957898
3,Coarse,0.65,0.338842975207,0.383864580103
3,Coarse,0.66,0.338842975207,0.377543444891
3,Coarse,0.67,0.338842975207,0.371311388324
3,Coarse,0.68,0.330578512397,0.365166547195
3,Coarse,0.69,0.322314049587,0.359107319541
3,Coarse,0.7,0.322314049587,0.353132331011
3,Coarse,0.71,0.322314049587,0.347240405484
3,Coarse,0.72,0.322314049587,0.341430538802
3,Coarse,0.73,0.322314049587,0.335701874876
3,Coarse,0.74,0.322314049587,0.330053683737
3,Coarse,0.75,0.322314049587,0.324485341156
3,Coarse,0.76,0.322314049587,0.318996309834
3,Coarse,0.77,0.322314049587,0.313586122033
3,Coarse,0.78,0.322314049587,0.308254363672
3,Coarse,0.79,0.322314049587,0.303000659884
3,Coarse,0.8,0.314049586777,0.297824662059
3,Coarse,0.81,0.314049586777,0.292726036366
3,Coarse,0.82,0.314049586777,0.287704453723
3,Coarse,0.83,0.314049586777,0.28275958117
3,Coarse,0.84,0.314049586777,0.2778910746
3,Coarse,0.85,0.297520661157,0.273098572734
3,Coarse,0.86,0.297520661157,0.268381692284
3,Coarse,0.87,0.297520661157,0.263740024167
3,Coarse,0.88,0.297520661157,0.259173130695
3,Coarse,0.89,0.297520661157,0.25468054361
3,Coarse,0.9,0.297520661157,0.25026176287
3,Coarse,0.91,0.297520661157,0.245916256081
3,Coarse,0.92,0.297520661157,0.241643458484
3,Coarse,0.93,0.297520661157,0.237442773401
3,Coarse,0.94,0.297520661157,0.233313573062
3,Coarse,0.95,0.297520661157,0.229255199751
3,Coarse,0.96,0.289256198347,0.225266967181
3,Coarse,0.97,0.289256198347,0.221348162073
3,Coarse,0.98,0.280991735537,0.217498045859
3,Coarse,0.99,0.280991735537,0.213715856493
3,Coarse,1,0.280991735537,0.210000810314
3,Coarse,1.01,0.280991735537,0.206566235314
3,Coarse,1.02,0.280991735537,0.204124241849
3,Coarse,1.03,0.280991735537,0.204382721084
3,Coarse,1.04,0.280991735537,0.227116633995
3,Coarse,1.05,0.272727272727,0.268041367929
3,Coarse,1.06,0.272727272727,0.305033213742
3,Coarse,1.07,0.272727272727,0.339583564961
3,Coarse,1.08,0.272727272727,0.375997332841
3,Coarse,1.09,0.272727272727,0.410879549432
3,Coarse,1.1,0.256198347107,0.444273806185
3,Coarse,1.11,0.247933884298,0.476352345868
3,Coarse,1.12,0.247933884298,0.507228004884
3,Coarse,1.13,0.247933884298,0.536969300404
3,Coarse,1.14,0.247933884298,0.565599391973
3,Coarse,1.15,0.256198347107,0.594195487843
3,Coarse,1.16,0.256198347107,0.62252928366
3,Coarse,1.17,0.256198347107,0.650204283887
3,Coarse,1.18,0.280991735537,0.6771878782
3,Coarse,1.19,0.280991735537,0.703358670459
3,Coarse,1.2,0.280991735537,0.728450786697
3,Coarse,1.21,0.280991735537,0.751976812516
3,Coarse,1.22,0.305785123967,0.773177151502
3,Coarse,1.23,0.322314049587,0.797861805758
3,Coarse,1.24,0.338842975207,0.824254116997
3,Coarse,1.25,0.338842975207,0.848208887778
3,Coarse,1.26,0.363636363636,0.86790775685
3,Coarse,1.27,0.396694214876,0.893582154696
3,Coarse,1.28,0.413223140496,0.920261039072
3,Coarse,1.29,0.438016528926,0.940639794826
3,Coarse,1.3,0.479338842975,0.968364237797
3,Coarse,1.31,0.512396694215,0.975162595635
3,Coarse,1.32,0.553719008264,0.955102355631
3,Coarse,1.33,0.586776859504,0.932612062964
3,Coarse,1.34,0.636363636364,0.898738132107
3,Coarse,1.35,0.669421487603,0.862047142528
3,Coarse,1.36,0.685950413223,0.827886831059
3,Coarse,1.37,0.727272727273,0.796895361995
3,Coarse,1.38,0.801652892562,0.769112737076
3,Coarse,1.39,0.826446280992,0.743983252001
3,Coarse,1.4,0.834710743802,0.721879021517
3,Coarse,1.41,0.842975206612,0.70291962599
3,Coarse,1.42,0.859504132231,0.685017250817
3,Coarse,1.43,0.876033057851,0.668005806336
3,Coarse,1.44,0.876033057851,0.651766104316
3,Coarse,1.45,0.876033057851,0.636210937011
3,Coarse,1.46,0.876033057851,0.621274612919
3,Coarse,1.47,0.876033057851,0.607324682621
3,Coarse,1.48,0.876033057851,0.593914598669
3,Coarse,1.49,0.876033057851,0.580952464422
3,Coarse,1.5,0.876033057851,0.56841306645
3,Coarse,1.51,0.876033057851,0.556273138799
3,Coarse,1.52,0.876033057851,0.544511030477
3,Coarse,1.53,0.876033057851,0.533106502909
3,Coarse,1.54,0.876033057851,0.522218088566
3,Coarse,1.55,0.876033057851,0.511830206593
3,Coarse,1.56,0.876033057851,0.501713084072
3,Coarse,1.57,0.876033057851,0.491852895151
3,Coarse,1.58,0.876033057851,0.482236970349
3,Coarse,1.59,0.876033057851,0.472853689496
3,Coarse,1.6,0.876033057851,0.46380389043
3,Coarse,1.61,0.876033057851,0.455129272208
3,Coarse,1.62,0.876033057851,0.446843701399
3,Coarse,1.63,0.876033057851,0.438805898718
3,Coarse,1.64,0.876033057851,0.430911485307
3,Coarse,1.65,0.876033057851,0.423276736346
3,Coarse,1.66,0.876033057851,0.415836648527
3,Coarse,1.67,0.876033057851,0.408569859312
3,Coarse,1.68,0.876033057851,0.401446074339
3,Coarse,1.69,0.876033057851,0.394424069506
3,Coarse,1.7,0.876033057851,0.387504237894
3,Coarse,1.71,0.876033057851,0.380686768007
3,Coarse,1.72,0.876033057851,0.374022318154
3,Coarse,1.73,0.876033057851,0.367629838666
3,Coarse,1.74,0.876033057851,0.361326846907
3,Coarse,1.75,0.876033057851,0.355113720509
3,Coarse,1.76,0.876033057851,0.348990658667
3,Coarse,1.77,0.876033057851,0.342957704223
3,Coarse,1.78,0.876033057851,0.337014763445
3,Coarse,1.79,0.876033057851,0.331161623616
3,Coarse,1.8,0.876033057851,0.32539796854
3,Coarse,1.81,0.867768595041,0.319780151971
3,Coarse,1.82,0.867768595041,0.314343665091
3,Coarse,1.83,0.867768595041,0.308987601147
3,Coarse,1.84,0.867768595041,0.303711702799
3,Coarse,1.85,0.867768595041,0.298515634638
3,Coarse,1.86,0.867768595041,0.293398992762
3,Coarse,1.87,0.867768595041,0.288361313158
3,Coarse,1.88,0.867768595041,0.283402079042
3,Coarse,1.89,0.867768595041,0.278520727282
3,Coarse,1.9,0.859504132231,0.27371665401
3,Coarse,1.91,0.859504132231,0.269058170805
3,Coarse,1.92,0.859504132231,0.264502108211
3,Coarse,1.93,0.859504132231,0.260016684884
3,Coarse,1.94,0.859504132231,0.255601348203
3,Coarse,1.95,0.859504132231,0.251255515924
3,Coarse,1.96,0.859504132231,0.246978579591
3,Coarse,1.97,0.859504132231,0.242769907585
3,Coarse,1.98,0.851239669421,0.238628847843
3,Coarse,1.99,0.842975206612,0.234554730298
3,Coarse,2,0.842975206612,0.230546869068
4,Medium,0,0,0
4,Medium,0.005,0,0.00111482812983
4,Medium,0.01,0,0.00584655624687
4,Medium,0.015,0,0.0160396226476
4,Medium,0.02,0,0.033117841922
4,Medium,0.025,0,0.0582753660468
4,Medium,0.03,0,0.0925560163595
4,Medium,0.035,0,0.136894405494
4,Medium,0.04,0,0.192140582624
4,Medium,0.045,0,0.25907624013
4,Medium,0.05,0,0.338424794825
4,Medium,0.055,0,0.405196066683
4,Medium,0.06,0,0.460590899222
4,Medium,0.065,0,0.509256792461
4,Medium,0.07,0,0.553246953474
4,Medium,0.075,0,0.59369474716
4,Medium,0.08,0,0.631315570495
4,Medium,0.085,0,0.666600129308
4,Medium,0.09,0,0.699904007649
4,Medium,0.095,0,0.731494830454
4,Medium,0.1,0,0.761579383572
4,Medium,0.105,0,0.790320148266
4,Medium,0.11,0,0.817845703932
4,Medium,0.115,0,0.844257251888
4,Medium,0.12,0,0.869632422741
4,Medium,0.125,0,0.89402691391
4,Medium,0.13,0,0.917474097152
4,Medium,0.135,0,0.939982403288
4,Medium,0.14,0,0.96152996512
4,Medium,0.145,0,0.982055649813
4,Medium,0.15,0,1.00144529715
4,Medium,0.155,0,1.01951203212
4,Medium,0.16,0,1.03597105504
4,Medium,0.165,0,1.05041514935
4,Medium,0.17,0,1.06231137588
4,Medium,0.175,0,1.07105960592
4,Medium,0.18,0,1.07615256605
4,Medium,0.185,0,1.07741018319
4,Medium,0.19,0.00206611570248,1.07515370287
4,Medium,0.195,0.00413223140496,1.07017704442
4,Medium,0.2,0.00826446280992,1.0635187362
4,Medium,0.205,0.0103305785124,1.05617931132
4,Medium,0.21,0.0144628099174,1.04892985321
4,Medium,0.215,0.0165289256198,1.0422585923
4,Medium,0.22,0.0227272727273,1.03641359814
4,Medium,0.225,0.0268595041322,1.03147651097
4,Medium,0.23,0.0309917355372,1.027427182
4,Medium,0.235,0.0330578512397,1.02419001711
4,Medium,0.24,0.0392561983471,1.02166619299
4,Medium,0.245,0.0433884297521,1.01975467794
4,Medium,0.25,0.051652892562,1.01836281507
4,Medium,0.255,0.0537190082645,1.01740917734
4,Medium,0.26,0.0578512396694,1.01682305047
4,Medium,0.265,0.0661157024793,1.01654350957
4,Medium,0.27,0.0743801652893,1.01651875916
4,Medium,0.275,0.0805785123967,1.01670536479
4,Medium,0.28,0.0888429752066,1.01706711898
4,Medium,0.285,0.0929752066116,1.01757366134
4,Medium,0.29,0.105371900826,1.01819915437
4,Medium,0.295,0.109504132231,1.01892128533
4,Medium,0.3,0.113636363636,1.01972069966
4,Medium,0.305,0.126033057851,1.01097459662
4,Medium,0.31,0.134297520661,0.994921725154
4,Medium,0.315,0.142561983471,0.97464459464
4,Medium,0.32,0.154958677686,0.951845002304
4,Medium,0.325,0.159090909091,0.927687684233
4,Medium,0.33,0.167355371901,0.903069222564
4,Medium,0.335,0.181818181818,0.878726477544
4,Medium,0.34,0.185950413223,0.855288175337
4,Medium,0.345,0.196280991736,0.833302706201
4,Medium,0.35,0.20041322314,0.813459950758
4,Medium,0.355,0.212809917355,0.796116191541
4,Medium,0.36,0.221074380165,0.779972814004
4,Medium,0.365,0.229338842975,0.764826506387
4,Medium,0.37,0.237603305785,0.750667919853
4,Medium,0.375,0.24173553719,0.737117826896
4,Medium,0.38,0.25,0.724108586566
4,Medium,0.385,0.25826446281,0.711587461168
4,Medium,0.39,0.262396694215,0.699512324479
4,Medium,0.395,0.264462809917,0.687848720996
4,Medium,0.4,0.276859504132,0.676588293026
4,Medium,0.405,0.287190082645,0.666094571739
4,Medium,0.41,0.289256198347,0.655899678158
4,Medium,0.415,0.295454545455,0.645988338308
4,Medium,0.42,0.305785123967,0.636346893118
4,Medium,0.425,0.307851239669,0.626962992627
4,Medium,0.43,0.316115702479,0.61782536457
4,Medium,0.435,0.322314049587,0.608923637419
4,Medium,0.44,0.326446280992,0.600248203473
4,Medium,0.445,0.328512396694,0.591790111609
4,Medium,0.45,0.330578512397,0.583810078205
4,Medium,0.455,0.330578512397,0.576032104281
4,Medium,0.46,0.332644628099,0.56842784996
4,Medium,0.465,0.334710743802,0.560991861715
4,Medium,0.47,0.336776859504,0.553718912005
4,Medium,0.475,0.338842975207,0.546603980195
4,Medium,0.48,0.340909090909,0.539680964141
4,Medium,0.485,0.340909090909,0.532974152746
4,Medium,0.49,0.340909090909,0.526585257313
4,Medium,0.495,0.342975206612,0.52032019614
4,Medium,0.5,0.342975206612,0.514175767846
4,Medium,0.505,0.342975206612,0.508148833157
4,Medium,0.51,0.342975206612,0.502236314898
4,Medium,0.515,0.342975206612,0.496435198061
4,Medium,0.52,0.342975206612,0.490743863648
4,Medium,0.525,0.342975206612,0.485337995036
4,Medium,0.53,0.342975206612,0.480025480626
4,Medium,0.535,0.342975206612,0.474804075384
4,Medium,0.54,0.345041322314,0.469671560818
4,Medium,0.545,0.342975206612,0.464625748043
4,Medium,0.55,0.342975206612,0.459800289628
4,Medium,0.555,0.342975206612,0.455131948399
4,Medium,0.56,0.342975206612,0.450534313157
4,Medium,0.565,0.342975206612,0.446005705641
4,Medium,0.57,0.342975206612,0.441608240756
4,Medium,0.575,0.342975206612,0.437356160871
4,Medium,0.58,0.342975206612,0.433161835218
4,Medium,0.585,0.342975206612,0.429064451615
4,Medium,0.59,0.340909090909,0.425156612561
4,Medium,0.595,0.338842975207,0.421360212501
4,Medium,0.6,0.338842975207,0.41765817027
4,Medium,0.605,0.338842975207,0.414198630855
4,Medium,0.61,0.338842975207,0.410829720603
4,Medium,0.615,0.338842975207,0.407487424399
4,Medium,0.62,0.338842975207,0.404171003631
4,Medium,0.625,0.338842975207,0.400879779492
4,Medium,0.63,0.336776859504,0.397613128526
4,Medium,0.635,0.336776859504,0.39437047855
4,Medium,0.64,0.332644628099,0.391151304915
4,Medium,0.645,0.332644628099,0.387955127076
4,Medium,0.65,0.328512396694,0.384781505426
4,Medium,0.655,0.328512396694,0.381630038384
4,Medium,0.66,0.328512396694,0.378500359689
4,Medium,0.665,0.328512396694,0.375392135888
4,Medium,0.67,0.328512396694,0.372305064012
4,Medium,0.675,0.326446280992,0.369238869389
4,Medium,0.68,0.324380165289,0.366193303579
4,Medium,0.685,0.322314049587,0.36316814246
4,Medium,0.69,0.322314049587,0.360163184413
4,Medium,0.695,0.320247933884,0.357178248609
4,Medium,0.7,0.320247933884,0.35421317339
4,Medium,0.705,0.320247933884,0.351267814733
4,Medium,0.71,0.316115702479,0.348342044795
4,Medium,0.715,0.314049586777,0.345435750533
4,Medium,0.72,0.311983471074,0.342548832394
4,Medium,0.725,0.309917355372,0.339681203075
4,Medium,0.73,0.309917355372,0.336834480035
4,Medium,0.735,0.307851239669,0.334024062763
4,Medium,0.74,0.307851239669,0.331233000211
4,Medium,0.745,0.307851239669,0.32846120132
4,Medium,0.75,0.307851239669,0.325708582945
