Reference,Object,Cycle,Onset,Ref onset,Recall,Precision,Mass,Timing,Recovery,FN mass,FP mass
old,original/29/E,1,0.23453333333333334,0.24059999999999998,0.8837314105452905,0.9221725840583117,0.9583145561063541,0.006066666666666637,1.0,8.062500000000008e-05,5.171875000000001e-05
old,original/29/E,2,1.4919666666666667,1.4984,0.9833167330677289,0.8925302294044526,1.1017181274900396,0.006433333333333291,1.0,1.0468750000000061e-05,7.429687499999993e-05
old,original/29/F,1,0.23120000000000002,0.24059999999999998,0.8387787291572778,0.9089244292516176,0.9228255971158177,0.009399999999999964,1.0,0.00011179687500000013,5.8281249999999956e-05
old,original/29/F,2,1.5026374999999998,1.4984,0.9056274900398404,0.9095910966612478,0.9956424302788844,0.004237499999999894,1.0,5.9218750000000135e-05,5.648437500000011e-05
old,original/43/E,1,0.22922,0.24059999999999998,0.8027264533573683,0.8876292512769403,0.9043488057683643,0.011379999999999973,1.0,0.00013679687499999987,7.046875e-05
old,original/43/E,2,1.4930999999999999,1.4984,0.9840637450199203,0.8831284916201113,1.1142928286852594,0.005300000000000082,1.0,1.0000000000000026e-05,8.17187500000003e-05
old,original/43/F,1,0.201525,0.24059999999999998,0.8405813429472734,0.7621820410665029,1.1028616493916181,0.03907499999999997,1.0,0.00011054687500000008,0.00018187500000000018
old,original/43/F,2,1.5048000000000001,1.4984,0.8901892430278885,0.9262857883145487,0.9610308764940239,0.006400000000000183,1.0,6.890624999999996e-05,4.4453124999999896e-05
old,original/B_E,1,0.2558714285714286,0.24059999999999998,0.7929247408742678,0.9879281302638967,0.8026137899954936,0.015271428571428602,1.0,0.00014359374999999984,6.718749999999997e-06
old,original/B_E,2,1.5133714285714286,1.4984,0.7721613545816732,0.9934326445619093,0.7772659362549801,0.014971428571428635,1.0,0.00014296875000000003,3.203125000000005e-06
old,shorter/29/E,1,0.23726666666666668,0.24059999999999998,0.8666065795403333,0.9640305802732171,0.8989409643983776,0.0033333333333332993,1.0,9.250000000000013e-05,2.242187500000009e-05
old,shorter/29/E,2,1.224025,1.2268000000000001,0.9661480594973499,0.8903418938080983,1.0851427594460592,0.002775000000000194,1.0,3.093750000000004e-05,0.00010875000000000001
old,shorter/29/F,1,0.22393333333333335,0.24059999999999998,0.8333708877872918,0.8591173054587693,0.9700315457413248,0.016666666666666635,1.0,0.00011554687499999976,9.476562499999969e-05
old,shorter/29/F,2,1.2276375,1.2268000000000001,0.9593947683364678,0.8831444759206795,1.0863395452214057,0.0008374999999998245,1.0,3.710937500000003e-05,0.00011601562500000045
