role,Ephi,ET,current_NRMSE,power_NRMSE,tail_phase_ROI_RMS
B_E,0.03000865573111111,0.01386183459723332,0.022668811607612294,0.023225300508531978,0.003761472085365454
29/E/projected,0.018923444997837522,0.010929038619693153,0.005557622370988942,0.005731395988110765,0.003439321802119946
29/F_raw/network,0.019790759960523603,0.01141000936772209,0.1036284582367428,0.06534441737660834,0.0025195926182712816
29/F_raw/projected,0.019790759960523603,0.01141000936772209,0.013874232518647363,0.01432052265321159,0.0025195926182712816
43/E/projected,0.01795053787160767,0.011071470786144047,0.003552723063660475,0.003658846043555067,0.0027525439797450747
43/F_raw/network,0.021777131741906833,0.01092410099632448,0.03136957845767223,0.21882308179183416,0.002128313765278943
43/F_raw/projected,0.021777131741906833,0.01092410099632448,0.024892515636403108,0.02577949594280611,0.002128313765278943
