reference,reader,object,pulse_1_signed_error,pulse_2_signed_error,full_signed_energy_error,full_reference_energy,full_energy_error,sum_absolute_pulse_errors
old,coarse,shorter/29/E,9.625201037314013e-05,0.0010951892093605151,0.0011914412197336554,0.43352879249037807,0.002748240117777411,0.0011914412197336552
old,coarse,shorter/29/D_E,0.00033159331825136974,0.0011734400465536628,0.0015050333648050326,0.43352879249037807,0.0034715880256982836,0.0015050333648050326
old,coarse,shorter/29/F,-2.4127406380152607e-05,-0.013257220910025987,-0.01328134831640614,0.43352879249037807,0.030635446933321993,0.01328134831640614
old,coarse,shorter/43/E,-0.00036732076040831723,0.001185146214616172,0.000817825454207855,0.43352879249037807,0.0018864386134768805,0.0015524669750244893
old,coarse,shorter/43/D_E,-0.00030897494551293417,0.0011283739864769774,0.0008193990409640434,0.43352879249037807,0.0018900683303110244,0.0014373489319899116
old,coarse,shorter/43/F,-0.0004520926563223553,-0.013500102676586983,-0.01395219533290934,0.43352879249037807,0.03218285745858276,0.013952195332909338
old,coarse,shorter/B_E,-0.0025073438906295454,-0.013959457993824559,-0.016466801884454103,0.43352879249037807,0.03798317936361649,0.016466801884454103
old,fine,shorter/29/E,0.0003792991997222827,0.0013836582114850765,0.0017629574112073593,0.43352879249037807,0.004066529009711592,0.0017629574112073593
old,fine,shorter/29/D_E,0.0006139808560458313,0.001479360882711017,0.002093341738756849,0.43352879249037807,0.004828610636750982,0.0020933417387568485
old,fine,shorter/29/F,0.00026692583888433466,-0.012904697764224506,-0.012637771925340172,0.43352879249037807,0.029150940247228585,0.013171623603108841
old,fine,shorter/43/E,-8.262101804453785e-05,0.0014556296654779427,0.0013730086474334048,0.43352879249037807,0.0031670529644553607,0.0015382506835224805
old,fine,shorter/43/D_E,-2.3793191820733492e-05,0.0014010148356932003,0.0013772216438724667,0.43352879249037807,0.0031767708805708296,0.001424808027513934
old,fine,shorter/43/F,-0.0001616298001186164,-0.01317046213501216,-0.013332091935130776,0.43352879249037807,0.030752494796355823,0.013332091935130777
old,fine,shorter/B_E,-0.002178952130068178,-0.013612546165570167,-0.015791498295638345,0.43352879249037807,0.03642548907749611,0.015791498295638345
refined,coarse,shorter/29/E,0.00017166915880092767,0.00114430720846697,0.0013159763672678975,0.4334042573428437,0.003036371574511084,0.0013159763672678977
refined,coarse,shorter/29/D_E,0.0004070104666791572,0.0012225580456601177,0.001629568512339275,0.4334042573428437,0.003759927330501988,0.0016295685123392748
refined,coarse,shorter/29/F,5.128974204763497e-05,-0.013208102910919534,-0.013156813168871897,0.4334042573428437,0.03035690800439974,0.013259392652967168
refined,coarse,shorter/43/E,-0.0002919036119805297,0.0012342642137226272,0.0009423606017420977,0.4334042573428437,0.0021743224386387254,0.0015261678257031568
refined,coarse,shorter/43/D_E,-0.00023355779708514665,0.0011774919855834323,0.0009439341884982858,0.4334042573428437,0.0021779531984421376,0.001411049782668579
refined,coarse,shorter/43/F,-0.0003766755078945677,-0.013450984677480526,-0.013827660185375096,0.4334042573428437,0.031904763165343686,0.013827660185375094
refined,coarse,shorter/B_E,-0.002431926742201758,-0.013910339994718104,-0.01634226673691986,0.4334042573428437,0.037706751745154955,0.016342266736919863
refined,fine,shorter/29/E,0.00045471634815007027,0.0014327762105915318,0.0018874925587416022,0.4334042573428437,0.004355039265912204,0.0018874925587416022
refined,fine,shorter/29/D_E,0.0006893980044736188,0.0015284788818174721,0.0022178768862910914,0.4334042573428437,0.005117339870837133,0.002217876886291091
refined,fine,shorter/29/F,0.0003423429873121222,-0.012855579765118055,-0.012513236777805928,0.4334042573428437,0.02887197475752379,0.013197922752430176
refined,fine,shorter/43/E,-7.203869616750333e-06,0.0015047476645843976,0.0014975437949676473,0.4334042573428437,0.003455304763614765,0.0015119515342011478
refined,fine,shorter/43/D_E,5.162395660705405e-05,0.0014501328347996552,0.0015017567914067092,0.4334042573428437,0.0034650254720934755,0.0015017567914067092
refined,fine,shorter/43/F,-8.621265169082883e-05,-0.013121344135905709,-0.013207556787596535,0.4334042573428437,0.030473989500174013,0.013207556787596537
refined,fine,shorter/B_E,-0.00210353498164039,-0.013563428166463715,-0.015666963148104104,0.4334042573428437,0.036148613869546695,0.015666963148104104
spatial,coarse,shorter/29/E,-9.157150696212114e-05,0.0009379838007207389,0.0008464122937586179,0.43387382141635306,0.0019508259129245448,0.00102955530768286
spatial,coarse,shorter/29/D_E,0.00014376980091610842,0.0010162346379138868,0.001160004438829995,0.43387382141635306,0.0026735985938106045,0.0011600044388299952
spatial,coarse,shorter/29/F,-0.00021195092371541392,-0.013414426318665762,-0.013626377242381178,0.43387382141635306,0.03140631347127317,0.013626377242381176
