protocol,seed,comparator,metric,E,comparator_value,E_minus_comparator,relative_reduction_percent,percentage_point_change
Original,29,F_raw/projected,S,0.001030078125,0.001225,-0.000194921875,15.911989795918368,
Original,29,F_raw/projected,Ephi,0.020042062839986767,0.023986713579712493,-0.003944650739725726,16.44514879713258,
Original,29,F_raw/projected,ET,0.010600719518901736,0.010930770446400033,-0.00033005092749829705,3.019466277484556,
Original,29,F_raw/projected,EV,0.001295806378420051,0.0026037742743953525,-0.0013079678959753015,50.23353632599498,
Original,29,F_raw/projected,current_percent,0.8582725577119891,1.6878445249982992,-0.8295719672863101,49.149785717801585,-0.8295719672863101
Original,29,F_raw/projected,power_percent,0.8624890741396128,1.7274338826615832,-0.8649448085219703,50.07108041607282,-0.8649448085219703
Original,29,F_raw/projected,energy_percent,0.27517159515824585,0.16092828994405844,0.11424330521418741,-70.99019398882596,0.11424330521418741
Original,29,B_E,S,0.001030078125,0.0014084375000000002,-0.0003783593750000002,26.86376747282007,
Original,29,B_E,Ephi,0.020042062839986767,0.023769782205783657,-0.00372771936579689,15.682597903189295,
Original,29,B_E,ET,0.010600719518901736,0.013278255127362866,-0.0026775356084611304,20.164815201836713,
Original,29,B_E,EV,0.001295806378420051,0.002558449869505918,-0.0012626434910858672,49.35189491634268,
Original,29,B_E,current_percent,0.8582725577119891,1.7282289380764062,-0.8699563803644171,50.338028787593174,-0.8699563803644171
Original,29,B_E,power_percent,0.8624890741396128,1.7562292993545878,-0.893740225214975,50.88972297315752,-0.893740225214975
Original,29,B_E,energy_percent,0.27517159515824585,1.1849409958004113,-0.9097694006421655,76.77761203861706,-0.9097694006421655
Original,43,F_raw/projected,S,0.0011316406249999998,0.0012525000000000001,-0.00012085937500000031,9.649451097804414,
Original,43,F_raw/projected,Ephi,0.021619161166716246,0.02448208540577694,-0.002862924239060694,11.693955770553522,
Original,43,F_raw/projected,ET,0.010330845552147926,0.010446690661100185,-0.00011584510895225851,1.1089168111737537,
Original,43,F_raw/projected,EV,0.0023572941029588812,0.00464752889807411,-0.0022902347951152284,49.27854878028363,
Original,43,F_raw/projected,current_percent,1.5717843041700048,3.0696582612248653,-1.4978739570548605,48.79611440711886,-1.4978739570548605
Original,43,F_raw/projected,power_percent,1.592750502299147,3.1757522576540977,-1.5830017553549507,49.846512792036904,-1.5830017553549507
Original,43,F_raw/projected,energy_percent,0.6568905729493913,1.219115596598246,-0.5622250236488547,46.117449831472655,-0.5622250236488547
Original,43,B_E,S,0.0011316406249999998,0.0014084375000000002,-0.00027679687500000035,19.652762369647238,
Original,43,B_E,Ephi,0.021619161166716246,0.023769782205783657,-0.002150621039067411,9.04771032586122,
Original,43,B_E,ET,0.010330845552147926,0.013278255127362866,-0.0029474095752149397,22.197265732160332,
Original,43,B_E,EV,0.0023572941029588812,0.002558449869505918,-0.00020115576654703695,7.862407973851905,
Original,43,B_E,current_percent,1.5717843041700048,1.7282289380764062,-0.1564446339064014,9.052309590448766,-0.1564446339064014
Original,43,B_E,power_percent,1.592750502299147,1.7562292993545878,-0.16347879705544077,9.308510973795906,-0.16347879705544077
Original,43,B_E,energy_percent,0.6568905729493913,1.1849409958004113,-0.52805042285102,44.56343604639395,-0.52805042285102
Shorter gap,29,F_raw/projected,S,0.0010861718750000001,0.0012612500000000002,-0.0001750781250000001,13.881318136769085,
Shorter gap,29,F_raw/projected,Ephi,0.01900241378176963,0.023818465166233878,-0.004816051384464247,20.21982252362632,
Shorter gap,29,F_raw/projected,ET,0.011021722601211524,0.011691428007149965,-0.0006697054059384405,5.728174569683687,
Shorter gap,29,F_raw/projected,EV,0.001568101323932456,0.0037235134756986397,-0.0021554121517661836,57.886514063488534,
Shorter gap,29,F_raw/projected,current_percent,0.9942974635242439,2.269913966446679,-1.2756165029224351,56.19668946833628,-1.2756165029224351
Shorter gap,29,F_raw/projected,power_percent,0.9993320589703839,2.3353161120948642,-1.3359840531244802,57.2078463470221,-1.3359840531244802
Shorter gap,29,F_raw/projected,energy_percent,0.287606086266471,0.7066266554761793,-0.4190205692097083,59.2987210378216,-0.4190205692097083
Shorter gap,29,B_E,S,0.0010861718750000001,0.0015754687500000003,-0.0004892968750000001,31.057225032232473,
Shorter gap,29,B_E,Ephi,0.01900241378176963,0.02552352964250399,-0.00652111586073436,25.549428124058647,
Shorter gap,29,B_E,ET,0.011021722601211524,0.012800189053165364,-0.00177846645195384,13.89406394364185,
Shorter gap,29,B_E,EV,0.001568101323932456,0.003005663306483679,-0.001437561982551223,47.8284437065915,
Shorter gap,29,B_E,current_percent,0.9942974635242439,2.0031855675185706,-1.0088881039943267,50.364185942297816,-1.0088881039943267
