reference,protocol,seed,role,valid,strict,S,Ephi,ET,EV,EI,bottom_current_NRMSE,power_trace_NRMSE,energy_error,local_joule_NRMSE,normalizer_top_current,normalizer_bottom_current,normalizer_power,normalizer_local_q,fixed_old_denominator_EI,fixed_old_denominator_bottom_current_NRMSE,fixed_old_denominator_power_trace_NRMSE,fixed_old_denominator_local_joule_NRMSE
spatial,original,29,E,True,False,0.0011057031250000001,0.021062069554395317,0.01102030069488648,0.0012999153788749982,0.008465441888275452,0.008465441888279055,0.008486387674130609,0.0019827251193337754,0.05802674878083643,0.5196102371806038,0.5196102371806017,0.3598780687433939,0.2717485240007748,0.008471483142017159,0.008471483142020763,0.008492544103947603,0.05758018381800395
spatial,original,29,F,True,False,0.0012865625,0.02474980346122313,0.011331634042679697,0.002568755182945587,0.016541657641857315,0.016541657641858172,0.016910838300866635,0.0008411681769303136,0.09729879506202313,0.5196102371806038,0.5196102371806017,0.3598780687433939,0.2717485240007748,0.01655346238311498,0.01655346238311584,0.016923106228416446,0.09654999845160771
spatial,original,43,E,True,False,0.001189140625,0.022457532935059307,0.010742079394001928,0.0023299300023880204,0.01544880144102157,0.01544880144102405,0.015630704964583457,0.005796987568478327,0.08175342149722084,0.5196102371806038,0.5196102371806017,0.3598780687433939,0.2717485240007748,0.015459826279505158,0.01545982627950764,0.015642044222439654,0.08112425969857823
spatial,original,43,F,True,False,0.0013009375,0.025164809697257158,0.010795154574735361,0.004589386972153883,0.030253100315378777,0.030253100315381233,0.0312907269680883,0.01141492621036206,0.12847378003769064,0.5196102371806038,0.5196102371806017,0.3598780687433939,0.2717485240007748,0.030274690051377274,0.030274690051379734,0.03131342675177707,0.1274850655221804
spatial,original,-,B_E,True,False,0.00136015625,0.023309587224554878,0.013568044818113542,0.0025779520204230275,0.017264567500705853,0.0172645675007028,0.01753497508336308,0.01260720347013221,0.10622455176669056,0.5196102371806038,0.5196102371806017,0.3598780687433939,0.2717485240007748,0.017276888137287984,0.017276888137284927,0.017547695789461925,0.10540706390103825
spatial,shorter,29,E,True,False,0.0011464843750000002,0.01993633340127953,0.011343039201857766,0.0015605316421785141,0.00975298738683878,0.00975298738684141,0.00978039076253178,0.0020785450110838125,0.06476795516469876,0.5270178122387625,0.5270178122387602,0.3651402125145803,0.2687680406026689,0.009760337018356454,0.009760337018359088,0.009787809065379629,0.064307483961832
spatial,shorter,29,F,True,False,0.0013104687500000004,0.024449647007894794,0.012000917463713005,0.003691950463208173,0.02240498706115694,0.022404987061158316,0.02303996812831894,0.006265418531249344,0.11771442321870611,0.5270178122387625,0.5270178122387602,0.3651402125145803,0.2687680406026689,0.02242187095452483,0.022421870954526208,0.023057443653104248,0.11687752630083292
spatial,shorter,43,E,True,False,0.001155078125,0.01976311723656693,0.011319799708226538,0.0010972291996580975,0.0067156259861846,0.0067156259861850835,0.006593615019317134,0.0008306562463887519,0.058265980966956836,0.5270178122387625,0.5270178122387602,0.3651402125145803,0.2687680406026689,0.00672068673059565,0.006720686730596133,0.006598616193018987,0.05785173589354298
spatial,shorter,43,F,True,False,0.0012627343750000002,0.024099285343406142,0.01174756335359894,0.004571108087948211,0.029740114569838987,0.02974011456984011,0.030754111731377244,0.0017763288555300613,0.14600348348271483,0.5270178122387625,0.5270178122387602,0.3651402125145803,0.2687680406026689,0.02976252605000523,0.029762526050006358,0.0307774383366407,0.14496546399466612
spatial,shorter,-,B_E,True,False,0.0015368750000000003,0.025216843763017884,0.013065281860570451,0.0030660242077629758,0.020285904848959126,0.020285904848959445,0.020738172495798728,0.015842562850420724,0.12165501816270842,0.5270178122387625,0.5270178122387602,0.3651402125145803,0.2687680406026689,0.020301191849724006,0.020301191849724325,0.020753902137672968,0.12079010537665999
