reference,reader,object,interval,metrics.S,metrics.Ephi,metrics.ET,metrics.EV,metrics.EI,metrics.bottom_current_NRMSE,metrics.power_trace_NRMSE,normalizers.top_current,normalizers.power,normalizers.temperature,normalizers.potential,normalizers.phase,duration,unnormalized_error_integrals.S,unnormalized_error_integrals.Ephi,unnormalized_error_integrals.ET,unnormalized_error_integrals.EV,unnormalized_error_integrals.EI,unnormalized_error_integrals.bottom_current_NRMSE,unnormalized_error_integrals.power_trace_NRMSE,valid,current_guard_identity,bottom_current_identity,T_phase_grid,potential_measure
old,coarse,shorter/29/E,window,0.008899868502475247,0.10222267892063042,0.010955653718149778,0.002034643145393356,0.010875342126990694,0.010875342126985928,0.010989354654614992,0.5924061742243115,0.41060040715143226,0.45,1.0,1.0,1.01,0.0089888671875,0.010553970846567402,2.4548388904875652e-05,4.18117045638713e-06,4.192242368335086e-05,4.192242368331412e-05,2.056385362924078e-05,True,predicted native top_current versus reference native top_current,historical predicted bottom_current versus reference top_current,"[160, 80]",full-domain raw RMS; fine V volume restriction only
old,coarse,shorter/29/E,outside,0.0007454645553691275,0.014267303448126692,0.011291353613643845,0.0005421132044743305,0.0035758242148036003,0.0035758242148013694,0.003170989550158267,0.4768954196253982,0.3302782584627957,0.45,1.0,1.0,1.49,0.0011107421875,0.00030329836204458243,3.8468328228093276e-05,4.378912224334866e-07,4.332962126007284e-06,4.332962126001879e-06,1.6343153581523202e-06,True,predicted native top_current versus reference native top_current,historical predicted bottom_current versus reference top_current,"[160, 80]",full-domain raw RMS; fine V volume restriction only
old,coarse,shorter/29/E,full,0.004039843749999999,0.06590074114488238,0.011156946981216097,0.001359273582296164,0.008167948804133603,0.008167948804129884,0.008166917910243179,0.5266209625484373,0.3648634681829053,0.45,1.0,1.0,2.5,0.010099609374999999,0.010857269208611985,6.301671713296892e-05,4.619061678820616e-06,4.6255385809358145e-05,4.625538580931601e-05,2.2198168987393096e-05,True,predicted native top_current versus reference native top_current,historical predicted bottom_current versus reference top_current,"[160, 80]",full-domain raw RMS; fine V volume restriction only
old,coarse,shorter/29/D_E,window,0.00903078589108911,0.10349454482722072,0.01092403874366668,0.0020989304155469694,0.011335410304514695,0.011335410304513158,0.01144499688347401,0.5924061742243115,0.41060040715143226,0.45,1.0,1.0,1.01,0.009121093750000002,0.010818232017083535,2.440691366131706e-05,4.449563978201255e-06,4.5544403218378794e-05,4.5544403218366434e-05,2.230444815613306e-05,True,predicted native top_current versus reference native top_current,historical predicted bottom_current versus reference top_current,"[160, 80]",full-domain raw RMS; fine V volume restriction only
old,coarse,shorter/29/D_E,outside,0.0007708945050335571,0.015044709195558649,0.011367801047546689,0.0007265430008586905,0.004961015419318514,0.0049610154193162285,0.00475562248569713,0.4768954196253982,0.3302782584627957,0.45,1.0,1.0,1.49,0.0011486328125000001,0.0003372514794206012,3.899098660061372e-05,7.865184508241591e-07,8.340147369340509e-06,8.340147369332821e-06,3.675877110590349e-06,True,predicted native top_current versus reference native top_current,historical predicted bottom_current versus reference top_current,"[160, 80]",full-domain raw RMS; fine V volume restriction only
old,coarse,shorter/29/D_E,full,0.004107890625000001,0.06679965118622742,0.011190639850807484,0.0014472155926503023,0.008815845808802472,0.008815845808800833,0.0088353123136545,0.5266209625484373,0.3648634681829053,0.45,1.0,1.0,2.5,0.010269726562500001,0.011155483496504135,6.339790026193079e-05,5.236082429025414e-06,5.3884550587719305e-05,5.388455058769926e-05,2.5980325266723405e-05,True,predicted native top_current versus reference native top_current,historical predicted bottom_current versus reference top_current,"[160, 80]",full-domain raw RMS; fine V volume restriction only
old,coarse,shorter/29/F,window,0.007848081683168319,0.12288923163387015,0.011266181945734003,0.015008538602274031,0.09048690424224785,0.0904869042422488,0.0851137960610554,0.5924061742243115,0.41060040715143226,0.45,1.0,1.0,1.01,0.007926562500000001,0.015252780884078623,2.595971514862215e-05,0.00022750879328570922,0.002902231067495851,0.002902231067495912,0.001233559340082807,True,predicted native top_current versus reference native top_current,historical predicted bottom_current versus reference top_current,"[160, 80]",full-domain raw RMS; fine V volume restriction only
old,coarse,shorter/29/F,outside,0.0009380243288590603,0.017451754046624347,0.011586100651448276,0.0006021781260967562,0.004366773946214059,0.004366773946212857,0.0038097068894243813,0.4768954196253982,0.3302782584627957,0.45,1.0,1.0,1.49,0.0013976562499999998,0.0004537999417627651,4.050287857297401e-05,5.403015583686071e-07,6.46180713996395e-06,6.461807139960394e-06,2.3590077454457873e-06,True,predicted native top_current versus reference native top_current,historical predicted bottom_current versus reference top_current,"[160, 80]",full-domain raw RMS; fine V volume restriction only
old,coarse,shorter/29/F,full,0.0037296874999999995,0.0792630577907297,0.011457928946644885,0.0095508972320736,0.06477102751122878,0.06477102751122943,0.06093888497637079,0.5266209625484373,0.3648634681829053,0.45,1.0,1.0,2.5,0.009324218749999998,0.015706580825841393,6.646259372159615e-05,0.00022804909484407787,0.0029086928746358143,0.002908692874635873,0.0012359183478282529,True,predicted native top_current versus reference native top_current,historical predicted bottom_current versus reference top_current,"[160, 80]",full-domain raw RMS; fine V volume restriction only
old,coarse,shorter/43/E,window,0.007946704826732674,0.08994577640751794,0.010655705769562393,0.001877196425166054,0.009046572396664164,0.009046572396662272,0.009209994431375181,0.5924061742243115,0.41060040715143226,0.45,1.0,1.0,1.01,0.008026171875000002,0.008171145120486722,2.3222599985646922e-05,3.5591050828427753e-06,2.900872575673252e-05,2.9008725756720388e-05,1.4443713334546509e-05,True,predicted native top_current versus reference native top_current,historical predicted bottom_current versus reference top_current,"[160, 80]",full-domain raw RMS; fine V volume restriction only
