protocol,steps,electric,thermal,phase,total,cap,status,phase_min,phase_max,thermal_residual,phase_residual,current_balance
original,8000,32093,24092,28776,84961,200000,VALID_FIXED_SPATIAL_REFERENCE,1.952812902296937e-12,0.9918656581502433,1.7223333870219903e-10,1.3918175683150236e-10,1.643745715648763e-13
shorter,8000,32358,24357,29303,86018,200000,VALID_FIXED_SPATIAL_REFERENCE,2.0097719488406387e-12,0.9945421592082926,1.7223333870219903e-10,1.3918175683150236e-10,1.643745715648763e-13
