reference,cycle1_recall,cycle1_timing,cycle2_recall,cycle2_timing,strict
old,0.8986029743127534,0.0037499999999999756,0.9623012480765943,0.002287499999999998,False
refined,0.9020630242575379,0.004583333333333328,0.9628424657534246,0.002287499999999998,True
spatial,0.8975269063430277,0.004049999999999998,0.9622788761706559,0.004787499999999945,False
