Protocol,delta S,delta phase,delta T/0.45,delta V,delta I RMS,delta power RMS,delta q RMS
original,1.6874999999999953e-05,0.0003903451477262402,0.0004479333627881214,7.216584788074379e-05,0.00026573135288415544,0.0001870039609800658,0.0007053451892312632
shorter,1.6718749999999986e-05,0.0003218319177540761,0.0003994401259507506,5.49345479863641e-05,0.0002044781564433005,0.00014460125924934043,0.0005299449560423221
