protocol,seed,role,S_primary,S_indicator_restriction,S_absolute_difference,S_difference_bound
original,29,E,0.0011057031250000001,0.0011801996527777774,7.449652777777728e-05,0.0004206944444444466
original,29,F,0.0012865625,0.0013524479166666656,6.58854166666657e-05,0.0004206944444444466
original,43,E,0.001189140625,0.0012528906249999992,6.374999999999914e-05,0.0004206944444444466
original,43,F,0.0013009375,0.0013709548611111103,7.001736111111032e-05,0.0004206944444444466
original,-,B_E,0.00136015625,0.0014197569444444446,5.960069444444459e-05,0.0004206944444444466
shorter,29,E,0.0011464843750000002,0.0012327864583333331,8.630208333333298e-05,0.0004612673611111138
shorter,29,F,0.0013104687500000004,0.0013832291666666659,7.276041666666542e-05,0.0004612673611111138
shorter,43,E,0.001155078125,0.0012356336805555543,8.05555555555542e-05,0.0004612673611111138
shorter,43,F,0.0012627343750000002,0.0013445225694444433,8.178819444444314e-05,0.0004612673611111138
shorter,-,B_E,0.0015368750000000003,0.0016015104166666669,6.463541666666662e-05,0.0004612673611111138
shorter,29,E_C,0.001052109375,0.001140460069444444,8.835069444444385e-05,0.0004612673611111138
shorter,29,E_R,0.0010726562500000003,0.0011620486111111107,8.93923611111104e-05,0.0004612673611111138
shorter,29,E_I,0.0010074218750000003,0.0011033940972222218,9.597222222222147e-05,0.0004612673611111138
shorter,43,E_C,0.0010532812500000002,0.0011283333333333319,7.50520833333317e-05,0.0004612673611111138
shorter,43,E_R,0.001053515625,0.0011264496527777766,7.293402777777658e-05,0.0004612673611111138
shorter,43,E_I,0.001085234375,0.0011576128472222211,7.237847222222107e-05,0.0004612673611111138
