time,nominal_roi_phase,joule_off_roi_phase,nominal_roi_temperature_max,joule_off_roi_temperature_max
0,0,0,0,0
0.005,0,0,0.00111482812983,5.85793105707e-05
0.01,0,0,0.00584655624687,0.000114960959423
0.015,0,0,0.0160396226476,0.000169331794192
0.02,0,0,0.033117841922,0.00022185383376
0.025,0,0,0.0582753660468,0.000272662679655
0.03,0,0,0.0925560163595,0.000321870377795
0.035,0,0,0.136894405494,0.000369569782871
0.04,0,0,0.192140582624,0.00041583873651
0.045,0,0,0.25907624013,0.000460743500523
0.05,0,0,0.338424794825,0.000504341405544
0.055,0,0,0.405196066683,0.000546682842966
0.06,0,0,0.460590899222,0.000587812751828
0.065,0,0,0.509256792461,0.000627771730496
0.07,0,0,0.553246953474,0.000666596873033
0.075,0,0,0.59369474716,0.000704322403866
0.08,0,0,0.631315570495,0.000740980164126
0.085,0,0,0.666600129308,0.000776599988161
0.09,0,0,0.699904007649,0.0008112099981
0.095,0,0,0.731494830454,0.000844836836746
0.1,0,0,0.761579383572,0.000877505853634
0.105,0,0,0.790320148266,0.000909241255243
0.11,0,0,0.817845703932,0.000940066227507
0.115,0,0,0.844257251888,0.00097015408781
0.12,0,0,0.869632422741,0.000999396243155
0.125,0,0,0.89402691391,0.0010277832263
0.13,0,0,0.917474097152,0.00105533492898
0.135,0,0,0.939982403288,0.00108207067478
0.14,0,0,0.96152996512,0.00110800924576
0.145,0,0,0.982055649813,0.00113316890666
0.15,0,0,1.00144529715,0.00115756742696
0.155,0,0,1.01951203212,0.00118122210126
0.16,0,0,1.03597105504,0.00120414976815
0.165,0,0,1.05041514935,0.00122636682776
0.17,0,0,1.06231137588,0.00124788925816
0.175,0,0,1.07105960592,0.0012687326308
0.18,0,0,1.07615256605,0.00128891212499
0.185,0,0,1.07741018319,0.00130844254158
0.19,0.00206611570248,0,1.07515370287,0.00132733831595
0.195,0.00413223140496,0,1.07017704442,0.00134561353022
0.2,0.00826446280992,0,1.0635187362,0.00136328192495
0.205,0.0103305785124,0,1.05617931132,0.00138035691017
0.21,0.0144628099174,0,1.04892985321,0.00139685157598
0.215,0.0165289256198,0,1.0422585923,0.00141277870255
0.22,0.0227272727273,0,1.03641359814,0.00142815076977
0.225,0.0268595041322,0,1.03147651097,0.00144297996638
0.23,0.0309917355372,0,1.027427182,0.00145727819873
