candidate,base,A,B,S,Ephi,ET,EV,EI,bottom_current_NRMSE,power_trace_NRMSE,energy_error,local_joule_NRMSE
P_E,F_raw/network,False,True,-4.560764679107876,-4.14412647426966,-2.9429315984556004,-75.52482221616216,-85.91152594128538,-99.75158658086609,-96.61136225696619,-98.86415521447644,-99.15252228839778
P_E,F_raw/projected,False,True,-4.560764679107876,-4.14412647426966,-2.9429315984556004,-38.18282089736121,-35.22444933930456,-35.22444933928968,-35.99498583309489,-12.247014089541663,-30.810755562491398
F_raw/projected,F_raw/network,False,True,0.0,0.0,0.0,-60.40715843212413,-78.25032143298591,-99.6165012622817,-94.70566831811442,-98.70563403200599,-98.77513084802125
P_E,F_bal/network,False,True,-5.079221367134457,-6.796843370544248,-1.136162493620585,-70.90289093376094,-87.80309683142663,-99.79107397725285,-95.96471404452474,-98.60111288932298,-98.83339485308802
P_E,F_bal/projected,False,True,-5.079221367134457,-6.796843370544248,-1.136162493620585,-55.05609223204622,-56.84590891721666,-56.84590891720208,-58.69626231949017,-67.69923453494128,-41.271745695668415
F_bal/projected,F_bal/network,False,True,0.0,0.0,0.0,-35.25905843241767,-71.7363919328626,-99.51586044913728,-90.23021599960576,-95.66918278704486,-98.01355384945278
