role,minimum_power_gap,numerical_tolerance,nonnegative_within_tolerance,network_integrated_power,projected_integrated_power,integral_power_gap
F_raw,0.0,1.1787035316313123e-10,True,0.5100429859683591,0.42871843204231386,0.08132455392604518
F_bal,0.0,1.177505708364645e-10,True,0.4945504428522076,0.43054924070945255,0.06400120214275512
