reference,protocol,seed,role,valid,strict,S,Ephi,ET,EV,EI,bottom_current_NRMSE,power_trace_NRMSE,energy_error,local_joule_NRMSE,normalizer_top_current,normalizer_bottom_current,normalizer_power,normalizer_local_q,fixed_old_denominator_EI,fixed_old_denominator_bottom_current_NRMSE,fixed_old_denominator_power_trace_NRMSE,fixed_old_denominator_local_joule_NRMSE
old,original,29,E,True,False,0.001030078125,0.020042062839986767,0.010600719518901736,0.001295806378420051,0.008582725577116241,0.008582725577119891,0.008624890741396128,0.0027517159515824587,0.04735616535447262,0.5192396884541327,0.5192396884541325,0.3596171853089629,0.273856078396637,0.008582725577116241,0.008582725577119891,0.008624890741396128,0.04735616535447262
old,original,29,F,True,False,0.001225,0.023986713579712493,0.010930770446400033,0.0026037742743953525,0.016878445249982235,0.01687844524998299,0.01727433882661583,0.0016092828994405844,0.0926130912791254,0.5192396884541327,0.5192396884541325,0.3596171853089629,0.273856078396637,0.016878445249982235,0.01687844524998299,0.01727433882661583,0.0926130912791254
old,original,43,E,True,False,0.0011316406249999998,0.021619161166716246,0.010330845552147926,0.0023572941029588812,0.015717843041697634,0.01571784304170005,0.01592750502299147,0.006568905729493914,0.07846803668388758,0.5192396884541327,0.5192396884541325,0.3596171853089629,0.273856078396637,0.015717843041697634,0.01571784304170005,0.01592750502299147,0.07846803668388758
old,original,43,F,True,False,0.0012525000000000001,0.02448208540577694,0.010446690661100185,0.00464752889807411,0.030696582612246257,0.030696582612248655,0.03175752257654098,0.012191155965982461,0.12783682347357958,0.5192396884541327,0.5192396884541325,0.3596171853089629,0.273856078396637,0.030696582612246257,0.030696582612248655,0.03175752257654098,0.12783682347357958
old,original,-,B_E,True,False,0.0014084375000000002,0.023769782205783657,0.013278255127362866,0.002558449869505918,0.01728228938076691,0.017282289380764062,0.017562292993545878,0.011849409958004114,0.0981319028410548,0.5192396884541327,0.5192396884541325,0.3596171853089629,0.273856078396637,0.01728228938076691,0.017282289380764062,0.017562292993545878,0.0981319028410548
old,shorter,29,E,True,False,0.0010861718750000001,0.01900241378176963,0.011021722601211524,0.001568101323932456,0.009942974635239722,0.009942974635242439,0.00999332058970384,0.00287606086266471,0.056357927738193946,0.5266209625484372,0.526620962548438,0.3648634681829053,0.2706925435582177,0.009942974635239722,0.009942974635242439,0.00999332058970384,0.056357927738193946
old,shorter,29,F,True,False,0.0012612500000000002,0.023818465166233878,0.011691428007149965,0.0037235134756986397,0.022699139664465462,0.02269913966446679,0.023353161120948644,0.007066266554761794,0.11271435174216146,0.5266209625484372,0.526620962548438,0.3648634681829053,0.2706925435582177,0.022699139664465462,0.02269913966446679,0.023353161120948644,0.11271435174216146
old,shorter,43,E,True,False,0.0010735156249999998,0.018619221717954475,0.010960980041449084,0.0010802508400533871,0.006821188750453961,0.006821188750454754,0.006727584643777657,0.0016271789511990613,0.04770874623981139,0.5266209625484372,0.526620962548438,0.3648634681829053,0.2706925435582177,0.006821188750453961,0.006821188750454754,0.006727584643777657,0.04770874623981139
old,shorter,43,F,True,False,0.001197734375,0.0233632244353989,0.0114088216040331,0.004585264153895475,0.029917345965851373,0.029917345965852445,0.03094686326770039,0.002573604184872598,0.14365656952342049,0.5266209625484372,0.526620962548438,0.3648634681829053,0.2706925435582177,0.029917345965851373,0.029917345965852445,0.03094686326770039,0.14365656952342049
old,shorter,-,B_E,True,False,0.0015754687500000003,0.02552352964250399,0.012800189053165364,0.003005663306483679,0.020031855675185353,0.020031855675185704,0.020489387231699213,0.015059309720727837,0.1133849836004611,0.5266209625484372,0.526620962548438,0.3648634681829053,0.2706925435582177,0.020031855675185353,0.020031855675185704,0.020489387231699213,0.1133849836004611
old,shorter,29,E_C,True,False,0.000984765625,0.017548833641611146,0.010410376996620696,0.0015099139246013743,0.009667219145866825,0.009667219145867543,0.009741821156910668,0.004837687274938343,0.055306388428239754,0.5266209625484372,0.526620962548438,0.3648634681829053,0.2706925435582177,0.009667219145866825,0.009667219145867543,0.009741821156910668,0.055306388428239754
