protocol,S,Ephi,ET,EV,current_rms,power_rms,q_rms
original,0.00015343750000000012,0.0024907714862734,0.0015331458742374514,0.0002773425494950942,0.0006357188630879385,0.0004453873342275577,0.01063475129929246
shorter,0.00016109375000000005,0.0025728464703985055,0.001469870067281838,0.00027210202900303655,0.0005986241313600369,0.00041835873777739963,0.010073067624495537
