role,valid,strict_device_pass,EI,ET,EV,Ephi,S,bottom_current_NRMSE,bottom_current_rms_error,current_balance_rms,electric_fv_rms,energy_error,input_power_NRMSE,input_power_rms_error,phase_max,power_defect_rms,power_trace_NRMSE,power_trace_rms_error
S1_fixed_fit,True,False,0.07217788554949288,0.01747538648379263,0.005738091065445664,0.027268375553049198,0.001188671875,7.812535031667869,4.056578255880222,4.058409984616971,48.73619471199245,0.4920055381853457,0.06784358436490398,0.024397718850577933,0.9697878057022785,0.20935674318487255,0.576134119806625,0.2071877305253153
LF11_warm_start,True,False,0.0803879379306552,0.282209755984883,0.010875804534305727,0.0272683755530492,0.001188671875,12.062831691380447,6.263500969307022,6.281045605519666,69.01714992483642,1.0674024965512448,0.07478827729373515,0.026895149774479255,0.9697878057022785,0.4332253468009436,1.1751638760155485,0.42260912536948264
LF11_D_B,True,False,0.08419371650082333,0.24292720633803994,0.010685983381743478,0.03542237218881261,0.001676875,10.621786583542114,5.515253156464694,5.539599132614712,60.64407856249437,0.9630595984631153,0.07768070398070587,0.027935316118360195,0.9296978500284481,0.39317254251851624,1.0511406365004488,0.37800823706216313
LF11_P_U,True,False,0.07931922369180572,0.24295291946727487,0.011488703635000088,0.04170723551343157,0.0023590625000000005,10.20268949117179,5.297641312790295,5.307062183987019,50.08490747223682,1.0896397006440677,0.07405804672179196,0.026632546311570495,0.8839427156254448,0.40074076240093787,1.1026899619751034,0.39654626039393404
LF11_P_I,True,False,0.07934459610832788,0.24294330624827848,0.011549594812415095,0.03994638688775163,0.002253203125,10.533235982627126,5.469274170033169,5.479995424125729,51.38317848102103,1.1622078190224836,0.0740117085415414,0.02661588230561645,0.8870258965122861,0.4279123823920036,1.175548614820661,0.4227474840556563
LF11_P_M,True,False,0.07934502580392898,0.2429433071319081,0.011549912127078869,0.03994246790503231,0.002251484375,10.534975836084627,5.470177571000398,5.480897637281491,51.394113941457725,1.162379172503666,0.07401282649799971,0.026616284341971285,0.8869232813032574,0.427987591328145,1.1757601136814961,0.4228235426806859
B_L,True,False,1.3608350923134842,0.013541793751445728,0.003136937078752054,0.028533365795171302,0.0014917968750000003,0.6035280450924783,0.31337571410715015,0.7104258831961905,9.831036208592907,0.04083593055255998,1.386715960239338,0.49868689044428643,0.9741578237442158,0.4703984652666383,0.08716576505543734,0.031346307084538734
B_P,True,False,1.0308312087234692,0.013278255127362866,0.0031073382667593775,0.028503359657125544,0.001487265625,0.6085945814787594,0.3160064608819043,0.5972865671670305,9.752995671955189,0.036743569509997784,0.8706743945033821,0.31310947507189185,0.9741578237442158,0.3023202502733911,0.04958054437106393,0.017830015812808155
B_logit,True,False,1.0308311924536173,0.013278255127362866,0.0031073382667593775,0.023769782205783657,0.0014084375000000002,0.6088259755261966,0.31612660985500574,0.5965804021343832,9.775399796790627,0.031320208829265186,0.870674377079576,0.3131094688059917,0.9804634545213793,0.3023848823197505,0.04835511107747956,0.017389328940985452
dense_LF_ONLY,True,True,0.003790590523837527,0.004001544062567924,0.0005761281633015013,0.006570375888844028,0.00034953125,0.25014093910889895,0.12988310329252886,0.12942848561605988,4.394469835723881,0.006067349347123467,0.0038336929813904976,0.001378661879306377,0.9915152094722343,0.002326559334520364,0.006510937819076131,0.002341445132217836
native_reference_readout_check,True,True,1.3522978102960761e-17,0.0,0.0,0.0,0.0,2.7075042420692727e-14,1.405843659140292e-14,1.405812621300337e-14,9.500789474733687e-13,1.0102947601890362e-17,2.233263841573848e-14,8.03120056759069e-15,0.9917180617305312,8.031902413040656e-15,1.274127202257157e-16,4.581980382013025e-17
B_logit_waveform,True,False,0.004278272787713287,0.013278255127362866,0.0009028467303805178,0.023769782205783657,0.0014084375000000002,0.607873457836437,0.3156320248665279,0.31733058475285425,9.616718809748843,0.021874065910347292,0.004348687467347112,0.001563862746795731,0.9804634545213793,0.011681337916423513,0.028299562880663025,0.010177009148618044
V_continued,True,False,0.065029920482152,0.01747538648379263,0.0039144344292972675,0.027268375553049198,0.001188671875,5.2226283066294625,2.711795894846017,2.7428265498720066,34.316465698307994,0.2827968875534392,0.0653342402476449,0.02349531558215762,0.9697878057022785,0.13252575966589697,0.30760661165076286,0.11062062386427458
B_logit_waveform_contact,True,False,0.004278272787713106,0.013278255127362866,0.0008439019630492166,0.023769782205783657,0.0014084375000000002,0.2151395153149644,0.11170897490631522,0.11355622266148968,5.264858470818486,0.0064432922193394275,0.004348687467346941,0.0015638627467956696,0.9804634545213793,0.006349144979833242,0.01377641027264624,0.0049542338859105235
parent,True,False,0.065029920482152,0.01747538648379263,0.0039144344292972675,0.027268375553049198,0.001188671875,5.2226283066294625,2.711795894846017,2.7428265498720066,34.316465698307994,0.2827968875534392,0.0653342402476449,0.02349531558215762,0.9697878057022785,0.13252575966589697,0.30760661165076286,0.11062062386427458
D_I,True,False,0.039292548288268905,0.012423696354333451,0.0036911720434279548,0.0234146837479853,0.0011285156250000002,5.067412470742971,2.631201672577167,2.645263954411378,34.07472831240741,0.25204541137306136,0.03865540959586353,0.013901149595829517,0.9798408311772387,0.111597940565181,0.2807117493587099,0.10094876918753433
D_B,True,False,0.03311845081628497,0.012339544063269961,0.003700774382448453,0.022689563068718558,0.001140390625,5.4598781128063205,2.834985410291092,2.847189899335428,36.417485907047215,0.2851523716925342,0.03261089512669567,0.011727438315868071,0.9797632012349493,0.12049908613468617,0.3101407778352803,0.1115319535746559
P_U,True,False,0.02853491599798987,0.012514362393511797,0.004008945240480814,0.022052497460921857,0.0011314843749999997,5.780171915783961,3.001294664762991,3.0108322492910866,36.375761762180076,0.3242774993136316,0.027661765297704703,0.009947646177037712,0.976122452192767,0.12832133164731552,0.33847848807533987,0.1217226811692871
