role,valid,strict_device_pass,EI,ET,EV,Ephi,S,bottom_current_NRMSE,bottom_current_rms_error,current_balance_rms,electric_fv_rms,energy_error,input_power_NRMSE,input_power_rms_error,phase_max,power_defect_rms,power_trace_NRMSE,power_trace_rms_error
R,True,False,0.0690307133095044,0.01369741023422238,0.0041511610706374555,0.023658426271871553,0.00116671875,5.901763347938268,3.0644297621134857,3.097137016784973,36.51481397324384,0.3349212213977529,0.06916559973935789,0.024873138298474224,0.9756010511678583,0.1493335017756428,0.35157024870335685,0.12643070327707326
G,True,False,0.06804387526822166,0.013730166686353082,0.0040686801754152456,0.024164218025737882,0.0011883593750000002,5.682709017930655,2.950688060045804,2.9812456839014803,35.51389614803454,0.3107997982829548,0.06863727078570886,0.02468314212724573,0.9749368111925355,0.14148798204383878,0.33217055646159904,0.1194542405572322
N,True,False,0.03699413038335646,0.013553952258865236,0.00393493334895942,0.024887785631440847,0.001207890625,6.653954001241879,3.4549970025929633,3.470269331783178,41.44518449202926,0.3864338420884263,0.03674816256138184,0.013215270785600346,0.9761148560304375,0.15686652612013993,0.40655569488281196,0.14620441466508638
B_logit_waveform_contact,True,False,0.004278272787713106,0.013278255127362866,0.0008439019630492166,0.023769782205783657,0.0014084375000000002,0.2151395153149644,0.11170897490631522,0.11355622266148968,5.264858470818486,0.0064432922193394275,0.004348687467346941,0.0015638627467956696,0.9804634545213793,0.006349144979833242,0.01377641027264624,0.0049542338859105235
