method,identity,S,Ephi,ET,EV,EI,energy_error,electric_fv_rms,current_balance_rms,power_defect_rms,phase_max,power_trace_rms_error,power_trace_NRMSE,input_power_rms_error,input_power_NRMSE,bottom_current_rms_error,bottom_current_NRMSE,valid,strict_device_pass
S1_fixed_fit,REUSED_LF11_OR_S1_HISTORICAL,0.001188671875,0.027268375553049198,0.01747538648379263,0.005738091065445664,0.07217788554949288,0.4920055381853457,48.73619471199245,4.058409984616971,0.20935674318487255,0.9697878057022785,0.2071877305253153,0.576134119806625,0.024397718850577933,0.06784358436490398,4.056578255880222,7.812535031667869,True,False
warm_start,REUSED_LF11_FIXED_EVIDENCE,0.001188671875,0.0272683755530492,0.282209755984883,0.010875804534305727,0.0803879379306552,1.0674024965512448,69.01714992483642,6.281045605519666,0.4332253468009436,0.9697878057022785,0.42260912536948264,1.1751638760155485,0.026895149774479255,0.07478827729373515,6.263500969307022,12.062831691380447,True,False
D_B,REUSED_LF11_FIXED_EVIDENCE,0.001676875,0.03542237218881261,0.24292720633803994,0.010685983381743478,0.08419371650082333,0.9630595984631153,60.64407856249437,5.539599132614712,0.39317254251851624,0.9296978500284481,0.37800823706216313,1.0511406365004488,0.027935316118360195,0.07768070398070587,5.515253156464694,10.621786583542114,True,False
P_U,REUSED_LF11_FIXED_EVIDENCE,0.0023590625000000005,0.04170723551343157,0.24295291946727487,0.011488703635000088,0.07931922369180572,1.0896397006440677,50.08490747223682,5.307062183987019,0.40074076240093787,0.8839427156254448,0.39654626039393404,1.1026899619751034,0.026632546311570495,0.07405804672179196,5.297641312790295,10.20268949117179,True,False
P_I,REUSED_LF11_FIXED_EVIDENCE,0.002253203125,0.03994638688775163,0.24294330624827848,0.011549594812415095,0.07934459610832788,1.1622078190224836,51.38317848102103,5.479995424125729,0.4279123823920036,0.8870258965122861,0.4227474840556563,1.175548614820661,0.02661588230561645,0.0740117085415414,5.469274170033169,10.533235982627126,True,False
P_M,REUSED_LF11_FIXED_EVIDENCE,0.002251484375,0.03994246790503231,0.2429433071319081,0.011549912127078869,0.07934502580392898,1.162379172503666,51.394113941457725,5.480897637281491,0.427987591328145,0.8869232813032574,0.4228235426806859,1.1757601136814961,0.026616284341971285,0.07401282649799971,5.470177571000398,10.534975836084627,True,False
B_L,REUSED_LF11_FIXED_EVIDENCE,0.0014917968750000003,0.028533365795171302,0.013541793751445728,0.003136937078752054,1.3608350923134842,0.04083593055255998,9.831036208592907,0.7104258831961905,0.4703984652666383,0.9741578237442158,0.031346307084538734,0.08716576505543734,0.49868689044428643,1.386715960239338,0.31337571410715015,0.6035280450924783,True,False
B_P,REUSED_LF11_FIXED_EVIDENCE,0.001487265625,0.028503359657125544,0.013278255127362866,0.0031073382667593775,1.0308312087234692,0.036743569509997784,9.752995671955189,0.5972865671670305,0.3023202502733911,0.9741578237442158,0.017830015812808155,0.04958054437106393,0.31310947507189185,0.8706743945033821,0.3160064608819043,0.6085945814787594,True,False
B_logit,REUSED_LF11_FIXED_EVIDENCE,0.0014084375000000002,0.023769782205783657,0.013278255127362866,0.0031073382667593775,1.0308311924536173,0.031320208829265186,9.775399796790627,0.5965804021343832,0.3023848823197505,0.9804634545213793,0.017389328940985452,0.04835511107747956,0.3131094688059917,0.870674377079576,0.31612660985500574,0.6088259755261966,True,False
dense_LF_ONLY,REUSED_LF11_FIXED_EVIDENCE,0.00034953125,0.006570375888844028,0.004001544062567924,0.0005761281633015013,0.003790590523837527,0.006067349347123467,4.394469835723881,0.12942848561605988,0.002326559334520364,0.9915152094722343,0.002341445132217836,0.006510937819076131,0.001378661879306377,0.0038336929813904976,0.12988310329252886,0.25014093910889895,True,True
native_reference_readout_check,REUSED_LF11_FIXED_EVIDENCE,0.0,0.0,0.0,0.0,1.3522978102960761e-17,1.0102947601890362e-17,9.500789474733687e-13,1.405812621300337e-14,8.031902413040656e-15,0.9917180617305312,4.581980382013025e-17,1.274127202257157e-16,8.03120056759069e-15,2.233263841573848e-14,1.405843659140292e-14,2.7075042420692727e-14,True,True
B_logit_waveform,LF11_POSTHOC_BASELINE_RULES_FROZEN_FOR_FOLLOWUP,0.0014084375000000002,0.023769782205783657,0.013278255127362866,0.0009028467303805178,0.004278272787713287,0.021874065910347292,9.616718809748843,0.31733058475285425,0.011681337916423513,0.9804634545213793,0.010177009148618044,0.028299562880663025,0.001563862746795731,0.004348687467347112,0.3156320248665279,0.607873457836437,True,False
V_continued,NEW_V_ONLY_FIXED_ENDPOINT,0.001188671875,0.027268375553049198,0.01747538648379263,0.0039144344292972675,0.065029920482152,0.2827968875534392,34.316465698307994,2.7428265498720066,0.13252575966589697,0.9697878057022785,0.11062062386427458,0.30760661165076286,0.02349531558215762,0.0653342402476449,2.711795894846017,5.2226283066294625,True,False
B_logit_waveform_contact,PREDECLARED_SAME_OBSERVATION_CONTACT_COMPLETE_BASELINE,0.0014084375000000002,0.023769782205783657,0.013278255127362866,0.0008439019630492166,0.004278272787713106,0.0064432922193394275,5.264858470818486,0.11355622266148968,0.006349144979833242,0.9804634545213793,0.0049542338859105235,0.01377641027264624,0.0015638627467956696,0.004348687467346941,0.11170897490631522,0.2151395153149644,True,False
